Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"24,962","24,217","$54,727 ",$2.26 
Sharks                        ,"15,252","11,275","$13,731 ",$1.22 
Rays                          ,15,0,$0 ,$0.00 
Eels                          ,886,837,$523 ,$0.63 
Bigeye scad (akule)           ,"173,514","164,320","$346,727 ",$2.11 
Mackerel scad                 ,"297,622","289,647","$495,559 ",$1.71 
Leatherjacket                 ,235,161,$136 ,$0.85 
Ten pounder                   ,633,608,$528 ,$0.87 
Bonefish                      ,"9,689","8,981","$8,955 ",$1.00 
Herrings/sardines             ,115,115,$146 ,$1.28 
Milkfish                      ,"1,363","1,229","$8,418 ",$6.85 
Flying fishes                 ,15,11,$3 ,$0.33 
Needlefishes                  ,"5,864","5,712","$5,934 ",$1.04 
Threadfin                     ,"1,383",988,"$3,814 ",$3.86 
Mullets                       ,"10,171","8,998","$23,726 ",$2.64 
Pomfret                       ,"6,055","6,028","$12,413 ",$2.06 
Oilfish                       ,410,405,$101 ,$0.25 
Jacks                         ,"62,822","57,972","$87,938 ",$1.52 
Kahala (amberjack)            ,"20,239","14,428","$5,455 ",$0.38 
Sasa ulua                     ,131,131,$251 ,$1.92 
Butaguchi (pig-lipped ulua)   ,"81,259","81,090","$88,292 ",$1.09 
Dobe ulua                     ,"2,897","2,627","$4,172 ",$1.59 
Papa ulua                     ,"8,514","8,442","$15,659 ",$1.85 
White ulua                    ,"19,016","18,631","$30,113 ",$1.62 
Gunkin (black) ulua           ,"1,299","1,249","$2,175 ",$1.74 
Blue trevally                 ,"11,841","11,371","$25,041 ",$2.20 
Hapuupuu (hawaiian grouper)   ,"75,153","72,309","$147,820 ",$2.04 
Blue spot grouper             ,"1,173","1,157","$3,245 ",$2.80 
Kalekale                      ,"29,880","28,847","$59,447 ",$2.06 
Snappers                      ,"1,656","1,492","$4,292 ",$2.88 
Taape (blue lined snapper)    ,"49,765","47,122","$48,639 ",$1.03 
Ehu (red snapper)             ,"54,889","53,123","$168,741 ",$3.18 
Gindai (flower snapper)       ,"4,953","4,832","$11,282 ",$2.33 
Lehi (silverjaw)              ,"37,744","36,384","$102,181 ",$2.81 
Onaga (red snapper)           ,"196,745","194,210","$842,327 ",$4.34 
Opakapaka (pink snapper)      ,"411,625","397,861","$1,309,612 ",$3.29 
Uku (gray snapper)            ,"57,997","57,068","$180,841 ",$3.17 
Snake mackerel                ,41,0,$0 ,$0.00 
Porgy                         ,"1,814","1,725","$3,587 ",$2.08 
Reef fishes (unknown)         ,289,196,$247 ,$1.26 
Reef jacks                    ,61,57,$279 ,$4.90 
Squirrelfishes                ,"43,517","41,197","$96,134 ",$2.33 
Trumpetfish                   ,116,64,$52 ,$0.82 
Scorpionfishes                ,"4,373","4,144","$10,570 ",$2.55 
Mountain bass                 ,"5,849","5,458","$11,633 ",$2.13 
Bigeyes                       ,"11,448","10,583","$17,073 ",$1.61 
Goatfishes                    ,"55,820","52,803","$119,231 ",$2.26 
Rudderfish                    ,"16,164","15,210","$10,987 ",$0.72 
Damselfishes                  ,"1,178","1,121","$1,448 ",$1.29 
Hawkfish                      ,718,676,$899 ,$1.33 
Tilapia                       ,"2,339","2,287","$7,721 ",$3.38 
Wrasses                       ,"10,525","9,774","$24,582 ",$2.52 
Parrotfishes                  ,"46,459","44,240","$66,839 ",$1.51 
Gobies                        ,62,51,$199 ,$3.90 
Surgeonfishes/tangs           ,"60,969","53,506","$54,186 ",$1.01 
Flounders                     ,26,26,$36 ,$1.41 
Filefishes                    ,"1,162","1,081",$902 ,$0.83 
Pufferfishes                  ,39,0,$0 ,$0.00 
Moonfish (opah)               ,"8,106","8,106","$12,879 ",$1.59 
Rainbow runner                ,"15,211","14,391","$18,562 ",$1.29 
Mahimahi                      ,"679,331","645,799","$1,490,709 ",$2.31 
Barracudas                    ,"14,022","12,880","$16,405 ",$1.27 
Wahoo                         ,"391,519","369,685","$1,013,258 ",$2.74 
Japanese mackerel             ,43,15,$29 ,$1.96 
Tunas (unknown)               ,809,417,$458 ,$1.10 
Skipjack tuna                 ,"3,628,524","3,540,206","$3,848,469 ",$1.09 
Yellowfin tuna                ,"3,858,199","3,660,074","$5,305,439 ",$1.45 
Albacore tuna                 ,"32,442","31,472","$41,060 ",$1.30 
Bigeye tuna                   ,"168,661","164,531","$583,847 ",$3.55 
Kawakawa                      ,"24,705","14,929","$15,482 ",$1.04 
Billfishes (unknown)          ,714,633,$754 ,$1.19 
Swordfish                     ,"19,269","18,728","$58,621 ",$3.13 
Blue marlin                   ,"581,805","528,226","$462,263 ",$0.88 
Black marlin                  ,"23,525","23,166","$21,477 ",$0.93 
Striped marlin                ,"107,511","100,964","$135,661 ",$1.34 
Shortnose spearfish           ,"22,262","19,859","$34,694 ",$1.75 
Sailfish                      ,"4,229","4,096","$7,779 ",$1.90 
Spiny lobsters                ,"191,220","186,506","$1,939,036 ",$10.40 
Slipper lobsters              ,"153,860","153,626","$1,598,483 ",$10.41 
Crabs                         ,"23,357","21,106","$70,896 ",$3.36 
Shrimp (freshwater)           ,326,309,"$1,622 ",$5.25 
Shrimp (saltwater)            ,"13,547","11,820","$55,645 ",$4.71 
Octopus                       ,"35,788","29,079","$62,376 ",$2.15 
Squid                         ,"3,644","3,072","$5,212 ",$1.70 
Limpets (saltwater)           ,"18,438","16,808","$43,019 ",$2.56 
Invertebrates                 ,"12,203","8,213","$65,377 ",$7.96 
Algae                         ,"13,120","12,680","$34,407 ",$2.71 
TOTAL,"11,987,142","11,459,474","$21,483,526 ",$1.87 
