Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"15,807","14,361","$15,732 ",$1.10 
Sharks                        ,"25,977","20,182","$11,505 ",$0.57 
Rays                          ,43,43,$107 ,$2.50 
Eels                          ,"4,757","4,725","$2,131 ",$0.45 
Bigeye scad (akule)           ,"608,159","567,263","$616,222 ",$1.09 
Mackerel scad                 ,"468,742","460,864","$570,730 ",$1.24 
Leatherjacket                 ,334,282,$203 ,$0.72 
Ten pounder                   ,"2,696","2,572","$2,186 ",$0.85 
Bonefish                      ,"23,149","22,449","$15,573 ",$0.69 
Herrings/sardines             ,274,274,$183 ,$0.67 
Milkfish                      ,"3,413","3,353","$3,955 ",$1.18 
Flying fishes                 ,80,12,$16 ,$1.37 
Needlefishes                  ,438,383,$384 ,$1.00 
Threadfin                     ,"6,134","5,730","$10,690 ",$1.87 
Mullets                       ,"9,385","9,931","$22,559 ",$2.27 
Pomfret                       ,"7,513","7,513","$8,800 ",$1.17 
Oilfish                       ,"1,133","1,018",$355 ,$0.35 
Freshwater fishes             ,11,11,$26 ,$2.36 
Jacks                         ,"105,485","99,555","$167,054 ",$1.68 
Kahala (amberjack)            ,"103,250","90,860","$63,918 ",$0.70 
Sasa ulua                     ,330,330,$277 ,$0.84 
Butaguchi (pig-lipped ulua)   ,"4,602","4,320","$4,571 ",$1.06 
Dobe ulua                     ,349,338,$423 ,$1.25 
Papa ulua                     ,759,707,"$1,477 ",$2.09 
White ulua                    ,"16,005","15,648","$34,636 ",$2.21 
Blue trevally                 ,"11,058","10,747","$19,857 ",$1.85 
Hapuupuu (hawaiian grouper)   ,"45,036","43,803","$80,582 ",$1.84 
Blue spot grouper             ,364,364,$505 ,$1.39 
Kalekale                      ,"16,400","14,730","$29,647 ",$2.01 
Snappers                      ,"9,357","9,344","$7,162 ",$0.77 
Taape (blue lined snapper)    ,"62,185","58,119","$33,274 ",$0.57 
Ehu (red snapper)             ,"39,144","37,297","$109,982 ",$2.95 
Gindai (flower snapper)       ,"4,138","3,768","$6,721 ",$1.78 
Lehi (silverjaw)              ,"23,682","23,052","$59,434 ",$2.58 
Onaga (red snapper)           ,"94,688","91,346","$319,964 ",$3.50 
Opakapaka (pink snapper)      ,"225,117","217,862","$701,073 ",$3.22 
Uku (gray snapper)            ,"140,207","135,941","$343,402 ",$2.53 
Snake mackerel                ,94,94,$71 ,$0.76 
Porgy                         ,"8,914","8,497","$13,381 ",$1.57 
Reef fishes (unknown)         ,"2,623","2,179","$2,280 ",$1.05 
Reef jacks                    ,950,718,"$1,775 ",$2.47 
Squirrelfishes                ,"31,362","29,903","$59,423 ",$1.99 
Trumpetfish                   ,220,157,$55 ,$0.36 
Scorpionfishes                ,"2,264","2,069","$4,617 ",$2.23 
Mountain bass                 ,"6,118","5,966","$8,692 ",$1.46 
Bigeyes                       ,"4,166","3,896","$4,987 ",$1.28 
Goatfishes                    ,"106,091","102,026","$163,847 ",$1.61 
Rudderfish                    ,"8,911","8,401","$5,471 ",$0.65 
Damselfishes                  ,"3,033","2,952","$3,494 ",$1.18 
Hawkfish                      ,420,362,$460 ,$1.27 
Tilapia                       ,"4,798","4,531","$4,970 ",$1.10 
