Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"12,201","10,766","$11,791 ",$1.10 
Sharks                        ,"31,564","7,367","$5,227 ",$0.71 
Rays                          ,2,2,$0 ,$0.32 
Eels                          ,"4,595","4,484","$1,606 ",$0.36 
Bigeye scad (akule)           ,"378,300","340,727","$399,463 ",$1.17 
Mackerel scad                 ,"318,760","309,801","$398,106 ",$1.29 
Leatherjacket                 ,358,246,$153 ,$0.62 
Ten pounder                   ,"3,053","2,593","$2,385 ",$0.92 
Bonefish                      ,"16,352","15,862","$14,975 ",$0.94 
Herrings/sardines             ,322,322,$180 ,$0.56 
Milkfish                      ,"3,803","3,756","$3,839 ",$1.02 
Flying fishes                 ,2,2,$1 ,$0.50 
Needlefishes                  ,240,225,$173 ,$0.77 
Threadfin                     ,"3,380","2,878","$8,309 ",$2.89 
Mullets                       ,"11,848","11,419","$26,912 ",$2.36 
Pomfret                       ,512,491,$472 ,$0.96 
Oilfish                       ,244,244,$71 ,$0.29 
Jacks                         ,"93,916","87,054","$123,108 ",$1.41 
Kahala (amberjack)            ,"38,149","32,223","$24,023 ",$0.75 
Sasa ulua                     ,28,28,$35 ,$1.27 
Butaguchi (pig-lipped ulua)   ,"3,526","3,451","$2,192 ",$0.64 
Dobe ulua                     ,134,134,$172 ,$1.29 
Papa ulua                     ,28,23,$34 ,$1.51 
White ulua                    ,"4,535","4,415","$6,314 ",$1.43 
Blue trevally                 ,"3,504","3,387","$5,320 ",$1.57 
Hapuupuu (hawaiian grouper)   ,"30,979","30,434","$53,705 ",$1.76 
Blue spot grouper             ,"1,482","1,482","$3,078 ",$2.08 
Kalekale                      ,"7,270","6,544","$12,376 ",$1.89 
Snappers                      ,"2,309","2,309","$4,156 ",$1.80 
Taape (blue lined snapper)    ,"81,284","77,298","$42,515 ",$0.55 
Ehu (red snapper)             ,"22,104","20,835","$52,306 ",$2.51 
Gindai (flower snapper)       ,"1,696","1,645","$3,324 ",$2.02 
Lehi (silverjaw)              ,"26,197","24,715","$51,939 ",$2.10 
Onaga (red snapper)           ,"54,906","52,226","$174,869 ",$3.35 
Opakapaka (pink snapper)      ,"191,079","183,072","$516,756 ",$2.82 
Uku (gray snapper)            ,"85,124","82,226","$194,968 ",$2.37 
Snake mackerel                ,71,62,$52 ,$0.85 
Porgy                         ,"2,142","2,058","$3,678 ",$1.79 
Reef fishes (unknown)         ,"1,773","1,353","$1,022 ",$0.76 
Reef jacks                    ,811,641,"$1,415 ",$2.21 
Squirrelfishes                ,"42,284","40,543","$79,774 ",$1.97 
Trumpetfish                   ,294,283,$135 ,$0.48 
Scorpionfishes                ,"3,725","3,593","$6,569 ",$1.83 
Mountain bass                 ,"5,546","5,002","$5,954 ",$1.19 
Bigeyes                       ,"10,224","9,898","$10,285 ",$1.04 
Goatfishes                    ,"123,919","118,296","$191,246 ",$1.62 
Rudderfish                    ,"14,960","13,335","$6,992 ",$0.52 
Damselfishes                  ,"2,598","2,509","$2,304 ",$0.92 
Hawkfish                      ,761,738,"$1,250 ",$1.69 
Tilapia                       ,"30,718","22,130","$15,266 ",$0.69 
Wrasses                       ,"13,995","10,392","$15,209 ",$1.46 
Parrotfishes                  ,"22,003","20,594","$22,959 ",$1.11 
Surgeonfishes/tangs           ,"62,555","58,109","$45,600 ",$0.78 
Flounders                     ,22,22,$18 ,$0.83 
Filefishes                    ,"2,994","2,977","$2,589 ",$0.87 
Pufferfishes                  ,12,12,$5 ,$0.45 
Pelagic fishes (unknown)      ,10,10,$2 ,$0.25 
Moonfish (opah)               ,602,596,$142 ,$0.24 
Rainbow runner                ,"3,922","3,669","$3,480 ",$0.95 
Mahimahi                      ,"229,455","208,525","$514,621 ",$2.47 
Barracudas                    ,"9,325","8,047","$7,937 ",$0.99 
Wahoo                         ,"275,255","250,886","$506,964 ",$2.02 
Japanese mackerel             ,52,50,$53 ,$1.07 
Tunas (unknown)               ,"11,671","11,671","$28,841 ",$2.47 
Skipjack tuna                 ,"4,124,252","4,089,097","$3,307,836 ",$0.81 
Yellowfin tuna                ,"2,802,316","2,717,029","$3,495,623 ",$1.29 
Albacore tuna                 ,"242,874","242,428","$237,358 ",$0.98 
Bigeye tuna                   ,"29,595","29,339","$77,677 ",$2.65 
Kawakawa                      ,"36,673","30,489","$24,986 ",$0.82 
Billfishes (unknown)          ,459,205,$266 ,$1.30 
Swordfish                     ,"29,847","29,201","$47,715 ",$1.63 
Blue marlin                   ,"482,464","419,273","$241,490 ",$0.58 
Black marlin                  ,"10,324","8,233","$4,857 ",$0.59 
Striped marlin                ,"47,751","41,208","$49,288 ",$1.20 
Shortnose spearfish           ,"11,932","7,826","$7,893 ",$1.01 
Sailfish                      ,"1,048",843,$609 ,$0.72 
Spiny lobsters                ,"13,857","13,247","$74,012 ",$5.59 
Slipper lobsters              ,328,277,"$1,025 ",$3.70 
Crabs                         ,"18,729","14,422","$39,478 ",$2.74 
Shrimp (freshwater)           ,"9,017","7,946","$27,385 ",$3.45 
Octopus                       ,"12,243","9,329","$18,885 ",$2.02 
Squid                         ,"8,099","7,445","$7,160 ",$0.96 
Limpets (saltwater)           ,"7,383","6,775","$15,938 ",$2.35 
Invertebrates                 ,"13,908","13,831","$7,957 ",$0.58 
Algae                         ,"9,007","8,941","$18,860 ",$2.11 
TOTAL,"10,217,592","9,818,071","$11,325,554 ",$1.15 
