Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"31,202","30,753","$11,955 ",$0.39 
Sharks                        ,"13,834","13,834","$2,056 ",$0.15 
Rays                          ,36,36,$3 ,$0.10 
Eels                          ,"14,567","14,542","$1,456 ",$0.10 
Bigeye scad (akule)           ,"411,732","402,649","$248,694 ",$0.62 
Mackerel scad                 ,"192,554","190,488","$75,711 ",$0.40 
Leatherjacket                 ,"1,718","1,596",$543 ,$0.34 
Ten pounder                   ,"8,105","8,073","$3,306 ",$0.41 
Bonefish                      ,"63,212","61,528","$19,788 ",$0.32 
Herrings/sardines             ,"2,976","2,971",$513 ,$0.17 
Milkfish                      ,"33,848","33,737","$8,580 ",$0.25 
Flying fishes                 ,156,156,$65 ,$0.42 
Needlefishes                  ,"2,589","2,535",$393 ,$0.16 
Threadfin                     ,"16,478","15,708","$10,381 ",$0.66 
Mullets                       ,"66,736","65,052","$45,382 ",$0.70 
Freshwater fishes             ,319,319,$231 ,$0.73 
Jacks                         ,"169,824","169,143","$60,677 ",$0.36 
Kahala (amberjack)            ,"166,565","166,398","$39,755 ",$0.24 
Blue trevally                 ,"34,675","34,648","$11,749 ",$0.34 
Hapuupuu (hawaiian grouper)   ,"68,583","68,522","$22,191 ",$0.32 
Kalekale                      ,"42,964","42,702","$17,910 ",$0.42 
Ehu (red snapper)             ,"61,441","61,055","$37,520 ",$0.61 
Gindai (flower snapper)       ,"3,833","3,830","$1,321 ",$0.35 
Lehi (silverjaw)              ,"6,932","6,894","$2,114 ",$0.31 
Onaga (red snapper)           ,"56,768","56,618","$37,022 ",$0.65 
Opakapaka (pink snapper)      ,"262,794","261,330","$101,748 ",$0.39 
Uku (gray snapper)            ,"49,943","49,804","$17,856 ",$0.36 
Porgy                         ,"2,678","2,677","$1,529 ",$0.57 
Reef fishes (unknown)         ,"2,661","2,641",$493 ,$0.19 
Reef jacks                    ,871,846,$653 ,$0.77 
Squirrelfishes                ,"54,901","54,069","$34,946 ",$0.65 
Trumpetfish                   ,"1,019","1,002",$113 ,$0.11 
Scorpionfishes                ,"1,845","1,845",$794 ,$0.43 
Mountain bass                 ,"9,307","9,260","$5,426 ",$0.59 
Bigeyes                       ,"7,312","7,280","$3,086 ",$0.42 
Goatfishes                    ,"128,974","127,623","$84,842 ",$0.66 
Rudderfish                    ,"4,204","4,193","$1,821 ",$0.43 
Damselfishes                  ,"4,296","4,302","$1,654 ",$0.38 
Wrasses                       ,"9,656","9,592","$2,860 ",$0.30 
Parrotfishes                  ,"10,670","10,615","$3,695 ",$0.35 
Gobies                        ,107,107,$71 ,$0.67 
Surgeonfishes/tangs           ,"36,780","36,605","$10,400 ",$0.28 
Flounders                     ,8,8,$4 ,$0.57 
Filefishes                    ,546,546,$347 ,$0.64 
Moonfish (opah)               ,497,497,$23 ,$0.05 
Rainbow runner                ,"1,327","1,320",$288 ,$0.22 
Mahimahi                      ,"189,089","188,944","$61,482 ",$0.33 
Barracudas                    ,"21,850","21,463","$7,139 ",$0.33 
Wahoo                         ,"37,613","37,587","$10,100 ",$0.27 
Tunas (unknown)               ,"35,329","34,882","$9,509 ",$0.27 
Skipjack tuna                 ,"1,385,523","1,376,164","$200,734 ",$0.15 
Yellowfin tuna                ,"730,899","730,279","$219,581 ",$0.30 
Albacore tuna                 ,"50,334","50,334","$12,787 ",$0.25 
Bigeye tuna                   ,"1,975,250","1,974,007","$585,092 ",$0.30 
Kawakawa                      ,"14,054","13,862","$3,237 ",$0.23 
Billfishes (unknown)          ,"36,228","36,228","$8,506 ",$0.23 
Swordfish                     ,"53,376","53,376","$14,461 ",$0.27 
Blue marlin                   ,"588,652","587,710","$186,008 ",$0.32 
Black marlin                  ,"9,941","9,941","$2,826 ",$0.28 
Striped marlin                ,"373,975","372,284","$105,876 ",$0.28 
Sailfish                      ,"71,321","71,321","$23,493 ",$0.33 
Spiny lobsters                ,"16,986","16,916","$9,990 ",$0.59 
Slipper lobsters              ,207,207,$93 ,$0.45 
Crabs                         ,"7,183","7,157","$2,468 ",$0.34 
Shrimp (freshwater)           ,233,233,$356 ,$1.53 
Octopus                       ,"14,773","14,506","$7,788 ",$0.54 
Squid                         ,"5,402","5,203","$2,332 ",$0.45 
Limpets (saltwater)           ,"3,400","3,141","$1,145 ",$0.36 
Clams                         ,"2,886","2,886",$492 ,$0.17 
Sea turtles                   ,"5,144","5,144","$1,049 ",$0.20 
Algae                         ,400,400,$460 ,$1.15 
TOTAL,"7,692,092","7,654,125","$2,409,000 ",$0.31 
