Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"11,848","11,796","$24,637 ",$2.09 
Sharks                        ,"35,060","25,435","$25,079 ",$0.99 
Eels                          ,"1,469","1,415",$758 ,$0.54 
Bigeye scad (akule)           ,"338,527","324,241","$598,012 ",$1.84 
Mackerel scad                 ,"281,399","274,686","$440,232 ",$1.60 
Leatherjacket                 ,775,631,$529 ,$0.84 
Ten pounder                   ,971,956,$904 ,$0.95 
Bonefish                      ,"9,230","8,425","$8,404 ",$1.00 
Herrings/sardines             ,18,18,$24 ,$1.33 
Milkfish                      ,"1,539","1,462","$2,308 ",$1.58 
Flying fishes                 ,2,2,$0 ,$0.30 
Needlefishes                  ,"5,725","5,634","$4,465 ",$0.79 
Threadfin                     ,"4,252","4,065","$18,479 ",$4.55 
Mullets                       ,"8,682","7,579","$19,766 ",$2.61 
Pomfret                       ,"6,130","6,088","$12,038 ",$1.98 
Oilfish                       ,745,660,$174 ,$0.26 
Jacks                         ,"103,868","96,203","$156,015 ",$1.62 
Kahala (amberjack)            ,"42,668","19,412","$12,999 ",$0.67 
Sasa ulua                     ,"1,978","1,852","$2,301 ",$1.24 
Butaguchi (pig-lipped ulua)   ,"34,146","33,969","$46,093 ",$1.36 
Dobe ulua                     ,"3,617","3,347","$4,854 ",$1.45 
Papa ulua                     ,"10,385","10,165","$21,692 ",$2.13 
White ulua                    ,"34,368","33,813","$54,612 ",$1.62 
Gunkin (black) ulua           ,762,762,"$1,357 ",$1.78 
Blue trevally                 ,"15,184","14,684","$34,457 ",$2.35 
Hapuupuu (hawaiian grouper)   ,"33,888","33,536","$78,582 ",$2.34 
Blue spot grouper             ,"1,455","1,446","$3,435 ",$2.38 
Kalekale                      ,"12,415","11,348","$24,903 ",$2.19 
Snappers                      ,"3,130","3,092","$10,347 ",$3.35 
Taape (blue lined snapper)    ,"44,624","42,249","$47,233 ",$1.12 
Ehu (red snapper)             ,"51,239","49,461","$162,801 ",$3.29 
Gindai (flower snapper)       ,"2,690","2,611","$7,544 ",$2.89 
Lehi (silverjaw)              ,"51,199","49,666","$147,446 ",$2.97 
Onaga (red snapper)           ,"160,697","157,812","$733,895 ",$4.65 
Opakapaka (pink snapper)      ,"352,913","342,490","$1,215,179 ",$3.55 
Uku (gray snapper)            ,"347,828","342,316","$870,190 ",$2.54 
Snake mackerel                ,2,0,$0 ,$0.00 
Porgy                         ,"4,188","3,958","$5,452 ",$1.38 
Reef fishes (unknown)         ,271,67,$73 ,$1.10 
Reef jacks                    ,63,63,$289 ,$4.60 
Squirrelfishes                ,"38,276","37,024","$89,140 ",$2.41 
Trumpetfish                   ,790,259,"$1,757 ",$6.78 
Scorpionfishes                ,"3,006","2,826","$7,557 ",$2.67 
Mountain bass                 ,"10,960","10,496","$21,314 ",$2.03 
Bigeyes                       ,"11,132","10,466","$19,546 ",$1.87 
Goatfishes                    ,"70,300","66,522","$149,387 ",$2.25 
Rudderfish                    ,"15,955","15,353","$10,407 ",$0.68 
Damselfishes                  ,755,709,$914 ,$1.29 
Hawkfish                      ,"1,571","1,494","$1,271 ",$0.85 
Tilapia                       ,"3,292","3,142","$10,240 ",$3.26 
Wrasses                       ,"14,004","12,742","$24,759 ",$1.94 
Parrotfishes                  ,"53,650","52,165","$57,403 ",$1.10 
Surgeonfishes/tangs           ,"60,259","56,674","$60,847 ",$1.07 
Flounders                     ,38,38,$36 ,$0.97 
Filefishes                    ,335,313,$226 ,$0.72 
Pufferfishes                  ,96,62,$375 ,$6.05 
Moonfish (opah)               ,"14,973","14,273","$21,588 ",$1.51 
Rainbow runner                ,"26,347","25,507","$34,594 ",$1.36 
Mahimahi                      ,"301,546","285,246","$887,968 ",$3.11 
Barracudas                    ,"19,715","18,300","$24,462 ",$1.34 
Wahoo                         ,"363,234","344,303","$946,333 ",$2.75 
Japanese mackerel             ,21,8,$11 ,$1.38 
Tunas (unknown)               ,264,217,$336 ,$1.55 
Skipjack tuna                 ,"4,147,125","4,058,532","$4,264,707 ",$1.05 
Yellowfin tuna                ,"2,514,453","2,416,375","$4,530,033 ",$1.87 
Albacore tuna                 ,"55,565","55,339","$80,942 ",$1.46 
Bigeye tuna                   ,"299,390","287,935","$1,027,162 ",$3.57 
Kawakawa                      ,"25,537","15,219","$17,077 ",$1.12 
Billfishes (unknown)          ,844,797,"$2,210 ",$2.77 
Swordfish                     ,"30,469","30,418","$84,726 ",$2.79 
Blue marlin                   ,"642,929","582,274","$504,575 ",$0.87 
Black marlin                  ,"20,969","20,579","$18,185 ",$0.88 
Striped marlin                ,"247,123","230,676","$267,710 ",$1.16 
Shortnose spearfish           ,"37,966","33,825","$56,441 ",$1.67 
Sailfish                      ,"4,783","4,470","$5,827 ",$1.30 
Spiny lobsters                ,"332,900","305,177","$2,970,561 ",$9.73 
Slipper lobsters              ,"65,564","61,534","$554,375 ",$9.01 
Crabs                         ,"28,441","27,083","$109,478 ",$4.04 
Shrimp (freshwater)           ,46,46,$299 ,$6.51 
Shrimp (saltwater)            ,900,400,"$1,300 ",$3.25 
Octopus                       ,"28,326","23,122","$50,028 ",$2.16 
Squid                         ,"8,707","7,766","$11,926 ",$1.54 
Limpets (saltwater)           ,"13,317","11,778","$30,664 ",$2.60 
Invertebrates                 ,"12,918","3,341","$7,228 ",$2.16 
Algae                         ,"16,561","15,530","$42,363 ",$2.73 
TOTAL,"11,565,302","11,077,771","$21,805,883 ",$1.97 
