Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"4,174","2,329","$4,447 ",$1.91 
Sharks                        ,"461,488","275,460","$101,522 ",$0.37 
Rays                          ,43,0,$0 ,$0.00 
Eels                          ,694,680,$713 ,$1.05 
Armorhead                     ,6,0,$0 ,$0.00 
Bigeye scad (akule)           ,"657,317","244,197","$496,264 ",$2.03 
Mackerel scad                 ,"232,749","154,102","$342,515 ",$2.22 
Leatherjacket                 ,518,350,$459 ,$1.31 
Ten pounder                   ,764,639,$652 ,$1.02 
Bonefish                      ,"4,009","3,485","$3,604 ",$1.03 
Milkfish                      ,"2,948","2,761","$3,408 ",$1.23 
Needlefishes                  ,825,303,$463 ,$1.53 
Threadfin                     ,436,348,"$1,963 ",$5.63 
Mullets                       ,"8,944","8,753","$30,423 ",$3.48 
Pomfret                       ,"676,814","646,122","$1,440,165 ",$2.23 
Oilfish                       ,"388,654","385,807","$704,253 ",$1.83 
Jacks                         ,"1,590",881,"$1,954 ",$2.22 
Kahala (amberjack)            ,"7,701",230,$172 ,$0.75 
Sasa ulua                     ,"1,186",780,"$1,366 ",$1.75 
Butaguchi (pig-lipped ulua)   ,"15,234","13,241","$34,965 ",$2.64 
Dobe ulua                     ,130,130,$426 ,$3.26 
Papa ulua                     ,"5,523","3,208","$9,433 ",$2.94 
White ulua                    ,"15,121","11,674","$22,629 ",$1.94 
Gunkin (black) ulua           ,"1,777","1,363","$2,437 ",$1.79 
Blue trevally                 ,"9,613","3,628","$7,292 ",$2.01 
Hapuupuu (hawaiian grouper)   ,"53,972","45,527","$208,439 ",$4.58 
Blue spot grouper             ,456,156,$355 ,$2.27 
Kalekale                      ,"9,634","8,078","$30,741 ",$3.81 
Snappers                      ,"2,121","1,803","$5,638 ",$3.13 
Yellow-tail kali              ,44,0,$0 ,$0.00 
Taape (blue lined snapper)    ,"47,440","43,591","$49,034 ",$1.12 
Ehu (red snapper)             ,"34,326","28,308","$131,860 ",$4.66 
Gindai (flower snapper)       ,"7,421","6,131","$21,204 ",$3.46 
Golden kalekale               ,154,113,$255 ,$2.26 
Lehi (silverjaw)              ,"6,945","6,575","$22,266 ",$3.39 
Onaga (red snapper)           ,"117,516","97,983","$660,643 ",$6.74 
Opakapaka (pink snapper)      ,"114,712","105,242","$626,410 ",$5.95 
Uku (gray snapper)            ,"156,081","145,399","$484,465 ",$3.33 
Snake mackerel                ,4,0,$0 ,$0.00 
Porgy                         ,"1,805","1,446","$4,023 ",$2.78 
Reef fishes (unknown)         ,65,3,$9 ,$3.00 
Reef jacks                    ,54,54,$176 ,$3.24 
Squirrelfishes                ,"38,043","33,073","$115,848 ",$3.50 
Trumpetfish                   ,42,30,$42 ,$1.40 
Scorpionfishes                ,"3,290","2,629","$11,547 ",$4.39 
Mountain bass                 ,"2,237","1,354","$4,611 ",$3.40 
Bigeyes                       ,"6,403","5,708","$15,299 ",$2.68 
Goatfishes                    ,"43,270","36,437","$100,610 ",$2.76 
Rudderfish                    ,"20,427","19,446","$19,909 ",$1.02 
Damselfishes                  ,"2,222","1,325","$3,481 ",$2.63 
Hawkfish                      ,461,416,"$1,030 ",$2.48 
Tilapia                       ,"2,519","1,213","$1,802 ",$1.49 
Wrasses                       ,"4,175","3,752","$14,752 ",$3.93 
Parrotfishes                  ,"33,153","30,130","$89,698 ",$2.98 
Surgeonfishes/tangs           ,"94,762","83,227","$121,535 ",$1.46 
Flounders                     ,278,272,$573 ,$2.11 
Filefishes                    ,"1,416","1,133","$1,697 ",$1.50 
Pufferfishes                  ,8,3,$1 ,$0.50 
Pelagic fishes (unknown)      ,"2,756",123,$12 ,$0.10 
Moonfish (opah)               ,"1,099,729","1,086,076","$1,897,336 ",$1.75 
Rainbow runner                ,"5,465","4,265","$6,725 ",$1.58 
Mahimahi                      ,"1,639,933","1,439,848","$3,597,664 ",$2.50 
Barracudas                    ,"36,916","33,878","$25,182 ",$0.74 
Wahoo                         ,"904,206","817,909","$2,253,321 ",$2.76 
Tunas (unknown)               ,"22,034",640,"$1,491 ",$2.33 
Skipjack tuna                 ,"1,187,107","964,413","$1,132,190 ",$1.17 
Yellowfin tuna                ,"3,286,667","3,211,692","$7,375,524 ",$2.30 
Albacore tuna                 ,"1,035,650","1,010,000","$1,508,684 ",$1.49 
Bigeye tuna                   ,"11,866,843","10,934,526","$36,058,686 ",$3.30 
Kawakawa                      ,"7,989","3,354","$4,867 ",$1.45 
Billfishes (unknown)          ,"8,474",314,$318 ,$1.01 
Swordfish                     ,"3,628,450","3,438,573","$7,767,760 ",$2.26 
Blue marlin                   ,"1,153,208","969,984","$972,200 ",$1.00 
Black marlin                  ,"4,539","2,461","$2,740 ",$1.11 
Striped marlin                ,"1,240,977","1,218,188","$1,536,755 ",$1.26 
Shortnose spearfish           ,"493,847","467,746","$420,143 ",$0.90 
Sailfish                      ,"20,951","7,419","$8,479 ",$1.14 
Spiny lobsters                ,"11,958","10,094","$110,952 ",$10.99 
Slipper lobsters              ,56,12,$101 ,$8.36 
Crabs                         ,"29,730","8,940","$35,948 ",$4.02 
Shrimp (saltwater)            ,"114,789",84,$756 ,$9.00 
Octopus                       ,"24,317","21,682","$65,437 ",$3.02 
Squid                         ,"1,560","1,444","$2,668 ",$1.85 
Limpets (saltwater)           ,"8,233","4,985","$44,743 ",$8.98 
Invertebrates                 ,"11,636","7,236","$216,054 ",$29.86 
Algae                         ,"10,490","7,299","$40,759 ",$5.58 
TOTAL,"31,162,265","28,144,248","$71,047,012 ",$2.52 
