Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"14,117","13,342","$7,464 ",$0.56 
Sharks                        ,"1,157",0,$0 ,$0.00 
Eels                          ,"8,586","8,328",$763 ,$0.09 
Bigeye scad (akule)           ,"869,595","797,317","$390,471 ",$0.49 
Mackerel scad                 ,"171,679","167,361","$117,218 ",$0.70 
Leatherjacket                 ,"1,827","1,702",$542 ,$0.32 
Ten pounder                   ,"4,699","4,571","$2,712 ",$0.59 
Bonefish                      ,"36,169","33,717","$14,599 ",$0.43 
Herrings/sardines             ,"1,007",975,$510 ,$0.52 
Milkfish                      ,"8,383","8,026","$3,213 ",$0.40 
Flying fishes                 ,34,34,$9 ,$0.28 
Needlefishes                  ,319,319,$112 ,$0.35 
Threadfin                     ,"7,227","6,996","$8,968 ",$1.28 
Mullets                       ,"20,427","19,585","$25,849 ",$1.32 
Oilfish                       ,34,34,$1 ,$0.05 
Jacks                         ,"44,729","40,964","$31,407 ",$0.77 
Kahala (amberjack)            ,"56,982","56,120","$26,254 ",$0.47 
Blue trevally                 ,905,830,$632 ,$0.76 
Hapuupuu (hawaiian grouper)   ,"36,916","36,251","$31,063 ",$0.86 
Kalekale                      ,"7,108","6,966","$8,456 ",$1.21 
Taape (blue lined snapper)    ,"3,544","3,520","$1,591 ",$0.45 
Ehu (red snapper)             ,"30,234","29,469","$42,099 ",$1.43 
Gindai (flower snapper)       ,"1,933","1,868","$1,738 ",$0.93 
Lehi (silverjaw)              ,"5,056","4,908","$3,182 ",$0.65 
Onaga (red snapper)           ,"50,295","50,063","$84,729 ",$1.69 
Opakapaka (pink snapper)      ,"118,135","112,204","$100,312 ",$0.89 
Uku (gray snapper)            ,"52,227","51,109","$34,900 ",$0.68 
Snake mackerel                ,38,38,$20 ,$0.55 
Porgy                         ,435,435,$437 ,$1.01 
Reef fishes (unknown)         ,"1,274","1,103",$538 ,$0.49 
Reef jacks                    ,973,830,$711 ,$0.86 
Squirrelfishes                ,"17,275","16,167","$14,760 ",$0.91 
Trumpetfish                   ,29,25,$5 ,$0.23 
Scorpionfishes                ,"1,653","1,535","$1,364 ",$0.89 
Mountain bass                 ,"3,687","3,451","$3,301 ",$0.96 
Bigeyes                       ,"3,294","3,153","$1,913 ",$0.61 
Goatfishes                    ,"80,470","76,686","$57,999 ",$0.76 
Rudderfish                    ,"5,351","5,056","$2,327 ",$0.46 
Damselfishes                  ,"1,747","1,709","$1,025 ",$0.60 
Tilapia                       ,11,11,$4 ,$0.42 
Wrasses                       ,"4,420","3,926","$2,750 ",$0.70 
Parrotfishes                  ,"4,320","4,079","$2,081 ",$0.51 
Gobies                        ,"1,751","1,704","$2,503 ",$1.47 
Surgeonfishes/tangs           ,"35,741","33,445","$11,760 ",$0.35 
Flounders                     ,28,22,$15 ,$0.71 
Filefishes                    ,108,108,$77 ,$0.72 
Pufferfishes                  ,63,63,$58 ,$0.93 
Moonfish (opah)               ,"1,251","1,251",$89 ,$0.07 
Rainbow runner                ,"1,037",905,$290 ,$0.32 
Mahimahi                      ,"175,247","138,513","$115,006 ",$0.83 
Barracudas                    ,"8,196","7,603","$3,884 ",$0.51 
Wahoo                         ,"52,870","39,222","$17,513 ",$0.45 
Japanese mackerel             ,48,48,$19 ,$0.40 
Skipjack tuna                 ,"10,913,767","10,899,982","$2,947,205 ",$0.27 
Yellowfin tuna                ,"825,854","783,851","$560,355 ",$0.71 
Albacore tuna                 ,"17,975","17,975","$11,736 ",$0.65 
Bigeye tuna                   ,"504,045","503,760","$683,843 ",$1.36 
Kawakawa                      ,"36,553","28,865","$7,171 ",$0.25 
Billfishes (unknown)          ,649,634,$139 ,$0.22 
Swordfish                     ,123,123,$72 ,$0.59 
Blue marlin                   ,"55,183","3,001",$339 ,$0.11 
Black marlin                  ,465,103,$15 ,$0.15 
Striped marlin                ,"171,846","144,039","$113,709 ",$0.79 
Shortnose spearfish           ,"6,198","5,796","$2,302 ",$0.40 
Sailfish                      ,967,967,$342 ,$0.35 
Spiny lobsters                ,"5,349","5,195","$8,152 ",$1.57 
Slipper lobsters              ,78,78,$50 ,$0.65 
Crabs                         ,"115,135","113,146","$151,440 ",$1.34 
Shrimp (freshwater)           ,"1,078","1,077","$2,376 ",$2.21 
Octopus                       ,"10,184","9,476","$9,316 ",$0.98 
Squid                         ,"2,276","2,240","$1,577 ",$0.70 
Limpets (saltwater)           ,"17,538","16,561","$17,004 ",$1.03 
Invertebrates                 ,"3,581","3,525","$3,386 ",$0.96 
Sea turtles                   ,"25,583","23,447","$10,583 ",$0.45 
Algae                         ,"96,563","96,460","$34,837 ",$0.36 
TOTAL,"14,765,631","14,457,968","$5,745,229 ",$0.40 
