Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"12,507","11,875","$23,667 ",$1.99 
Sharks                        ,"242,534","124,284","$112,989 ",$0.91 
Rays                          ,100,0,$0 ,$0.00 
Eels                          ,986,875,$814 ,$0.93 
Bigeye scad (akule)           ,"602,871","576,540","$987,946 ",$1.71 
Mackerel scad                 ,"303,287","284,894","$530,309 ",$1.86 
Leatherjacket                 ,783,612,"$1,035 ",$1.69 
Ten pounder                   ,"2,759","2,695","$2,553 ",$0.95 
Bonefish                      ,"7,319","6,184","$6,050 ",$0.98 
Herrings/sardines             ,39,0,$0 ,$0.00 
Milkfish                      ,"1,467","1,420","$1,971 ",$1.39 
Needlefishes                  ,348,314,$326 ,$1.04 
Threadfin                     ,"1,335",884,"$4,656 ",$5.27 
Mullets                       ,"7,474","6,576","$17,760 ",$2.70 
Pomfret                       ,"94,576","93,970","$147,061 ",$1.57 
Oilfish                       ,"1,586",768,"$1,114 ",$1.45 
Jacks                         ,"39,137","31,561","$63,829 ",$2.02 
Kahala (amberjack)            ,"18,843",634,$619 ,$0.98 
Sasa ulua                     ,185,152,$264 ,$1.74 
Butaguchi (pig-lipped ulua)   ,"64,523","63,977","$113,743 ",$1.78 
Dobe ulua                     ,183,183,$240 ,$1.31 
Papa ulua                     ,"6,015","5,764","$12,047 ",$2.09 
White ulua                    ,"12,868","12,239","$14,425 ",$1.18 
Gunkin (black) ulua           ,469,467,$842 ,$1.80 
Blue trevally                 ,"4,227","3,671","$5,768 ",$1.57 
Hapuupuu (hawaiian grouper)   ,"79,339","78,695","$226,641 ",$2.88 
Blue spot grouper             ,191,86,$253 ,$2.95 
Kalekale                      ,"27,615","24,851","$69,345 ",$2.79 
Snappers                      ,"3,344","3,231","$9,916 ",$3.07 
Taape (blue lined snapper)    ,"60,194","56,588","$51,589 ",$0.91 
Ehu (red snapper)             ,"37,488","35,208","$146,759 ",$4.17 
Gindai (flower snapper)       ,"8,764","8,177","$23,408 ",$2.86 
Lehi (silverjaw)              ,"11,237","10,571","$31,935 ",$3.02 
Onaga (red snapper)           ,"102,015","99,009","$587,031 ",$5.93 
Opakapaka (pink snapper)      ,"323,538","312,152","$1,283,817 ",$4.11 
Uku (gray snapper)            ,"146,180","143,723","$417,793 ",$2.91 
Porgy                         ,"2,759","2,470","$6,129 ",$2.48 
Reef fishes (unknown)         ,534,132,$77 ,$0.59 
Reef jacks                    ,66,66,$189 ,$2.87 
Squirrelfishes                ,"38,800","35,735","$113,445 ",$3.17 
Trumpetfish                   ,129,98,$167 ,$1.71 
Scorpionfishes                ,"3,756","3,480","$13,897 ",$3.99 
Mountain bass                 ,"4,636","4,170","$9,991 ",$2.40 
Bigeyes                       ,"5,399","4,972","$12,774 ",$2.57 
Goatfishes                    ,"48,264","43,085","$128,481 ",$2.98 
Rudderfish                    ,"10,753","9,958","$8,550 ",$0.86 
Damselfishes                  ,"1,169","1,071","$1,933 ",$1.81 
Hawkfish                      ,871,815,"$1,608 ",$1.97 
Tilapia                       ,"11,551","9,930","$11,411 ",$1.15 
Wrasses                       ,"7,803","6,666","$15,665 ",$2.35 
Parrotfishes                  ,"40,144","36,461","$82,210 ",$2.25 
Surgeonfishes/tangs           ,"80,419","75,743","$102,676 ",$1.36 
Flounders                     ,126,120,$156 ,$1.30 
Filefishes                    ,378,295,$493 ,$1.67 
Pufferfishes                  ,3,0,$0 ,$0.00 
Moonfish (opah)               ,"446,353","435,079","$486,356 ",$1.12 
Rainbow runner                ,"6,226","5,394","$7,731 ",$1.43 
Mahimahi                      ,"914,922","835,282","$1,733,276 ",$2.08 
Barracudas                    ,"28,624","25,577","$34,346 ",$1.34 
Wahoo                         ,"359,898","330,380","$960,001 ",$2.91 
Japanese mackerel             ,40,40,$81 ,$2.05 
Tunas (unknown)               ,"37,755","37,193","$349,377 ",$9.39 
Skipjack tuna                 ,"1,532,042","1,450,322","$2,308,906 ",$1.59 
Yellowfin tuna                ,"4,084,083","3,944,495","$9,695,146 ",$2.46 
Albacore tuna                 ,"1,203,589","1,199,110","$1,357,264 ",$1.13 
Bigeye tuna                   ,"3,877,160","3,817,338","$14,196,679 ",$3.72 
Kawakawa                      ,"27,366","19,571","$26,947 ",$1.38 
Swordfish                     ,"6,635,104","6,606,014","$22,329,980 ",$3.38 
Blue marlin                   ,"1,241,500","1,156,513","$1,252,937 ",$1.08 
Black marlin                  ,"32,987","30,256","$35,607 ",$1.18 
Striped marlin                ,"770,825","740,070","$1,203,283 ",$1.63 
Shortnose spearfish           ,"178,920","167,628","$187,616 ",$1.12 
Sailfish                      ,"7,112","6,652","$8,081 ",$1.21 
Spiny lobsters                ,"17,406","16,253","$248,861 ",$15.31 
Slipper lobsters              ,"5,954","5,514","$56,289 ",$10.21 
Crabs                         ,"39,639","35,103","$146,007 ",$4.16 
Shrimp (freshwater)           ,134,95,$475 ,$5.00 
Shrimp (saltwater)            ,"96,079","77,364","$397,362 ",$5.14 
Octopus                       ,"16,595","10,907","$32,314 ",$2.96 
Squid                         ,"10,513","7,598","$19,633 ",$2.58 
Limpets (saltwater)           ,"11,444","9,316","$44,320 ",$4.76 
Invertebrates                 ,"4,417","4,272","$84,623 ",$19.81 
Algae                         ,"19,066","17,712","$62,857 ",$3.55 
TOTAL,"24,089,639","23,229,145","$62,674,758 ",$2.70 
