Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,023","5,023","$11,173 ",$2.22 
Sharks                        ,"442,802","265,133","$108,245 ",$0.41 
Eels                          ,805,767,$965 ,$1.26 
Bigeye scad (akule)           ,"611,751","316,030","$583,307 ",$1.85 
Mackerel scad                 ,"330,374","254,827","$484,146 ",$1.90 
Leatherjacket                 ,834,301,$458 ,$1.52 
Ten pounder                   ,527,138,$158 ,$1.14 
Bonefish                      ,"4,472","4,029","$4,062 ",$1.01 
Herrings/sardines             ,20,0,$0 ,$0.00 
Milkfish                      ,"1,827","1,642","$1,820 ",$1.11 
Flying fishes                 ,3,3,$7 ,$2.00 
Needlefishes                  ,269,221,$324 ,$1.46 
Threadfin                     ,264,188,$867 ,$4.60 
Mullets                       ,"9,419","7,643","$24,663 ",$3.23 
Pomfret                       ,"501,404","489,820","$675,061 ",$1.38 
Oilfish                       ,"203,896","203,558","$289,760 ",$1.42 
Jacks                         ,"21,247","2,640","$11,315 ",$4.28 
Kahala (amberjack)            ,"12,711",965,$882 ,$0.91 
Sasa ulua                     ,204,144,$222 ,$1.54 
Butaguchi (pig-lipped ulua)   ,"35,759","30,668","$48,552 ",$1.58 
Dobe ulua                     ,612,428,$665 ,$1.55 
Papa ulua                     ,"4,226","3,213","$6,669 ",$2.08 
White ulua                    ,"14,161","13,428","$22,625 ",$1.68 
Gunkin (black) ulua           ,"4,332","4,110","$6,250 ",$1.52 
Blue trevally                 ,"6,515","5,835","$9,937 ",$1.70 
Hapuupuu (hawaiian grouper)   ,"39,941","37,387","$153,026 ",$4.09 
Blue spot grouper             ,714,284,$884 ,$3.11 
Kalekale                      ,"17,649","17,398","$55,679 ",$3.20 
Snappers                      ,"2,435","2,340","$6,571 ",$2.81 
Yellow-tail kali              ,20,13,$31 ,$2.42 
Taape (blue lined snapper)    ,"53,947","51,682","$55,119 ",$1.07 
Ehu (red snapper)             ,"30,557","29,369","$122,065 ",$4.16 
Gindai (flower snapper)       ,"5,003","4,444","$13,525 ",$3.04 
Golden kalekale               ,142,127,$324 ,$2.55 
Lehi (silverjaw)              ,"10,273","10,071","$32,583 ",$3.24 
Onaga (red snapper)           ,"142,675","134,851","$737,288 ",$5.47 
Opakapaka (pink snapper)      ,"156,352","150,762","$755,185 ",$5.01 
Uku (gray snapper)            ,"126,121","113,241","$277,117 ",$2.45 
Snake mackerel                ,1,1,$1 ,$1.00 
Porgy                         ,"3,501","3,259","$9,071 ",$2.78 
Reef fishes (unknown)         ,398,390,$409 ,$1.05 
Reef jacks                    ,132,47,$140 ,$2.96 
Squirrelfishes                ,"53,586","52,356","$172,886 ",$3.30 
Trumpetfish                   ,134,104,$157 ,$1.51 
Scorpionfishes                ,"2,932","2,813","$11,985 ",$4.26 
Mountain bass                 ,"5,541","3,705","$11,202 ",$3.02 
Bigeyes                       ,"5,449","4,424","$12,643 ",$2.86 
Goatfishes                    ,"67,413","60,520","$171,132 ",$2.83 
Rudderfish                    ,"32,101","27,209","$28,581 ",$1.05 
Damselfishes                  ,"1,675","1,069","$1,954 ",$1.83 
Hawkfish                      ,937,850,"$2,058 ",$2.42 
Tilapia                       ,788,373,$746 ,$2.00 
Wrasses                       ,"8,337","6,393","$25,352 ",$3.97 
Parrotfishes                  ,"50,329","49,995","$126,689 ",$2.53 
Surgeonfishes/tangs           ,"133,950","133,672","$185,822 ",$1.39 
Flounders                     ,82,82,$91 ,$1.11 
Filefishes                    ,"2,351","2,339","$3,177 ",$1.36 
Pufferfishes                  ,2,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,"2,459",72,$19 ,$0.26 
Moonfish (opah)               ,"928,771","912,070","$1,219,467 ",$1.34 
Rainbow runner                ,"5,274","4,460","$5,894 ",$1.32 
Mahimahi                      ,"1,389,110","1,379,452","$2,630,165 ",$1.91 
Barracudas                    ,"23,056","20,053","$19,458 ",$0.97 
Wahoo                         ,"692,462","661,368","$1,452,459 ",$2.20 
Tunas (unknown)               ,"9,557",958,"$4,459 ",$4.65 
Skipjack tuna                 ,"1,186,753","957,376","$1,219,383 ",$1.27 
Yellowfin tuna                ,"2,784,519","2,633,486","$5,969,070 ",$2.27 
Albacore tuna                 ,"1,678,312","1,641,889","$1,925,728 ",$1.17 
Bigeye tuna                   ,"10,814,925","10,640,864","$28,480,109 ",$2.68 
Kawakawa                      ,"11,042","9,024","$8,951 ",$0.99 
Billfishes (unknown)          ,"7,054",98,$147 ,$1.50 
Swordfish                     ,"717,320","702,727","$1,371,307 ",$1.95 
Blue marlin                   ,"1,042,306","875,676","$1,018,805 ",$1.16 
Black marlin                  ,"10,332","8,077","$9,382 ",$1.16 
Striped marlin                ,"617,568","614,986","$982,495 ",$1.60 
Shortnose spearfish           ,"327,945","314,108","$269,238 ",$0.86 
Sailfish                      ,"21,499","11,008","$15,414 ",$1.40 
Spiny lobsters                ,"10,462","9,578","$121,537 ",$12.69 
Slipper lobsters              ,90,58,$495 ,$8.52 
Crabs                         ,"20,232","15,555","$64,961 ",$4.18 
Shrimp (freshwater)           ,40,0,$0 ,$0.00 
Shrimp (saltwater)            ,"4,246","1,272","$9,777 ",$7.69 
Octopus                       ,"27,671","26,692","$77,652 ",$2.91 
Squid                         ,"3,674","2,227","$5,529 ",$2.48 
Limpets (saltwater)           ,"13,904","9,373","$71,182 ",$7.59 
Invertebrates                 ,"11,812","4,183","$109,128 ",$26.08 
Algae                         ,"9,576","8,814","$57,750 ",$6.55 
TOTAL,"25,540,937","23,977,866","$52,385,628 ",$2.18 
