Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"16,611","16,211","$31,758 ",$1.96 
Sharks                        ,"18,691","15,041","$18,055 ",$1.20 
Rays                          ,340,340,$140 ,$0.41 
Eels                          ,871,763,$449 ,$0.59 
Bigeye scad (akule)           ,"226,094","212,016","$368,277 ",$1.74 
Mackerel scad                 ,"359,152","346,232","$536,470 ",$1.55 
Leatherjacket                 ,266,232,$256 ,$1.11 
Ten pounder                   ,598,507,$510 ,$1.01 
Bonefish                      ,"17,371","16,311","$15,413 ",$0.95 
Herrings/sardines             ,26,24,$37 ,$1.55 
Milkfish                      ,"1,248","1,186","$1,421 ",$1.20 
Flying fishes                 ,10,10,$6 ,$0.67 
Needlefishes                  ,"5,041","4,934","$4,996 ",$1.01 
Threadfin                     ,"2,523","2,440","$6,211 ",$2.55 
Mullets                       ,"8,084","7,099","$19,273 ",$2.71 
Pomfret                       ,"8,533","8,473","$13,447 ",$1.59 
Oilfish                       ,"1,016",716,$452 ,$0.63 
Jacks                         ,"59,581","54,774","$89,767 ",$1.64 
Kahala (amberjack)            ,"40,197","25,344","$13,250 ",$0.52 
Sasa ulua                     ,156,153,$166 ,$1.09 
Butaguchi (pig-lipped ulua)   ,"72,349","71,901","$77,713 ",$1.08 
Dobe ulua                     ,"2,265","2,188","$2,669 ",$1.22 
Papa ulua                     ,"9,292","9,184","$14,512 ",$1.58 
White ulua                    ,"18,811","18,340","$35,402 ",$1.93 
Gunkin (black) ulua           ,523,523,$549 ,$1.05 
Blue trevally                 ,"13,010","12,512","$21,811 ",$1.74 
Hapuupuu (hawaiian grouper)   ,"103,457","102,639","$164,015 ",$1.60 
Blue spot grouper             ,889,878,"$1,727 ",$1.97 
Kalekale                      ,"23,384","22,067","$43,787 ",$1.98 
Snappers                      ,"5,938","5,739","$8,119 ",$1.41 
Taape (blue lined snapper)    ,"53,730","50,858","$41,412 ",$0.81 
Ehu (red snapper)             ,"60,423","57,269","$162,216 ",$2.83 
Gindai (flower snapper)       ,"5,256","5,027","$11,194 ",$2.23 
Lehi (silverjaw)              ,"23,059","21,607","$59,986 ",$2.78 
Onaga (red snapper)           ,"239,679","235,412","$867,851 ",$3.69 
Opakapaka (pink snapper)      ,"305,262","288,498","$922,850 ",$3.20 
Uku (gray snapper)            ,"106,526","104,011","$289,063 ",$2.78 
Snake mackerel                ,6,6,$0 ,$0.09 
Porgy                         ,"1,777","1,719","$3,174 ",$1.85 
Reef fishes (unknown)         ,483,355,$589 ,$1.66 
Reef jacks                    ,88,88,$248 ,$2.82 
Squirrelfishes                ,"40,355","38,009","$87,256 ",$2.30 
Trumpetfish                   ,404,288,$175 ,$0.61 
Scorpionfishes                ,"3,892","3,659","$8,398 ",$2.30 
Mountain bass                 ,"4,911","4,534","$9,856 ",$2.17 
Bigeyes                       ,"10,285","9,661","$15,132 ",$1.57 
Goatfishes                    ,"68,735","66,659","$135,435 ",$2.03 
Rudderfish                    ,"14,830","13,979","$8,840 ",$0.63 
Damselfishes                  ,"2,170","2,164","$2,751 ",$1.27 
Hawkfish                      ,885,866,"$1,144 ",$1.32 
Tilapia                       ,"1,381","1,304","$4,026 ",$3.09 
Wrasses                       ,"8,295","7,519","$14,297 ",$1.90 
Parrotfishes                  ,"40,724","39,537","$53,399 ",$1.35 
Surgeonfishes/tangs           ,"76,976","74,026","$65,538 ",$0.89 
Flounders                     ,28,28,$31 ,$1.13 
Filefishes                    ,402,401,$243 ,$0.61 
Pufferfishes                  ,89,59,$268 ,$4.55 
Moonfish (opah)               ,"25,787","25,787","$33,439 ",$1.30 
Rainbow runner                ,"14,661","14,030","$12,983 ",$0.93 
Mahimahi                      ,"421,658","399,003","$1,129,815 ",$2.83 
Barracudas                    ,"12,054","10,673","$13,519 ",$1.27 
Wahoo                         ,"481,288","455,003","$1,090,148 ",$2.40 
Japanese mackerel             ,104,92,$30 ,$0.33 
Tunas (unknown)               ,"2,286",537,$790 ,$1.47 
Skipjack tuna                 ,"2,342,353","2,272,308","$2,270,401 ",$1.00 
Yellowfin tuna                ,"3,825,193","3,653,369","$4,508,644 ",$1.23 
Albacore tuna                 ,"197,586","197,424","$167,434 ",$0.85 
Bigeye tuna                   ,"233,750","280,444","$621,918 ",$2.22 
Kawakawa                      ,"24,425","21,918","$27,672 ",$1.26 
Billfishes (unknown)          ,125,125,$210 ,$1.68 
Swordfish                     ,"21,589","21,376","$60,530 ",$2.83 
Blue marlin                   ,"497,949","460,872","$385,937 ",$0.84 
Black marlin                  ,"11,635","10,343","$8,866 ",$0.86 
Striped marlin                ,"106,896","102,779","$134,169 ",$1.31 
Shortnose spearfish           ,"22,137","19,642","$34,507 ",$1.76 
Sailfish                      ,"11,882","11,733","$11,987 ",$1.02 
Spiny lobsters                ,"395,827","392,601","$3,248,732 ",$8.27 
Slipper lobsters              ,"331,856","328,710","$1,917,302 ",$5.83 
Crabs                         ,"36,561","33,279","$114,419 ",$3.44 
Shrimp (freshwater)           ,"1,948","1,831","$6,963 ",$3.80 
Shrimp (saltwater)            ,428,428,"$1,690 ",$3.95 
Octopus                       ,"42,536","34,471","$73,678 ",$2.14 
Squid                         ,"4,784","3,991","$5,436 ",$1.36 
Limpets (saltwater)           ,"14,426","12,866","$35,210 ",$2.74 
Invertebrates                 ,"30,654","27,580","$38,561 ",$1.40 
Algae                         ,"14,284","13,971","$35,688 ",$2.55 
TOTAL,"11,213,641","10,793,507","$20,246,748 ",$1.88 
