Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"33,069","31,992","$15,516 ",$0.49 
Sharks                        ,861,0,$0 ,$0.00 
Rays                          ,944,344,$77 ,$0.22 
Eels                          ,"5,543","5,297",$706 ,$0.13 
Bigeye scad (akule)           ,"627,026","537,895","$322,667 ",$0.60 
Mackerel scad                 ,"217,260","209,290","$161,191 ",$0.77 
Leatherjacket                 ,421,343,$129 ,$0.38 
Ten pounder                   ,"4,582","4,234","$2,364 ",$0.56 
Bonefish                      ,"40,036","37,143","$16,610 ",$0.45 
Herrings/sardines             ,135,0,$0 ,$0.00 
Milkfish                      ,"16,335","14,828","$6,925 ",$0.47 
Flying fishes                 ,17,17,$6 ,$0.38 
Needlefishes                  ,105,88,$18 ,$0.21 
Threadfin                     ,"6,299","5,500","$8,699 ",$1.58 
Mullets                       ,"20,113","18,484","$27,066 ",$1.46 
Oilfish                       ,71,71,$14 ,$0.20 
Jacks                         ,"62,928","58,902","$50,085 ",$0.85 
Kahala (amberjack)            ,"34,091","32,458","$16,916 ",$0.52 
Blue trevally                 ,"1,621","1,584","$1,375 ",$0.87 
Hapuupuu (hawaiian grouper)   ,"39,439","38,460","$38,735 ",$1.01 
Kalekale                      ,"5,812","5,460","$6,849 ",$1.25 
Taape (blue lined snapper)    ,"6,298","6,096","$3,253 ",$0.53 
Ehu (red snapper)             ,"26,803","25,235","$38,859 ",$1.54 
Gindai (flower snapper)       ,"1,544","1,471","$1,538 ",$1.05 
Lehi (silverjaw)              ,"4,300","4,130","$3,235 ",$0.78 
Onaga (red snapper)           ,"40,526","39,518","$77,657 ",$1.97 
Opakapaka (pink snapper)      ,"111,541","106,446","$115,849 ",$1.09 
Uku (gray snapper)            ,"82,645","80,341","$71,323 ",$0.89 
Snake mackerel                ,4,4,$1 ,$0.34 
Porgy                         ,531,531,$533 ,$1.00 
Reef fishes (unknown)         ,"1,171","1,100",$470 ,$0.43 
Reef jacks                    ,"1,010",634,$785 ,$1.24 
Squirrelfishes                ,"17,022","14,919","$16,126 ",$1.08 
Trumpetfish                   ,162,139,$64 ,$0.46 
Scorpionfishes                ,"1,207","1,125","$1,192 ",$1.06 
Mountain bass                 ,"3,659","3,337","$3,315 ",$0.99 
Bigeyes                       ,"2,205","1,773","$1,267 ",$0.71 
Goatfishes                    ,"73,943","70,348","$62,914 ",$0.89 
Rudderfish                    ,"9,753","9,309","$3,553 ",$0.38 
Damselfishes                  ,"1,488","1,193",$862 ,$0.72 
Tilapia                       ,"2,240","2,240","$2,243 ",$1.00 
Wrasses                       ,"6,144","5,794","$5,144 ",$0.89 
Parrotfishes                  ,"4,586","4,276","$2,284 ",$0.53 
Gobies                        ,"1,407","1,396","$2,502 ",$1.79 
Surgeonfishes/tangs           ,"52,781","46,699","$18,158 ",$0.39 
Flounders                     ,12,12,$9 ,$0.80 
Filefishes                    ,20,20,$16 ,$0.83 
Pufferfishes                  ,7,7,$4 ,$0.57 
Moonfish (opah)               ,778,778,$639 ,$0.82 
Rainbow runner                ,"4,573","4,465","$1,275 ",$0.29 
Mahimahi                      ,"111,727","88,125","$108,566 ",$1.23 
Barracudas                    ,"7,490","6,386","$4,174 ",$0.65 
Wahoo                         ,"72,653","54,313","$32,843 ",$0.60 
Japanese mackerel             ,12,12,$6 ,$0.51 
Skipjack tuna                 ,"7,451,706","7,424,471","$2,682,263 ",$0.36 
Yellowfin tuna                ,"1,154,095","1,103,636","$983,060 ",$0.89 
Albacore tuna                 ,"19,509","19,411","$14,890 ",$0.77 
Bigeye tuna                   ,"412,922","412,483","$730,814 ",$1.77 
Kawakawa                      ,"34,774","28,205","$8,952 ",$0.32 
Billfishes (unknown)          ,444,444,$222 ,$0.50 
Swordfish                     ,23,23,$8 ,$0.35 
Blue marlin                   ,"125,145","76,872","$22,967 ",$0.30 
Black marlin                  ,546,546,$460 ,$0.84 
Striped marlin                ,"196,153","154,419","$97,481 ",$0.63 
Shortnose spearfish           ,"14,308","12,064","$4,797 ",$0.40 
Sailfish                      ,853,778,$213 ,$0.27 
Spiny lobsters                ,"4,467","3,974","$7,414 ",$1.87 
Slipper lobsters              ,58,57,$90 ,$1.59 
Crabs                         ,"97,465","95,420","$142,651 ",$1.50 
Shrimp (freshwater)           ,"4,626","4,398","$10,103 ",$2.30 
Octopus                       ,"11,006","9,994","$11,663 ",$1.17 
Squid                         ,"3,446","3,409","$3,164 ",$0.93 
Limpets (saltwater)           ,"16,582","16,325","$21,085 ",$1.29 
Clams                         ,513,513,$513 ,$1.00 
Invertebrates                 ,"4,666","4,656","$3,652 ",$0.78 
Sea turtles                   ,"2,037","2,037",$797 ,$0.39 
Algae                         ,"46,366","45,885","$23,899 ",$0.52 
TOTAL,"11,368,660","11,004,582","$6,027,799 ",$0.55 
