Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"2,238","1,760","$2,774 ",$1.58 
Sharks                        ,"443,694","364,425","$193,682 ",$0.53 
Rays                          ,6,0,$0 ,$0.00 
Eels                          ,"1,973","1,973","$2,052 ",$1.04 
Armorhead                     ,11,0,$0 ,$0.00 
Bigeye scad (akule)           ,"738,932","269,068","$638,537 ",$2.37 
Mackerel scad                 ,"358,990","194,540","$461,132 ",$2.37 
Leatherjacket                 ,283,277,$472 ,$1.70 
Ten pounder                   ,"1,484","1,206","$1,242 ",$1.03 
Bonefish                      ,"10,079","6,640","$6,876 ",$1.04 
Milkfish                      ,"3,636","3,295","$4,280 ",$1.30 
Flying fishes                 ,1,0,$0 ,$0.00 
Needlefishes                  ,"1,758",219,$348 ,$1.59 
Threadfin                     ,568,228,"$1,372 ",$6.01 
Mullets                       ,"11,345","10,483","$37,829 ",$3.61 
Pomfret                       ,"612,109","594,130","$1,462,918 ",$2.46 
Oilfish                       ,"458,500","458,293","$1,019,868 ",$2.23 
Jacks                         ,"1,577",702,"$1,819 ",$2.59 
Kahala (amberjack)            ,"11,549","1,026","$1,960 ",$1.91 
Sasa ulua                     ,573,192,$489 ,$2.54 
Butaguchi (pig-lipped ulua)   ,"13,969","11,087","$18,293 ",$1.65 
Dobe ulua                     ,55,31,$84 ,$2.73 
Papa ulua                     ,"3,772","1,773","$5,509 ",$3.11 
White ulua                    ,"31,070","12,192","$24,721 ",$2.03 
Gunkin (black) ulua           ,"1,482",435,$701 ,$1.61 
Blue trevally                 ,"7,637","3,811","$9,184 ",$2.41 
Hapuupuu (hawaiian grouper)   ,"29,812","23,048","$117,058 ",$5.08 
Blue spot grouper             ,"1,322",386,"$1,079 ",$2.79 
Kalekale                      ,"7,430","5,473","$18,956 ",$3.46 
Snappers                      ,"3,221","2,336","$8,201 ",$3.51 
Yellow-tail kali              ,16,8,$29 ,$3.62 
Taape (blue lined snapper)    ,"32,919","29,484","$39,897 ",$1.35 
Ehu (red snapper)             ,"22,076","16,466","$84,002 ",$5.10 
Gindai (flower snapper)       ,"4,593","3,256","$12,780 ",$3.93 
Golden kalekale               ,122,84,$244 ,$2.90 
Lehi (silverjaw)              ,"8,515","7,723","$28,853 ",$3.74 
Onaga (red snapper)           ,"98,004","79,427","$528,874 ",$6.66 
Opakapaka (pink snapper)      ,"110,121","87,372","$493,381 ",$5.65 
Uku (gray snapper)            ,"172,764","148,898","$473,370 ",$3.18 
Porgy                         ,"3,324","3,320","$11,206 ",$3.38 
Reef fishes (unknown)         ,282,120,$126 ,$1.04 
Reef jacks                    ,35,6,$23 ,$3.83 
Squirrelfishes                ,"37,690","33,008","$132,365 ",$4.01 
Trumpetfish                   ,38,24,$24 ,$0.98 
Scorpionfishes                ,"2,300","1,471","$6,075 ",$4.13 
Mountain bass                 ,"1,977","1,477","$6,165 ",$4.17 
Bigeyes                       ,"5,197","4,110","$13,619 ",$3.31 
Goatfishes                    ,"34,891","26,474","$94,326 ",$3.56 
Rudderfish                    ,"32,860","31,074","$34,006 ",$1.09 
Damselfishes                  ,"1,546","1,384","$3,597 ",$2.60 
Hawkfish                      ,601,443,"$1,109 ",$2.50 
Tilapia                       ,"3,606",273,$796 ,$2.92 
Wrasses                       ,"4,605","2,550","$7,507 ",$2.94 
Parrotfishes                  ,"45,244","43,501","$155,928 ",$3.58 
Surgeonfishes/tangs           ,"86,768","85,394","$155,075 ",$1.82 
Flounders                     ,90,70,$89 ,$1.27 
Filefishes                    ,726,693,"$1,231 ",$1.78 
Pelagic fishes (unknown)      ,"1,249",86,$31 ,$0.36 
Moonfish (opah)               ,"1,239,714","1,227,916","$2,172,859 ",$1.77 
Rainbow runner                ,"1,632",986,"$2,063 ",$2.09 
Mahimahi                      ,"1,667,347","1,389,615","$3,485,064 ",$2.51 
Barracudas                    ,"27,794","25,409","$28,134 ",$1.11 
Wahoo                         ,"855,297","715,299","$2,087,002 ",$2.92 
Japanese mackerel             ,1,0,$0 ,$0.00 
Tunas (unknown)               ,"10,465","5,107","$19,946 ",$3.91 
Skipjack tuna                 ,"997,522","729,390","$794,285 ",$1.09 
Yellowfin tuna                ,"3,523,122","3,247,211","$7,243,356 ",$2.23 
Albacore tuna                 ,"765,119","735,426","$1,131,288 ",$1.54 
Bigeye tuna                   ,"13,621,299","12,881,477","$41,992,494 ",$3.26 
Kawakawa                      ,"8,624","2,548","$3,949 ",$1.55 
Billfishes (unknown)          ,"5,152",736,$373 ,$0.51 
Swordfish                     ,"3,905,078","3,644,442","$7,730,460 ",$2.12 
Blue marlin                   ,"854,337","747,841","$913,453 ",$1.22 
Black marlin                  ,"7,962","4,769","$6,157 ",$1.29 
Striped marlin                ,"667,447","623,790","$1,109,711 ",$1.78 
Shortnose spearfish           ,"328,521","316,978","$346,846 ",$1.09 
Sailfish                      ,"27,784","25,903","$24,767 ",$0.96 
Spiny lobsters                ,"8,559","7,844","$92,907 ",$11.84 
Slipper lobsters              ,120,3,$27 ,$8.00 
Crabs                         ,"43,973","12,634","$53,489 ",$4.23 
Shrimp (saltwater)            ,"3,554",416,"$2,333 ",$5.60 
Octopus                       ,"18,306","17,004","$61,495 ",$3.62 
Squid                         ,"2,490","2,211","$5,176 ",$2.34 
Limpets (saltwater)           ,"8,764","6,799","$58,764 ",$8.64 
Invertebrates                 ,"4,868",988,"$25,336 ",$25.63 
Algae                         ,"6,653","4,337","$35,623 ",$8.21 
TOTAL,"32,082,780","28,954,339","$75,753,559 ",$2.62 
