Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"19,517","19,178","$6,082 ",$0.32 
Sharks                        ,"22,670","22,670","$3,389 ",$0.15 
Eels                          ,"7,627","7,627",$936 ,$0.12 
Bigeye scad (akule)           ,"334,411","328,592","$210,951 ",$0.64 
Mackerel scad                 ,"272,930","270,894","$99,362 ",$0.37 
Leatherjacket                 ,"2,652","2,524",$858 ,$0.34 
Ten pounder                   ,"6,005","5,989","$2,656 ",$0.44 
Bonefish                      ,"32,439","31,997","$10,178 ",$0.32 
Herrings/sardines             ,"3,973","3,773",$744 ,$0.20 
Milkfish                      ,"15,331","15,290","$3,643 ",$0.24 
Flying fishes                 ,397,423,$151 ,$0.36 
Needlefishes                  ,976,972,$211 ,$0.22 
Threadfin                     ,"7,391","7,456","$5,437 ",$0.73 
Mullets                       ,"41,970","41,652","$30,385 ",$0.73 
Jacks                         ,"311,285","310,726","$96,525 ",$0.31 
Kahala (amberjack)            ,"98,533","97,899","$18,708 ",$0.19 
Blue trevally                 ,"22,177","22,206","$8,710 ",$0.39 
Hapuupuu (hawaiian grouper)   ,"77,096","77,084","$21,311 ",$0.28 
Kalekale                      ,"38,291","38,084","$19,046 ",$0.50 
Ehu (red snapper)             ,"48,251","49,021","$35,044 ",$0.71 
Gindai (flower snapper)       ,"2,803","2,536",$953 ,$0.38 
Lehi (silverjaw)              ,"3,459","3,456","$1,208 ",$0.35 
Onaga (red snapper)           ,"58,904","58,887","$43,925 ",$0.75 
Opakapaka (pink snapper)      ,"233,468","231,719","$95,296 ",$0.41 
Uku (gray snapper)            ,"72,706","77,341","$29,361 ",$0.38 
Snake mackerel                ,"2,053","2,053","$1,334 ",$0.65 
Porgy                         ,"1,260","1,260",$665 ,$0.53 
Reef fishes (unknown)         ,"4,842","4,842",$774 ,$0.16 
Reef jacks                    ,"2,395","2,510",$585 ,$0.23 
Squirrelfishes                ,"41,113","41,485","$30,899 ",$0.74 
Trumpetfish                   ,117,117,$19 ,$0.17 
Scorpionfishes                ,"2,394","2,392","$1,316 ",$0.55 
Mountain bass                 ,"5,180","4,478","$2,571 ",$0.57 
Bigeyes                       ,"3,957","3,941","$1,954 ",$0.50 
Goatfishes                    ,"158,951","159,641","$110,732 ",$0.69 
Rudderfish                    ,"7,727","7,673","$2,524 ",$0.33 
Damselfishes                  ,"3,972","3,968","$1,716 ",$0.43 
Wrasses                       ,"9,247","9,038","$2,621 ",$0.29 
Parrotfishes                  ,"6,259","6,247","$2,548 ",$0.41 
Surgeonfishes/tangs           ,"31,185","30,678","$9,383 ",$0.31 
Flounders                     ,46,46,$23 ,$0.52 
Filefishes                    ,636,636,$368 ,$0.58 
Pufferfishes                  ,149,149,$88 ,$0.59 
Moonfish (opah)               ,21,21,$12 ,$0.60 
Rainbow runner                ,"1,098","1,119",$205 ,$0.18 
Mahimahi                      ,"163,695","163,482","$67,290 ",$0.41 
Barracudas                    ,"19,785","19,452","$8,315 ",$0.43 
Wahoo                         ,"52,195","550,228","$61,379 ",$0.11 
Japanese mackerel             ,"4,041","3,970","$1,072 ",$0.27 
Tunas (unknown)               ,"61,676","38,104","$10,170 ",$0.27 
Skipjack tuna                 ,"9,238,707","9,214,844","$1,214,636 ",$0.13 
Yellowfin tuna                ,"639,086","637,926","$162,218 ",$0.25 
Albacore tuna                 ,"49,217","49,022","$8,568 ",$0.17 
Bigeye tuna                   ,"2,827,249","2,838,733","$742,776 ",$0.26 
Kawakawa                      ,"24,139","23,892","$4,951 ",$0.21 
Billfishes (unknown)          ,"2,963","2,963",$611 ,$0.21 
Swordfish                     ,"17,820","17,820","$2,736 ",$0.15 
Blue marlin                   ,"577,482","580,132","$136,618 ",$0.24 
Black marlin                  ,"10,118","9,951","$2,107 ",$0.21 
Striped marlin                ,"361,553","368,231","$83,770 ",$0.23 
Shortnose spearfish           ,"3,741","3,741",$725 ,$0.19 
Sailfish                      ,"25,673","25,673","$5,869 ",$0.23 
Spiny lobsters                ,"16,415","16,285","$10,139 ",$0.62 
Slipper lobsters              ,92,92,$47 ,$0.52 
Crabs                         ,"7,087","6,768","$2,677 ",$0.40 
Shrimp (freshwater)           ,233,232,$393 ,$1.70 
Octopus                       ,"8,778","8,715","$5,347 ",$0.61 
Squid                         ,"1,713","1,689",$954 ,$0.56 
Limpets (saltwater)           ,945,834,$344 ,$0.41 
Clams                         ,"6,837","6,591","$1,712 ",$0.26 
Sea turtles                   ,"10,072","9,349","$2,195 ",$0.23 
Algae                         ,255,255,$121 ,$0.47 
TOTAL,"16,149,483","16,609,316","$3,453,200 ",$0.21 
