Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"12,358","12,216","$24,356 ",$1.99 
Sharks                        ,"180,334","143,728","$136,856 ",$0.95 
Rays                          ,7,7,$14 ,$2.00 
Eels                          ,521,490,$947 ,$1.93 
Bigeye scad (akule)           ,"846,095","784,245","$1,207,749 ",$1.54 
Mackerel scad                 ,"350,062","340,202","$522,561 ",$1.54 
Leatherjacket                 ,473,343,$364 ,$1.06 
Ten pounder                   ,"2,235","2,153","$1,803 ",$0.84 
Bonefish                      ,"8,738","6,609","$6,302 ",$0.95 
Milkfish                      ,"3,909","3,851","$6,266 ",$1.63 
Flying fishes                 ,18,16,$7 ,$0.45 
Needlefishes                  ,137,120,$128 ,$1.07 
Threadfin                     ,"1,688","1,386","$6,486 ",$4.68 
Mullets                       ,"10,652","9,422","$26,641 ",$2.83 
Pomfret                       ,"45,512","45,415","$89,413 ",$1.97 
Oilfish                       ,"117,742","115,733","$180,913 ",$1.56 
Jacks                         ,"64,057","53,693","$89,775 ",$1.67 
Kahala (amberjack)            ,"10,352","1,421","$1,747 ",$1.23 
Sasa ulua                     ,269,176,$271 ,$1.54 
Butaguchi (pig-lipped ulua)   ,"53,150","52,659","$85,511 ",$1.62 
Dobe ulua                     ,78,72,$111 ,$1.54 
Papa ulua                     ,"5,462","5,086","$9,526 ",$1.87 
White ulua                    ,"16,256","14,486","$21,457 ",$1.48 
Gunkin (black) ulua           ,153,153,$273 ,$1.79 
Blue trevally                 ,"3,929","3,524","$5,036 ",$1.43 
Hapuupuu (hawaiian grouper)   ,"56,016","55,103","$156,389 ",$2.84 
Blue spot grouper             ,"1,039",949,"$2,291 ",$2.41 
Kalekale                      ,"27,969","25,526","$57,952 ",$2.27 
Snappers                      ,"3,129","2,857","$10,731 ",$3.76 
Taape (blue lined snapper)    ,"67,127","60,887","$45,798 ",$0.75 
Ehu (red snapper)             ,"35,692","33,752","$129,144 ",$3.83 
Gindai (flower snapper)       ,"5,770","5,222","$14,787 ",$2.83 
Lehi (silverjaw)              ,"18,100","16,833","$51,526 ",$3.06 
Onaga (red snapper)           ,"87,564","86,040","$463,511 ",$5.39 
Opakapaka (pink snapper)      ,"256,520","250,748","$1,032,429 ",$4.12 
Uku (gray snapper)            ,"131,517","127,487","$411,664 ",$3.23 
Snake mackerel                ,11,10,$3 ,$0.30 
Porgy                         ,"3,861","3,418","$8,427 ",$2.47 
Reef fishes (unknown)         ,425,121,$73 ,$0.61 
Reef jacks                    ,243,227,$654 ,$2.88 
Squirrelfishes                ,"45,039","41,013","$119,356 ",$2.91 
Trumpetfish                   ,74,58,$48 ,$0.83 
Scorpionfishes                ,"4,501","4,315","$15,790 ",$3.66 
Mountain bass                 ,"5,221","4,752","$10,594 ",$2.23 
Bigeyes                       ,"6,648","5,838","$12,454 ",$2.13 
Goatfishes                    ,"61,881","56,447","$137,750 ",$2.44 
Rudderfish                    ,"12,575","12,216","$10,000 ",$0.82 
Damselfishes                  ,"2,729","2,664","$4,608 ",$1.73 
Hawkfish                      ,"1,461","1,292","$2,579 ",$2.00 
Tilapia                       ,"28,282","27,533","$18,117 ",$0.66 
Wrasses                       ,"10,869","9,457","$23,134 ",$2.45 
Parrotfishes                  ,"38,722","34,120","$64,978 ",$1.90 
Surgeonfishes/tangs           ,"71,956","65,698","$76,923 ",$1.17 
Flounders                     ,172,172,$155 ,$0.90 
Filefishes                    ,402,363,$784 ,$2.16 
Moonfish (opah)               ,"249,614","249,338","$259,247 ",$1.04 
Rainbow runner                ,"7,399","6,732","$9,059 ",$1.35 
Mahimahi                      ,"1,010,770","947,223","$1,727,505 ",$1.82 
Barracudas                    ,"19,945","17,883","$20,881 ",$1.17 
Wahoo                         ,"366,314","334,257","$924,981 ",$2.77 
Japanese mackerel             ,21,0,$0 ,$0.00 
Tunas (unknown)               ,"26,165","25,796","$110,442 ",$4.28 
Skipjack tuna                 ,"2,065,170","1,952,492","$2,751,703 ",$1.41 
Yellowfin tuna                ,"2,963,139","2,850,555","$6,174,852 ",$2.17 
Albacore tuna                 ,"741,632","734,421","$781,734 ",$1.06 
Bigeye tuna                   ,"2,914,231","2,894,358","$10,481,625 ",$3.62 
Kawakawa                      ,"27,101","20,704","$27,926 ",$1.35 
Billfishes (unknown)          ,55,0,$0 ,$0.00 
Swordfish                     ,"12,027,227","11,892,568","$34,617,954 ",$2.91 
Blue marlin                   ,"896,592","810,422","$815,610 ",$1.01 
Black marlin                  ,"25,686","24,491","$29,612 ",$1.21 
Striped marlin                ,"1,163,917","1,139,943","$1,458,629 ",$1.28 
Shortnose spearfish           ,"137,049","130,307","$148,571 ",$1.14 
Sailfish                      ,"5,480","5,143","$5,325 ",$1.04 
Spiny lobsters                ,"129,550","109,698","$1,522,029 ",$13.87 
Slipper lobsters              ,"45,301","41,195","$356,147 ",$8.65 
Crabs                         ,"57,832","53,940","$227,357 ",$4.22 
Shrimp (freshwater)           ,5,5,$25 ,$5.00 
Shrimp (saltwater)            ,"16,897","16,897","$74,434 ",$4.41 
Octopus                       ,"19,981","13,897","$36,328 ",$2.61 
Squid                         ,"1,388","1,312","$2,449 ",$1.87 
Limpets (saltwater)           ,"9,542","7,327","$27,209 ",$3.71 
Invertebrates                 ,"2,683","2,613","$48,488 ",$18.56 
Algae                         ,"14,284","12,913","$31,817 ",$2.46 
TOTAL,"27,664,672","26,828,754","$67,979,131 ",$2.53 
