Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"8,707","7,306","$16,461 ",$2.25 
Sharks                        ,"377,335","289,051","$107,647 ",$0.37 
Rays                          ,8,0,$0 ,$0.00 
Eels                          ,921,921,"$1,021 ",$1.11 
Bigeye scad (akule)           ,"501,220","369,532","$602,058 ",$1.63 
Mackerel scad                 ,"365,706","260,383","$502,510 ",$1.93 
Leatherjacket                 ,699,571,$814 ,$1.42 
Ten pounder                   ,"1,004",526,$607 ,$1.15 
Bonefish                      ,"3,496","3,258","$3,345 ",$1.03 
Herrings/sardines             ,1,0,$0 ,$0.00 
Milkfish                      ,"1,212","1,094","$1,465 ",$1.34 
Needlefishes                  ,161,110,$162 ,$1.47 
Threadfin                     ,315,265,$769 ,$2.89 
Mullets                       ,"9,831","9,206","$30,806 ",$3.35 
Pomfret                       ,"462,441","458,736","$777,185 ",$1.69 
Oilfish                       ,"278,599","278,599","$417,332 ",$1.50 
Jacks                         ,"3,139","2,061","$4,260 ",$2.07 
Kahala (amberjack)            ,"5,986","1,902","$1,212 ",$0.64 
Sasa ulua                     ,511,325,$836 ,$2.57 
Butaguchi (pig-lipped ulua)   ,"27,452","24,569","$47,294 ",$1.92 
Dobe ulua                     ,"15,864","3,908","$6,892 ",$1.76 
Papa ulua                     ,"3,163","1,798","$4,001 ",$2.22 
White ulua                    ,"17,053","13,403","$24,329 ",$1.82 
Gunkin (black) ulua           ,"4,638","3,752","$5,965 ",$1.59 
Blue trevally                 ,"8,433","6,798","$13,258 ",$1.95 
Hapuupuu (hawaiian grouper)   ,"51,273","45,850","$182,143 ",$3.97 
Blue spot grouper             ,"1,626","1,091","$3,466 ",$3.17 
Kalekale                      ,"14,736","14,287","$42,763 ",$2.99 
Snappers                      ,"3,369","3,101","$8,870 ",$2.86 
Yellow-tail kali              ,8,0,$0 ,$0.00 
Taape (blue lined snapper)    ,"48,727","34,172","$37,520 ",$1.10 
Ehu (red snapper)             ,"28,669","27,539","$106,922 ",$3.88 
Gindai (flower snapper)       ,"5,255","4,769","$13,675 ",$2.87 
Golden kalekale               ,144,95,$252 ,$2.64 
Lehi (silverjaw)              ,"10,237","9,777","$31,881 ",$3.26 
Onaga (red snapper)           ,"138,154","131,781","$733,557 ",$5.57 
Opakapaka (pink snapper)      ,"146,922","142,258","$743,429 ",$5.23 
Uku (gray snapper)            ,"155,643","142,575","$346,783 ",$2.43 
Porgy                         ,"4,628","4,299","$10,761 ",$2.50 
Reef fishes (unknown)         ,294,292,$209 ,$0.71 
Reef jacks                    ,293,201,$636 ,$3.17 
Squirrelfishes                ,"47,318","47,318","$155,405 ",$3.28 
Trumpetfish                   ,172,165,$244 ,$1.48 
Scorpionfishes                ,"3,661","3,533","$13,710 ",$3.88 
Mountain bass                 ,"3,493","3,332","$13,099 ",$3.93 
Bigeyes                       ,"6,242","6,221","$19,350 ",$3.11 
Goatfishes                    ,"64,394","50,935","$140,149 ",$2.75 
Rudderfish                    ,"24,214","23,143","$25,545 ",$1.10 
Damselfishes                  ,"1,023",877,"$1,964 ",$2.24 
Hawkfish                      ,363,359,$861 ,$2.40 
Tilapia                       ,983,853,"$1,330 ",$1.56 
Wrasses                       ,"6,484","4,509","$17,970 ",$3.98 
Parrotfishes                  ,"70,674","70,116","$174,621 ",$2.49 
Surgeonfishes/tangs           ,"125,344","119,202","$171,874 ",$1.44 
Flounders                     ,112,98,$169 ,$1.71 
Filefishes                    ,"2,676","2,648","$3,140 ",$1.19 
Pufferfishes                  ,1,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,"3,364",7,$0 ,$0.10 
Moonfish (opah)               ,"1,100,575","1,095,405","$1,509,402 ",$1.38 
Rainbow runner                ,"5,971","5,058","$8,047 ",$1.59 
Mahimahi                      ,"1,336,631","1,326,224","$2,940,048 ",$2.22 
Barracudas                    ,"24,680","23,818","$22,753 ",$0.96 
Wahoo                         ,"1,037,001","989,554","$1,918,916 ",$1.94 
Tunas (unknown)               ,"37,916",599,"$5,314 ",$8.86 
Skipjack tuna                 ,"1,619,550","1,344,601","$1,346,757 ",$1.00 
Yellowfin tuna                ,"3,461,660","3,461,660","$8,682,830 ",$2.51 
Albacore tuna                 ,"1,347,661","1,342,493","$1,561,827 ",$1.16 
Bigeye tuna                   ,"8,375,936","8,270,791","$25,784,172 ",$3.12 
Kawakawa                      ,"8,307","4,327","$4,650 ",$1.07 
Billfishes (unknown)          ,"15,370","2,147","$2,936 ",$1.37 
Swordfish                     ,"318,600","306,157","$691,390 ",$2.26 
Blue marlin                   ,"1,139,302","959,780","$825,519 ",$0.86 
Black marlin                  ,"7,063","4,068","$4,373 ",$1.07 
Striped marlin                ,"1,374,105","1,373,329","$1,156,170 ",$0.84 
Shortnose spearfish           ,"550,817","517,705","$265,733 ",$0.51 
Sailfish                      ,"18,769","3,493","$2,677 ",$0.77 
Spiny lobsters                ,"7,416","5,737","$68,288 ",$11.90 
Slipper lobsters              ,34,34,$273 ,$7.95 
Crabs                         ,"27,826","15,825","$61,448 ",$3.88 
Shrimp (freshwater)           ,171,171,$948 ,$5.55 
Shrimp (saltwater)            ,"5,796","1,892","$11,918 ",$6.30 
Octopus                       ,"26,332","25,468","$73,599 ",$2.89 
Squid                         ,"3,685","3,379","$5,818 ",$1.72 
Limpets (saltwater)           ,"13,402","12,567","$73,050 ",$5.81 
Invertebrates                 ,"7,697","4,674","$119,188 ",$25.50 
Algae                         ,"13,410","6,460","$31,936 ",$4.94 
TOTAL,"24,954,111","23,740,936","$52,752,544 ",$2.22 
