Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"37,542","30,061","$27,006 ",$0.90 
Sharks                        ,"2,200",12,$10 ,$0.82 
Eels                          ,"6,507","6,356","$1,721 ",$0.27 
Bigeye scad (akule)           ,"975,199","913,229","$578,133 ",$0.63 
Mackerel scad                 ,"306,981","295,501","$250,169 ",$0.85 
Leatherjacket                 ,622,553,$278 ,$0.50 
Ten pounder                   ,"2,088","1,704",$954 ,$0.56 
Bonefish                      ,"18,734","17,373","$11,776 ",$0.68 
Herrings/sardines             ,176,111,$51 ,$0.46 
Milkfish                      ,"7,758","4,144","$2,137 ",$0.52 
Flying fishes                 ,1,1,$0 ,$0.35 
Needlefishes                  ,350,172,$67 ,$0.40 
Threadfin                     ,"2,694","2,309","$4,448 ",$1.93 
Mullets                       ,"15,571","14,667","$26,823 ",$1.83 
Oilfish                       ,206,206,$81 ,$0.40 
Jacks                         ,"99,146","93,175","$82,267 ",$0.88 
Kahala (amberjack)            ,"41,023","38,051","$21,630 ",$0.57 
Blue trevally                 ,"2,008","1,877","$2,302 ",$1.23 
Hapuupuu (hawaiian grouper)   ,"58,389","57,029","$72,622 ",$1.27 
Kalekale                      ,"9,186","8,560","$12,831 ",$1.50 
Taape (blue lined snapper)    ,"29,523","24,458","$12,471 ",$0.51 
Ehu (red snapper)             ,"35,714","33,835","$59,916 ",$1.77 
Gindai (flower snapper)       ,"1,520","1,405","$1,664 ",$1.18 
Lehi (silverjaw)              ,"9,540","8,233","$8,360 ",$1.02 
Onaga (red snapper)           ,"90,602","88,407","$201,200 ",$2.28 
Opakapaka (pink snapper)      ,"121,848","110,382","$155,584 ",$1.41 
Uku (gray snapper)            ,"63,383","61,009","$66,258 ",$1.09 
Snake mackerel                ,226,164,$89 ,$0.55 
Porgy                         ,"1,343","1,296","$2,066 ",$1.59 
Reef fishes (unknown)         ,"1,449",994,$432 ,$0.44 
Reef jacks                    ,814,670,"$1,073 ",$1.60 
Squirrelfishes                ,"25,609","22,280","$31,356 ",$1.41 
Trumpetfish                   ,77,76,$23 ,$0.31 
Scorpionfishes                ,"1,953","1,852","$2,692 ",$1.45 
Mountain bass                 ,"4,010","3,376","$3,978 ",$1.18 
Bigeyes                       ,"3,427","3,260","$2,827 ",$0.87 
Goatfishes                    ,"73,299","66,691","$78,974 ",$1.18 
Rudderfish                    ,"7,532","6,776","$3,180 ",$0.47 
Damselfishes                  ,"3,742","3,648","$3,743 ",$1.03 
Tilapia                       ,"3,340","3,337","$4,121 ",$1.24 
Wrasses                       ,"8,185","7,531","$6,651 ",$0.88 
Parrotfishes                  ,"10,298","9,982","$6,033 ",$0.60 
Gobies                        ,274,195,$507 ,$2.60 
Surgeonfishes/tangs           ,"56,887","51,853","$23,574 ",$0.45 
Flounders                     ,44,38,$37 ,$0.99 
Filefishes                    ,347,347,$316 ,$0.91 
Pufferfishes                  ,9,9,$14 ,$1.58 
Pelagic fishes (unknown)      ,35,29,$24 ,$0.85 
Moonfish (opah)               ,27,27,$29 ,$1.07 
Rainbow runner                ,"2,103","1,663","$1,453 ",$0.87 
Mahimahi                      ,"139,104","111,367","$178,414 ",$1.60 
Barracudas                    ,"8,686","7,421","$5,736 ",$0.77 
Wahoo                         ,"169,481","135,196","$127,093 ",$0.94 
Japanese mackerel             ,123,105,$87 ,$0.84 
Tunas (unknown)               ,"3,826","3,672","$4,093 ",$1.11 
Skipjack tuna                 ,"9,796,388","9,772,411","$3,826,933 ",$0.39 
Yellowfin tuna                ,"1,851,632","1,702,086","$1,672,716 ",$0.98 
Albacore tuna                 ,"60,149","59,277","$40,314 ",$0.68 
Bigeye tuna                   ,"431,700","431,479","$820,893 ",$1.90 
Kawakawa                      ,"91,382","75,624","$23,215 ",$0.31 
Swordfish                     ,"5,102","4,694","$2,983 ",$0.64 
Blue marlin                   ,"190,598","131,466","$52,107 ",$0.40 
Black marlin                  ,"6,873","5,464","$2,233 ",$0.41 
Striped marlin                ,"208,782","159,072","$113,891 ",$0.72 
Shortnose spearfish           ,"13,722","11,213","$7,372 ",$0.66 
Sailfish                      ,"2,343","1,676",$693 ,$0.41 
Spiny lobsters                ,"6,317","4,631","$11,356 ",$2.45 
Slipper lobsters              ,145,145,$289 ,$2.00 
Crabs                         ,"49,585","46,751","$92,628 ",$1.98 
Shrimp (freshwater)           ,"9,692","9,539","$30,985 ",$3.25 
Octopus                       ,"13,654","12,235","$16,049 ",$1.31 
Squid                         ,"9,274","8,605","$6,289 ",$0.73 
Limpets (saltwater)           ,"13,725","12,831","$25,072 ",$1.95 
Invertebrates                 ,"2,747","2,747","$2,803 ",$1.02 
Algae                         ,"65,716","64,466","$39,631 ",$0.61 
TOTAL,"15,294,287","14,773,088","$8,877,861 ",$0.60 
