Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"22,197","20,506","$26,603 ",$1.30 
Sharks                        ,"9,227","2,675","$1,034 ",$0.39 
Rays                          ,53,53,$16 ,$0.31 
Eels                          ,"7,908","7,882","$2,951 ",$0.37 
Bigeye scad (akule)           ,"453,009","411,005","$438,576 ",$1.07 
Mackerel scad                 ,"428,019","414,715","$463,347 ",$1.12 
Leatherjacket                 ,388,369,$260 ,$0.71 
Ten pounder                   ,"3,466","3,233","$2,367 ",$0.73 
Bonefish                      ,"20,042","19,092","$15,316 ",$0.80 
Herrings/sardines             ,61,51,$49 ,$0.96 
Milkfish                      ,"4,982","4,839","$5,103 ",$1.05 
Flying fishes                 ,1,1,$0 ,$0.15 
Needlefishes                  ,250,250,$191 ,$0.77 
Threadfin                     ,"1,891","1,787","$4,367 ",$2.44 
Mullets                       ,"14,554","14,041","$29,121 ",$2.07 
Oilfish                       ,434,434,$122 ,$0.28 
Jacks                         ,"95,429","88,357","$122,891 ",$1.39 
Kahala (amberjack)            ,"83,662","79,613","$58,999 ",$0.74 
Blue trevally                 ,"1,344","1,210","$1,653 ",$1.37 
Hapuupuu (hawaiian grouper)   ,"64,949","63,890","$89,120 ",$1.39 
Kalekale                      ,"8,291","7,135","$11,747 ",$1.65 
Snappers                      ,745,732,"$1,877 ",$2.57 
Taape (blue lined snapper)    ,"61,687","56,140","$32,887 ",$0.59 
Ehu (red snapper)             ,"21,819","20,669","$47,787 ",$2.31 
Gindai (flower snapper)       ,"3,579","3,488","$4,832 ",$1.39 
Lehi (silverjaw)              ,"16,440","15,854","$24,840 ",$1.57 
Onaga (red snapper)           ,"48,782","46,198","$126,059 ",$2.73 
Opakapaka (pink snapper)      ,"205,398","196,683","$440,579 ",$2.24 
Uku (gray snapper)            ,"87,921","85,017","$162,757 ",$1.91 
Snake mackerel                ,369,280,$185 ,$0.66 
Porgy                         ,"1,364","1,347","$1,934 ",$1.44 
Reef fishes (unknown)         ,"2,914","2,552","$1,496 ",$0.59 
Reef jacks                    ,481,391,$614 ,$1.57 
Squirrelfishes                ,"47,096","44,743","$78,971 ",$1.77 
Trumpetfish                   ,58,53,$27 ,$0.52 
Scorpionfishes                ,"4,988","4,819","$7,562 ",$1.57 
Mountain bass                 ,"8,588","7,923","$10,236 ",$1.29 
Bigeyes                       ,"6,659","6,479","$7,616 ",$1.18 
Goatfishes                    ,"123,795","115,814","$157,747 ",$1.36 
Rudderfish                    ,"9,652","7,221","$3,275 ",$0.45 
Damselfishes                  ,"2,244","2,138","$2,287 ",$1.07 
Tilapia                       ,"2,207","2,207","$3,730 ",$1.69 
Wrasses                       ,"8,287","6,962","$7,544 ",$1.08 
Parrotfishes                  ,"23,396","22,290","$18,381 ",$0.82 
Surgeonfishes/tangs           ,"56,482","53,843","$38,929 ",$0.72 
Flounders                     ,86,52,$49 ,$0.95 
Filefishes                    ,"2,968","2,968","$2,413 ",$0.81 
Pufferfishes                  ,29,29,$14 ,$0.50 
Pelagic fishes (unknown)      ,33,8,$1 ,$0.15 
Moonfish (opah)               ,426,426,$659 ,$1.55 
Rainbow runner                ,"3,648","3,426","$2,524 ",$0.74 
Mahimahi                      ,"174,190","150,624","$294,617 ",$1.96 
Barracudas                    ,"11,727","10,606","$9,785 ",$0.92 
Wahoo                         ,"199,979","172,141","$306,535 ",$1.78 
Japanese mackerel             ,401,401,$433 ,$1.08 
Tunas (unknown)               ,"17,101","17,009","$30,006 ",$1.76 
Skipjack tuna                 ,"6,493,181","6,457,052","$4,608,665 ",$0.71 
Yellowfin tuna                ,"2,164,267","2,047,936","$2,757,137 ",$1.35 
Albacore tuna                 ,"43,301","43,292","$55,933 ",$1.29 
Bigeye tuna                   ,"185,800","185,606","$629,600 ",$3.39 
Kawakawa                      ,"55,258","45,681","$28,742 ",$0.63 
Billfishes (unknown)          ,2,0,$0 ,$0.00 
Swordfish                     ,"41,939","41,585","$63,025 ",$1.52 
Blue marlin                   ,"438,037","351,114","$176,535 ",$0.50 
Black marlin                  ,"11,140","8,160","$4,725 ",$0.58 
Striped marlin                ,"111,549","103,291","$137,924 ",$1.34 
Shortnose spearfish           ,"17,254","13,447","$15,221 ",$1.13 
Sailfish                      ,"2,281","1,607","$1,226 ",$0.76 
Spiny lobsters                ,"21,041","20,122","$73,548 ",$3.66 
Slipper lobsters              ,"1,168","1,068","$2,548 ",$2.39 
Crabs                         ,"34,823","30,808","$81,136 ",$2.63 
Shrimp (freshwater)           ,"3,939","3,786","$5,392 ",$1.42 
Octopus                       ,"24,593","21,183","$33,800 ",$1.60 
Squid                         ,"21,729","20,165","$16,216 ",$0.80 
Limpets (saltwater)           ,"12,833","11,551","$22,999 ",$1.99 
Invertebrates                 ,161,161,$214 ,$1.33 
Algae                         ,"17,025","16,679","$19,869 ",$1.19 
TOTAL,"12,077,017","11,626,966","$11,837,510 ",$1.02 
