Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"4,859","3,961","$8,400 ",$2.12 
Sharks                        ,"299,538","226,345","$114,017 ",$0.50 
Rays                          ,49,0,$0 ,$0.00 
Eels                          ,"2,115",720,$890 ,$1.24 
Bigeye scad (akule)           ,"557,147","269,375","$767,883 ",$2.85 
Mackerel scad                 ,"297,985","203,818","$535,032 ",$2.63 
Leatherjacket                 ,277,255,$509 ,$1.99 
Ten pounder                   ,"1,204","1,126","$1,174 ",$1.04 
Bonefish                      ,"12,255","11,208","$11,505 ",$1.03 
Herrings/sardines             ,486,486,$972 ,$2.00 
Milkfish                      ,"2,030","1,825","$2,371 ",$1.30 
Flying fishes                 ,1,0,$0 ,$0.00 
Needlefishes                  ,594,385,$633 ,$1.65 
Threadfin                     ,726,509,"$3,401 ",$6.67 
Mullets                       ,"8,283","7,779","$32,870 ",$4.23 
Pomfret                       ,"600,683","597,126","$1,559,745 ",$2.61 
Oilfish                       ,"582,777","582,777","$786,190 ",$1.35 
Jacks                         ,"2,732","1,219","$3,024 ",$2.48 
Kahala (amberjack)            ,"18,484","1,597","$2,727 ",$1.71 
Sasa ulua                     ,724,502,"$1,298 ",$2.58 
Butaguchi (pig-lipped ulua)   ,810,485,"$1,492 ",$3.07 
Dobe ulua                     ,"2,979","2,629","$4,969 ",$1.89 
Papa ulua                     ,"7,582","6,678","$23,569 ",$3.53 
White ulua                    ,"18,775","11,766","$26,185 ",$2.23 
Gunkin (black) ulua           ,"3,348",126,$239 ,$1.89 
Blue trevally                 ,"9,066","3,809","$8,657 ",$2.27 
Hapuupuu (hawaiian grouper)   ,"8,103","6,521","$34,690 ",$5.32 
Blue spot grouper             ,"5,264","3,165","$9,867 ",$3.12 
Kalekale                      ,"8,924","6,182","$22,083 ",$3.57 
Snappers                      ,"7,231","5,112","$19,017 ",$3.72 
Yellow-tail kali              ,27,24,$54 ,$2.27 
Taape (blue lined snapper)    ,"43,509","27,602","$43,743 ",$1.58 
Ehu (red snapper)             ,"27,156","19,559","$109,783 ",$5.61 
Gindai (flower snapper)       ,"3,126","1,925","$8,798 ",$4.57 
Golden kalekale               ,256,39,$152 ,$3.82 
Lehi (silverjaw)              ,"12,086","9,257","$38,068 ",$4.11 
Onaga (red snapper)           ,"69,513","58,560","$405,892 ",$6.93 
Opakapaka (pink snapper)      ,"130,073","105,118","$608,408 ",$5.79 
Uku (gray snapper)            ,"124,218","109,146","$428,132 ",$3.92 
Snake mackerel                ,16,0,$0 ,$0.00 
Porgy                         ,"7,878","6,539","$21,639 ",$3.31 
Reef fishes (unknown)         ,"1,283",14,$7 ,$0.50 
Reef jacks                    ,32,14,$60 ,$4.29 
Squirrelfishes                ,"82,128","76,934","$323,899 ",$4.21 
Trumpetfish                   ,252,201,$252 ,$1.25 
Scorpionfishes                ,"3,565","1,960","$9,548 ",$4.87 
Mountain bass                 ,"2,474","2,062","$8,200 ",$3.98 
Bigeyes                       ,"4,573","4,559","$15,473 ",$3.39 
Goatfishes                    ,"76,548","62,034","$281,365 ",$4.54 
Rudderfish                    ,"31,688","27,575","$35,178 ",$1.28 
Damselfishes                  ,"2,942","2,825","$9,181 ",$3.25 
Hawkfish                      ,"1,252","1,187","$4,507 ",$3.80 
Tilapia                       ,"7,177",112,$309 ,$2.76 
Wrasses                       ,"7,707","5,230","$24,641 ",$4.71 
Parrotfishes                  ,"71,772","63,042","$216,036 ",$3.43 
Surgeonfishes/tangs           ,"131,105","112,659","$202,976 ",$1.80 
Flounders                     ,43,37,$62 ,$1.67 
Filefishes                    ,408,312,$449 ,$1.44 
Pufferfishes                  ,4,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,"11,825",130,$13 ,$0.10 
Moonfish (opah)               ,"1,851,937","1,829,803","$2,599,292 ",$1.42 
Rainbow runner                ,"4,168","2,331","$4,484 ",$1.92 
Mahimahi                      ,"1,687,956","1,512,745","$3,292,644 ",$2.18 
Barracudas                    ,"31,470","28,476","$27,635 ",$0.97 
Wahoo                         ,"748,426","601,216","$1,748,181 ",$2.91 
Japanese mackerel             ,9,0,$0 ,$0.00 
Tunas (unknown)               ,"28,059","12,116","$38,028 ",$3.14 
Skipjack tuna                 ,"665,009","302,097","$552,534 ",$1.83 
Yellowfin tuna                ,"2,743,622","2,423,827","$7,059,830 ",$2.91 
Albacore tuna                 ,"981,086","926,942","$1,318,462 ",$1.42 
Bigeye tuna                   ,"13,308,733","13,095,544","$50,965,276 ",$3.89 
Kawakawa                      ,"9,056","2,341","$5,268 ",$2.25 
Billfishes (unknown)          ,"2,564",917,$873 ,$0.95 
Swordfish                     ,"3,775,380","3,152,028","$7,296,956 ",$2.32 
Blue marlin                   ,"967,612","881,487","$1,128,400 ",$1.28 
Black marlin                  ,"5,599",0,$0 ,$0.00 
Striped marlin                ,"387,137","343,945","$638,213 ",$1.86 
Shortnose spearfish           ,"284,329","274,595","$374,783 ",$1.36 
Sailfish                      ,"34,859","32,608","$41,241 ",$1.26 
Spiny lobsters                ,"12,221","9,361","$116,522 ",$12.45 
Slipper lobsters              ,123,21,$195 ,$9.23 
Crabs                         ,"46,113","11,577","$50,894 ",$4.40 
Shrimp (saltwater)            ,"3,286",238,$974 ,$4.09 
Octopus                       ,"34,108","22,910","$91,243 ",$3.98 
Squid                         ,"6,580","5,977","$13,106 ",$2.19 
Limpets (saltwater)           ,"26,747","12,192","$71,278 ",$5.85 
Invertebrates                 ,581,374,"$2,763 ",$7.39 
Algae                         ,"12,941","5,410","$50,057 ",$9.25 
TOTAL,"30,979,413","28,147,252","$84,269,402 ",$2.99 
