Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"53,658","49,200","$8,641 ",$0.18 
Sharks                        ,"53,774","56,181","$8,890 ",$0.16 
Shark liver                   ,154,154,$42 ,$0.28 
Rays                          ,288,288,$43 ,$0.15 
Eels                          ,"19,858","19,835","$2,016 ",$0.10 
Bigeye scad (akule)           ,"580,213","551,095","$340,090 ",$0.62 
Mackerel scad                 ,"568,256","566,229","$193,404 ",$0.34 
Leatherjacket                 ,"4,090","4,037","$1,240 ",$0.31 
Ten pounder                   ,"11,032","10,932","$6,314 ",$0.58 
Bonefish                      ,"78,194","77,383","$33,190 ",$0.43 
Herrings/sardines             ,"2,607","2,585",$747 ,$0.29 
Milkfish                      ,"58,703","58,045","$17,895 ",$0.31 
Flying fishes                 ,"1,516","1,507",$876 ,$0.58 
Needlefishes                  ,"1,195","1,182",$429 ,$0.36 
Threadfin                     ,"14,859","13,739","$9,045 ",$0.66 
Mullets                       ,"72,635","71,083","$45,907 ",$0.65 
Oilfish                       ,181,181,$33 ,$0.19 
Jacks                         ,"274,434","272,011","$111,472 ",$0.41 
Kahala (amberjack)            ,"193,120","192,030","$65,350 ",$0.34 
Blue trevally                 ,"34,286","34,270","$16,603 ",$0.48 
Hapuupuu (hawaiian grouper)   ,"85,194","84,975","$31,021 ",$0.37 
Kalekale                      ,"32,588","31,964","$29,149 ",$0.91 
Ehu (red snapper)             ,"108,737","107,888","$71,693 ",$0.66 
Gindai (flower snapper)       ,285,285,$135 ,$0.47 
Lehi (silverjaw)              ,"17,216","17,051","$6,395 ",$0.38 
Onaga (red snapper)           ,"52,057","51,318","$34,979 ",$0.68 
Opakapaka (pink snapper)      ,"231,044","228,671","$95,050 ",$0.42 
Uku (gray snapper)            ,"103,353","102,876","$47,771 ",$0.46 
Snake mackerel                ,60,60,$15 ,$0.26 
Porgy                         ,"4,681","4,637","$2,779 ",$0.60 
Reef fishes (unknown)         ,"2,837","2,794",$553 ,$0.20 
Reef jacks                    ,685,624,$509 ,$0.82 
Squirrelfishes                ,"107,735","105,445","$75,252 ",$0.71 
Trumpetfish                   ,153,153,$59 ,$0.39 
Scorpionfishes                ,459,455,$232 ,$0.51 
Mountain bass                 ,"3,392","3,321","$1,928 ",$0.58 
Bigeyes                       ,"5,469","5,222","$2,610 ",$0.50 
Goatfishes                    ,"138,274","135,230","$100,169 ",$0.74 
Rudderfish                    ,"9,627","9,182","$2,737 ",$0.30 
Damselfishes                  ,"3,432","3,366","$1,571 ",$0.47 
Wrasses                       ,"10,620","10,490","$3,984 ",$0.38 
Parrotfishes                  ,"18,161","17,642","$6,212 ",$0.35 
Gobies                        ,300,300,$120 ,$0.40 
Surgeonfishes/tangs           ,"69,663","68,957","$18,415 ",$0.27 
Flounders                     ,398,398,$109 ,$0.27 
Filefishes                    ,503,503,$365 ,$0.73 
Pufferfishes                  ,83,83,$31 ,$0.38 
Rainbow runner                ,"4,469","4,445","$1,152 ",$0.26 
Mahimahi                      ,"171,852","171,534","$67,468 ",$0.39 
Barracudas                    ,"37,974","36,173","$13,502 ",$0.37 
Wahoo                         ,"89,642","89,359","$26,424 ",$0.30 
Tunas (unknown)               ,"39,836","39,751","$15,758 ",$0.40 
Skipjack tuna                 ,"1,275,859","1,274,539","$201,616 ",$0.16 
Yellowfin tuna                ,"780,794","780,500","$314,750 ",$0.40 
Albacore tuna                 ,"91,634","91,638","$31,343 ",$0.34 
Bigeye tuna                   ,"548,317","548,019","$251,071 ",$0.46 
Kawakawa                      ,"128,404","127,108","$26,277 ",$0.21 
Billfishes (unknown)          ,"31,372","31,370","$7,660 ",$0.24 
Swordfish                     ,"130,662","130,662","$42,355 ",$0.32 
Blue marlin                   ,"681,224","680,249","$257,033 ",$0.38 
Striped marlin                ,"458,514","458,447","$151,676 ",$0.33 
Sailfish                      ,"176,878","176,822","$62,520 ",$0.35 
Spiny lobsters                ,"43,947","43,220","$28,868 ",$0.67 
Slipper lobsters              ,159,159,$75 ,$0.47 
Crabs                         ,"16,020","15,574","$5,396 ",$0.35 
Shrimp (freshwater)           ,936,935,"$1,083 ",$1.16 
Octopus                       ,"16,072","15,890","$9,854 ",$0.62 
Squid                         ,787,780,$501 ,$0.64 
Limpets (saltwater)           ,"18,047","17,660","$7,796 ",$0.44 
Clams                         ,"8,592","8,358","$2,623 ",$0.31 
Invertebrates                 ,8,8,$4 ,$0.58 
Sea turtles                   ,"19,623","19,623","$2,462 ",$0.13 
Algae                         ,663,656,$529 ,$0.81 
TOTAL,"7,802,344","7,739,336","$2,925,903 ",$0.38 
