Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"4,043","3,712","$5,143 ",$1.39 
Sharks                        ,"285,465","154,267","$130,506 ",$0.85 
Rays                          ,26,0,$0 ,$0.00 
Eels                          ,"1,552",396,$433 ,$1.09 
Bigeye scad (akule)           ,"284,673","212,385","$711,408 ",$3.35 
Mackerel scad                 ,"247,237","176,297","$502,108 ",$2.85 
Leatherjacket                 ,481,459,"$1,134 ",$2.47 
Ten pounder                   ,"1,565",922,"$1,631 ",$1.77 
Bonefish                      ,"15,034","9,963","$11,993 ",$1.20 
Herrings/sardines             ,"2,340","1,046","$2,092 ",$2.00 
Silversides                   ,108,108,$271 ,$2.50 
Milkfish                      ,"2,330","2,156","$2,713 ",$1.26 
Flying fishes                 ,11,3,$6 ,$2.00 
Needlefishes                  ,"2,268","2,060","$5,583 ",$2.71 
Threadfin                     ,667,198,"$1,290 ",$6.50 
Mullets                       ,"9,030","7,420","$33,118 ",$4.46 
Pomfret                       ,"735,317","730,825","$2,096,168 ",$2.87 
Oilfish                       ,"602,361","601,591","$850,116 ",$1.41 
Jacks                         ,"2,374","2,119","$6,227 ",$2.94 
Kahala (amberjack)            ,"17,592","2,330","$4,391 ",$1.88 
Sasa ulua                     ,787,343,$886 ,$2.58 
Butaguchi (pig-lipped ulua)   ,997,598,"$2,574 ",$4.30 
Dobe ulua                     ,"7,873","5,789","$12,598 ",$2.18 
Papa ulua                     ,"11,449","10,079","$47,597 ",$4.72 
White ulua                    ,"20,569","12,674","$33,168 ",$2.62 
Gunkin (black) ulua           ,977,434,"$1,145 ",$2.64 
Blue trevally                 ,"8,261","2,889","$8,928 ",$3.09 
Hapuupuu (hawaiian grouper)   ,"10,869","9,775","$55,084 ",$5.64 
Blue spot grouper             ,"5,084","4,464","$14,035 ",$3.14 
Kalekale                      ,"13,337","10,140","$43,263 ",$4.27 
Snappers                      ,"6,183","4,317","$17,518 ",$4.06 
Yellow-tail kali              ,67,7,$24 ,$3.29 
Taape (blue lined snapper)    ,"33,002","18,284","$32,547 ",$1.78 
Ehu (red snapper)             ,"27,994","20,079","$124,595 ",$6.21 
Gindai (flower snapper)       ,"3,899","2,664","$12,212 ",$4.58 
Golden kalekale               ,254,39,$159 ,$3.98 
Lehi (silverjaw)              ,"10,123","8,789","$40,801 ",$4.64 
Onaga (red snapper)           ,"61,160","56,648","$451,854 ",$7.98 
Opakapaka (pink snapper)      ,"109,610","95,765","$608,874 ",$6.36 
Uku (gray snapper)            ,"116,792","92,846","$420,197 ",$4.53 
Snake mackerel                ,9,0,$0 ,$0.00 
Porgy                         ,"5,810","4,827","$15,705 ",$3.25 
Reef fishes (unknown)         ,965,166,$123 ,$0.74 
Reef jacks                    ,27,27,$108 ,$3.97 
