Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"9,288","8,229","$13,646 ",$1.66 
Sharks                        ,"292,946","129,736","$148,977 ",$1.15 
Eels                          ,485,345,$295 ,$0.86 
Armorhead                     ,12,0,$0 ,$0.00 
Bigeye scad (akule)           ,"1,311,203","1,177,018","$1,619,593 ",$1.38 
Mackerel scad                 ,"234,408","221,704","$376,021 ",$1.70 
Leatherjacket                 ,804,712,"$1,201 ",$1.69 
Ten pounder                   ,463,421,$536 ,$1.27 
Bonefish                      ,"9,155","8,098","$9,260 ",$1.14 
Herrings/sardines             ,4,2,$3 ,$1.88 
Milkfish                      ,"1,412","1,189","$1,339 ",$1.13 
Flying fishes                 ,18,18,$36 ,$2.04 
Needlefishes                  ,194,171,$182 ,$1.06 
Threadfin                     ,"1,967",981,"$4,485 ",$4.57 
Mullets                       ,"4,438","4,038","$11,139 ",$2.76 
Pomfret                       ,"231,441","230,333","$331,153 ",$1.44 
Oilfish                       ,"3,906",282,$328 ,$1.16 
Jacks                         ,"41,793","32,669","$65,682 ",$2.01 
Kahala (amberjack)            ,"22,285","2,708","$2,386 ",$0.88 
Sasa ulua                     ,297,278,$345 ,$1.24 
Butaguchi (pig-lipped ulua)   ,"42,041","39,414","$55,009 ",$1.40 
Dobe ulua                     ,"4,125","4,125","$6,912 ",$1.68 
Papa ulua                     ,"3,905","3,466","$6,953 ",$2.01 
White ulua                    ,"9,302","8,636","$11,945 ",$1.38 
Gunkin (black) ulua           ,816,786,"$1,141 ",$1.45 
Blue trevally                 ,"1,784","1,163","$2,191 ",$1.88 
Hapuupuu (hawaiian grouper)   ,"84,048","80,635","$204,075 ",$2.53 
Blue spot grouper             ,346,201,$429 ,$2.14 
Kalekale                      ,"25,326","22,978","$63,473 ",$2.76 
Snappers                      ,"3,633","3,389","$11,642 ",$3.44 
Yellow-tail kali              ,25,0,$0 ,$0.00 
Taape (blue lined snapper)    ,"74,853","67,238","$66,492 ",$0.99 
Ehu (red snapper)             ,"41,792","38,600","$138,707 ",$3.59 
Gindai (flower snapper)       ,"8,566","7,824","$20,584 ",$2.63 
Golden kalekale               ,125,108,$225 ,$2.08 
Lehi (silverjaw)              ,"8,687","8,186","$25,087 ",$3.06 
Onaga (red snapper)           ,"109,798","103,288","$516,523 ",$5.00 
Opakapaka (pink snapper)      ,"227,187","216,691","$960,940 ",$4.43 
Uku (gray snapper)            ,"118,734","111,279","$313,627 ",$2.82 
Porgy                         ,"2,227","2,021","$4,973 ",$2.46 
Reef fishes (unknown)         ,134,1,$1 ,$1.00 
Reef jacks                    ,237,220,$742 ,$3.38 
Squirrelfishes                ,"42,619","39,920","$123,059 ",$3.08 
Trumpetfish                   ,80,79,$75 ,$0.95 
Scorpionfishes                ,"3,678","3,147","$12,224 ",$3.88 
Mountain bass                 ,"3,735","2,873","$9,344 ",$3.25 
Bigeyes                       ,"4,706","3,902","$9,774 ",$2.50 
Goatfishes                    ,"82,438","75,375","$212,049 ",$2.81 
Rudderfish                    ,"15,503","13,330","$14,978 ",$1.12 
Damselfishes                  ,"1,751","1,723","$3,183 ",$1.85 
Hawkfish                      ,"1,032","1,007","$2,233 ",$2.22 
Tilapia                       ,245,245,$546 ,$2.23 
Wrasses                       ,"8,103","6,380","$21,593 ",$3.38 
Parrotfishes                  ,"36,072","33,549","$77,394 ",$2.31 
Surgeonfishes/tangs           ,"96,086","92,074","$121,079 ",$1.32 
Flounders                     ,60,42,$45 ,$1.07 
Filefishes                    ,"2,105","2,072","$4,026 ",$1.94 
Pelagic fishes (unknown)      ,436,10,$1 ,$0.10 
Moonfish (opah)               ,"848,792","847,112","$878,236 ",$1.04 
Rainbow runner                ,"3,393","2,726","$3,835 ",$1.41 
Mahimahi                      ,"804,426","738,956","$1,698,164 ",$2.30 
Barracudas                    ,"21,058","19,681","$20,181 ",$1.03 
Wahoo                         ,"746,229","680,202","$1,468,845 ",$2.16 
Tunas (unknown)               ,"19,463","18,807","$110,550 ",$5.88 
Skipjack tuna                 ,"1,285,082","1,176,951","$1,540,601 ",$1.31 
Yellowfin tuna                ,"3,842,213","3,691,922","$8,102,381 ",$2.19 
Albacore tuna                 ,"2,847,574","2,810,102","$3,409,750 ",$1.21 
Bigeye tuna                   ,"6,919,164","6,869,325","$19,230,166 ",$2.80 
Kawakawa                      ,"11,018","7,172","$8,608 ",$1.20 
Billfishes (unknown)          ,987,912,"$1,599 ",$1.75 
Swordfish                     ,"6,284,260","6,269,407","$14,326,678 ",$2.29 
Blue marlin                   ,"1,005,293","936,365","$1,040,666 ",$1.11 
Black marlin                  ,"10,473","10,173","$12,201 ",$1.20 
Striped marlin                ,"966,964","953,354","$1,134,026 ",$1.19 
Shortnose spearfish           ,"304,202","284,686","$196,958 ",$0.69 
Sailfish                      ,"16,994","16,349","$13,723 ",$0.84 
Spiny lobsters                ,"54,625","52,150","$641,358 ",$12.30 
Slipper lobsters              ,"57,160","56,965","$457,975 ",$8.04 
Crabs                         ,"54,125","48,711","$196,663 ",$4.04 
Shrimp (saltwater)            ,"181,912","176,324","$773,417 ",$4.39 
Octopus                       ,"21,937","14,419","$41,625 ",$2.89 
Squid                         ,"2,476","2,024","$4,490 ",$2.22 
Limpets (saltwater)           ,"13,936","12,103","$54,404 ",$4.50 
Invertebrates                 ,"1,666","1,633","$39,866 ",$24.41 
Algae                         ,"6,008","4,866","$27,604 ",$5.67 
TOTAL,"29,564,305","28,518,320","$61,044,487 ",$2.14 
