Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"14,503","12,554","$16,092 ",$1.28 
Sharks                        ,"30,931","17,321","$4,854 ",$0.28 
Eels                          ,"3,862","3,782","$1,255 ",$0.33 
Bigeye scad (akule)           ,"413,830","384,051","$487,935 ",$1.27 
Mackerel scad                 ,"257,311","252,646","$395,533 ",$1.57 
Leatherjacket                 ,986,839,$595 ,$0.71 
Ten pounder                   ,"2,634","2,393","$1,938 ",$0.81 
Bonefish                      ,"20,451","17,486","$13,983 ",$0.80 
Herrings/sardines             ,120,119,$70 ,$0.59 
Milkfish                      ,"2,617","2,505","$3,737 ",$1.49 
Flying fishes                 ,10,10,$5 ,$0.51 
Needlefishes                  ,778,777,$548 ,$0.71 
Threadfin                     ,996,759,"$2,432 ",$3.20 
Mullets                       ,"15,560","15,036","$36,352 ",$2.42 
Pomfret                       ,963,948,"$1,221 ",$1.29 
Oilfish                       ,735,632,$293 ,$0.46 
Jacks                         ,"92,831","86,783","$136,015 ",$1.57 
Kahala (amberjack)            ,"73,741","63,343","$48,024 ",$0.76 
Sasa ulua                     ,507,507,$778 ,$1.53 
Butaguchi (pig-lipped ulua)   ,"11,833","11,133","$10,070 ",$0.90 
Dobe ulua                     ,"1,422","1,397","$1,923 ",$1.38 
Papa ulua                     ,565,540,"$1,065 ",$1.97 
White ulua                    ,"30,241","30,063","$35,033 ",$1.17 
Blue trevally                 ,"4,689","4,525","$8,869 ",$1.96 
Hapuupuu (hawaiian grouper)   ,"45,460","44,738","$73,007 ",$1.63 
Blue spot grouper             ,382,382,$539 ,$1.41 
Kalekale                      ,"10,440","9,379","$19,402 ",$2.07 
Snappers                      ,"1,095","1,093","$3,208 ",$2.94 
Taape (blue lined snapper)    ,"59,284","57,309","$31,508 ",$0.55 
Ehu (red snapper)             ,"25,555","24,203","$63,067 ",$2.61 
Gindai (flower snapper)       ,"2,070","1,991","$3,832 ",$1.93 
Lehi (silverjaw)              ,"28,710","27,677","$69,403 ",$2.51 
Onaga (red snapper)           ,"62,664","60,879","$222,076 ",$3.65 
Opakapaka (pink snapper)      ,"201,119","194,961","$628,516 ",$3.22 
Uku (gray snapper)            ,"100,992","97,521","$248,767 ",$2.55 
Snake mackerel                ,269,126,$117 ,$0.93 
Porgy                         ,"1,323","1,294","$1,997 ",$1.54 
Reef fishes (unknown)         ,558,350,$198 ,$0.57 
Reef jacks                    ,471,405,$927 ,$2.29 
Squirrelfishes                ,"22,697","21,606","$50,378 ",$2.33 
Trumpetfish                   ,144,124,$66 ,$0.54 
Scorpionfishes                ,"1,711","1,634","$3,519 ",$2.15 
Mountain bass                 ,"4,008","3,616","$6,180 ",$1.71 
Bigeyes                       ,"3,824","3,458","$4,390 ",$1.27 
Goatfishes                    ,"77,865","74,175","$135,064 ",$1.82 
Rudderfish                    ,"13,863","12,033","$7,106 ",$0.59 
Damselfishes                  ,"1,446","1,397","$1,150 ",$0.82 
Hawkfish                      ,954,915,"$1,262 ",$1.38 
Tilapia                       ,"3,228","2,530","$5,931 ",$2.34 
Wrasses                       ,"10,285","9,500","$15,694 ",$1.65 
Parrotfishes                  ,"13,257","13,318","$15,470 ",$1.16 
Gobies                        ,13,13,$58 ,$4.50 
Surgeonfishes/tangs           ,"57,430","54,185","$45,768 ",$0.84 
Flounders                     ,126,116,$364 ,$3.14 
Filefishes                    ,"3,634","3,556","$2,783 ",$0.78 
Pufferfishes                  ,181,181,$186 ,$1.03 
Moonfish (opah)               ,406,406,$168 ,$0.42 
Rainbow runner                ,"4,388","4,117","$3,988 ",$0.97 
Mahimahi                      ,"208,864","192,634","$570,398 ",$2.96 
Barracudas                    ,"13,275","11,933","$12,570 ",$1.05 
Wahoo                         ,"223,873","207,069","$496,714 ",$2.40 
Japanese mackerel             ,31,31,$47 ,$1.54 
Tunas (unknown)               ,"6,667","6,544","$12,557 ",$1.92 
Skipjack tuna                 ,"3,173,906","3,142,706","$2,564,488 ",$0.82 
Yellowfin tuna                ,"1,811,406","1,742,001","$2,698,180 ",$1.55 
Albacore tuna                 ,"362,561","362,441","$250,601 ",$0.69 
Bigeye tuna                   ,"71,771","70,489","$185,522 ",$2.63 
Kawakawa                      ,"33,839","29,672","$29,651 ",$1.00 
Billfishes (unknown)          ,82,0,$0 ,$0.00 
Swordfish                     ,"52,914","52,791","$108,258 ",$2.05 
Blue marlin                   ,"455,718","396,716","$271,462 ",$0.68 
Black marlin                  ,"15,533","12,798","$11,271 ",$0.88 
Striped marlin                ,"44,902","39,016","$47,240 ",$1.21 
Shortnose spearfish           ,"12,116","9,195","$8,442 ",$0.92 
Sailfish                      ,"1,391",991,$827 ,$0.83 
Spiny lobsters                ,"19,569","19,348","$128,188 ",$6.63 
Slipper lobsters              ,"1,283","1,215","$6,047 ",$4.98 
Crabs                         ,"13,190","10,826","$31,060 ",$2.87 
Shrimp (freshwater)           ,"3,429","2,846","$11,196 ",$3.93 
Shrimp (saltwater)            ,76,38,$168 ,$4.43 
Octopus                       ,"12,666","9,951","$21,110 ",$2.12 
Squid                         ,"2,976","2,945","$5,863 ",$1.99 
Limpets (saltwater)           ,"7,698","7,114","$17,434 ",$2.45 
Invertebrates                 ,"14,517","13,347","$11,315 ",$0.85 
Algae                         ,"5,581","5,568","$14,181 ",$2.55 
TOTAL,"8,311,802","7,989,562","$10,389,540 ",$1.30 
