Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"52,454","51,608","$89,798 ",$1.74 
Sharks                        ,"31,710","5,720","$2,138 ",$0.37 
Rays                          ,55,0,$0 ,$0.00 
Eels                          ,"6,972","6,725","$2,226 ",$0.33 
Bigeye scad (akule)           ,"415,337","361,811","$388,712 ",$1.07 
Mackerel scad                 ,"298,603","292,687","$331,180 ",$1.13 
Leatherjacket                 ,201,192,$138 ,$0.72 
Ten pounder                   ,"3,395","3,317","$2,959 ",$0.89 
Bonefish                      ,"15,011","14,156","$12,303 ",$0.87 
Herrings/sardines             ,84,84,$32 ,$0.39 
Milkfish                      ,"8,447","8,182","$6,791 ",$0.83 
Flying fishes                 ,18,18,$8 ,$0.45 
Needlefishes                  ,471,431,$214 ,$0.50 
Threadfin                     ,"1,934","1,689","$3,571 ",$2.11 
Mullets                       ,"27,463","26,679","$52,941 ",$1.98 
Oilfish                       ,424,391,$89 ,$0.23 
Jacks                         ,"122,601","115,531","$139,758 ",$1.21 
Kahala (amberjack)            ,"99,095","94,656","$71,387 ",$0.75 
Blue trevally                 ,"1,865","1,684","$2,157 ",$1.28 
Hapuupuu (hawaiian grouper)   ,"74,494","70,454","$100,485 ",$1.43 
Kalekale                      ,"9,800","9,186","$17,460 ",$1.90 
Taape (blue lined snapper)    ,"59,093","53,554","$30,718 ",$0.57 
Ehu (red snapper)             ,"35,314","33,467","$72,135 ",$2.16 
Gindai (flower snapper)       ,"3,703","3,628","$5,941 ",$1.64 
Lehi (silverjaw)              ,"10,221","9,987","$13,617 ",$1.36 
Onaga (red snapper)           ,"62,377","60,530","$165,495 ",$2.73 
Opakapaka (pink snapper)      ,"176,635","171,066","$343,623 ",$2.01 
Uku (gray snapper)            ,"85,808","82,237","$139,007 ",$1.69 
Snake mackerel                ,365,286,$213 ,$0.75 
Porgy                         ,"1,688","1,618","$2,088 ",$1.29 
Reef fishes (unknown)         ,"2,610","2,499","$1,170 ",$0.47 
Reef jacks                    ,748,548,$747 ,$1.36 
Squirrelfishes                ,"54,627","51,866","$83,727 ",$1.61 
Trumpetfish                   ,147,133,$97 ,$0.73 
Scorpionfishes                ,"4,166","4,059","$6,901 ",$1.70 
Mountain bass                 ,"7,347","6,898","$8,938 ",$1.30 
Bigeyes                       ,"10,502","10,195","$11,038 ",$1.08 
Goatfishes                    ,"98,042","93,997","$124,921 ",$1.33 
Rudderfish                    ,"14,144","13,421","$5,272 ",$0.39 
Damselfishes                  ,"3,708","3,615","$3,679 ",$1.02 
Tilapia                       ,"2,198","2,198","$2,636 ",$1.20 
Wrasses                       ,"8,252","7,214","$7,244 ",$1.00 
Parrotfishes                  ,"20,376","19,099","$15,048 ",$0.79 
Surgeonfishes/tangs           ,"66,358","62,692","$36,356 ",$0.58 
Flounders                     ,38,28,$20 ,$0.74 
Filefishes                    ,"1,945","1,937","$1,850 ",$0.96 
Pufferfishes                  ,4,0,$0 ,$0.00 
Moonfish (opah)               ,128,128,$77 ,$0.61 
Rainbow runner                ,"2,940","2,518","$1,335 ",$0.53 
Mahimahi                      ,"130,762","110,118","$217,453 ",$1.97 
Barracudas                    ,"14,955","13,444","$10,910 ",$0.81 
Wahoo                         ,"194,978","167,351","$225,262 ",$1.35 
Japanese mackerel             ,"1,578","1,573","$1,494 ",$0.95 
Tunas (unknown)               ,"27,489","26,832","$57,326 ",$2.14 
Skipjack tuna                 ,"6,792,437","6,742,737","$4,356,475 ",$0.65 
Yellowfin tuna                ,"2,123,874","2,012,297","$2,473,801 ",$1.23 
Albacore tuna                 ,"694,406","693,679","$493,311 ",$0.71 
Bigeye tuna                   ,"432,882","432,490","$1,216,187 ",$2.81 
Kawakawa                      ,"78,521","70,443","$38,298 ",$0.54 
Swordfish                     ,"43,685","42,714","$59,400 ",$1.39 
Blue marlin                   ,"537,318","428,789","$206,095 ",$0.48 
Black marlin                  ,"1,368",424,$434 ,$1.02 
Striped marlin                ,"147,006","136,151","$174,645 ",$1.28 
Shortnose spearfish           ,"24,719","19,796","$19,705 ",$1.00 
Sailfish                      ,697,372,$223 ,$0.60 
Spiny lobsters                ,"33,719","33,181","$99,086 ",$2.99 
Slipper lobsters              ,198,194,$591 ,$3.05 
Crabs                         ,"36,342","32,371","$82,141 ",$2.54 
Shrimp (freshwater)           ,"2,332","2,099","$6,289 ",$3.00 
Octopus                       ,"19,258","15,217","$23,629 ",$1.55 
Squid                         ,"9,042","7,557","$9,185 ",$1.22 
Limpets (saltwater)           ,"15,344","13,370","$25,348 ",$1.90 
Invertebrates                 ,975,501,$800 ,$1.60 
Algae                         ,"44,707","44,664","$31,353 ",$0.70 
TOTAL,"13,312,510","12,812,983","$12,137,714 ",$0.95 
