Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"20,277","19,821","$6,889 ",$0.35 
Sharks                        ,142,0,$0 ,$0.00 
Rays                          ,197,197,$28 ,$0.14 
Eels                          ,"7,316","7,281",$829 ,$0.11 
Bigeye scad (akule)           ,"162,330","160,755","$127,979 ",$0.80 
Mackerel scad                 ,"326,255","320,352","$105,132 ",$0.33 
Leatherjacket                 ,"1,542","1,439",$501 ,$0.35 
Ten pounder                   ,"9,881","9,881","$2,818 ",$0.29 
Bonefish                      ,"26,872","26,415","$8,530 ",$0.32 
Herrings/sardines             ,"3,462","3,362","$1,206 ",$0.36 
Milkfish                      ,"49,597","449,403","$19,983 ",$0.04 
Flying fishes                 ,433,433,$203 ,$0.47 
Needlefishes                  ,741,729,$146 ,$0.20 
Threadfin                     ,"7,733","7,377","$5,999 ",$0.81 
Mullets                       ,"82,006","81,199","$63,395 ",$0.78 
Freshwater fishes             ,58,58,$37 ,$0.64 
Jacks                         ,"99,525","98,911","$38,147 ",$0.39 
Kahala (amberjack)            ,"60,128","60,074","$13,790 ",$0.23 
Blue trevally                 ,"18,760","18,780","$7,629 ",$0.41 
Hapuupuu (hawaiian grouper)   ,"44,867","44,850","$16,659 ",$0.37 
Kalekale                      ,"35,000","34,944","$15,702 ",$0.45 
Ehu (red snapper)             ,"50,100","50,041","$34,551 ",$0.69 
Gindai (flower snapper)       ,"3,590","3,589","$1,375 ",$0.38 
Lehi (silverjaw)              ,"8,841","8,831","$2,414 ",$0.27 
Onaga (red snapper)           ,"89,548","89,541","$62,101 ",$0.69 
Opakapaka (pink snapper)      ,"155,556","155,004","$64,749 ",$0.42 
Uku (gray snapper)            ,"83,743","83,619","$34,583 ",$0.41 
Porgy                         ,730,730,$508 ,$0.70 
Reef fishes (unknown)         ,"3,407","3,382",$586 ,$0.17 
Reef jacks                    ,"2,509","2,507","$2,037 ",$0.81 
Squirrelfishes                ,"65,239","65,775","$46,836 ",$0.71 
Trumpetfish                   ,85,85,$29 ,$0.35 
Scorpionfishes                ,"3,616","3,616","$2,075 ",$0.57 
Mountain bass                 ,"10,367","10,231","$5,969 ",$0.58 
Bigeyes                       ,"7,937","7,876","$3,634 ",$0.46 
Goatfishes                    ,"166,280","165,826","$102,431 ",$0.62 
Rudderfish                    ,"4,491","4,476","$2,158 ",$0.48 
Damselfishes                  ,"5,493","405,442","$1,866 ",$0.00 
Tilapia                       ,80,80,$38 ,$0.48 
Wrasses                       ,"7,501","7,466","$1,995 ",$0.27 
Parrotfishes                  ,"24,869","24,642","$7,631 ",$0.31 
Gobies                        ,595,595,$386 ,$0.65 
Surgeonfishes/tangs           ,"105,650","104,381","$23,959 ",$0.23 
Flounders                     ,2,2,$1 ,$0.50 
Filefishes                    ,715,715,$376 ,$0.53 
Pufferfishes                  ,23,23,$6 ,$0.27 
Moonfish (opah)               ,345,345,$13 ,$0.04 
Rainbow runner                ,"1,154","1,154",$227 ,$0.20 
Mahimahi                      ,"189,170","188,090","$70,410 ",$0.37 
Barracudas                    ,"20,399","20,158","$7,898 ",$0.39 
Wahoo                         ,"31,788","31,172","$7,827 ",$0.25 
Japanese mackerel             ,"16,127","16,048","$4,275 ",$0.27 
Skipjack tuna                 ,"11,000,250","11,000,210","$1,246,120 ",$0.11 
Yellowfin tuna                ,"308,876","308,864","$87,876 ",$0.28 
Albacore tuna                 ,"13,425","13,425","$4,673 ",$0.35 
Bigeye tuna                   ,"2,307,167","2,307,167","$718,354 ",$0.31 
Kawakawa                      ,"61,398","61,209","$10,467 ",$0.17 
Billfishes (unknown)          ,"2,630","2,630",$477 ,$0.18 
Swordfish                     ,"45,195","45,195","$9,436 ",$0.21 
Blue marlin                   ,"473,793","470,591","$103,675 ",$0.22 
Black marlin                  ,"20,794","20,594","$4,072 ",$0.20 
Striped marlin                ,"222,971","222,971","$55,398 ",$0.25 
Shortnose spearfish           ,542,542,$96 ,$0.18 
Sailfish                      ,"9,710","9,710","$1,467 ",$0.15 
Spiny lobsters                ,"13,630","13,232","$7,998 ",$0.60 
Slipper lobsters              ,133,133,$63 ,$0.48 
Crabs                         ,"19,055","18,478","$9,091 ",$0.49 
Shrimp (freshwater)           ,"3,447","3,443","$5,775 ",$1.68 
Octopus                       ,"14,386","14,208","$6,463 ",$0.45 
Squid                         ,"5,677","5,361","$2,778 ",$0.52 
Limpets (saltwater)           ,"22,297","22,168","$8,748 ",$0.39 
Clams                         ,"9,535","9,217","$2,725 ",$0.30 
Invertebrates                 ,"1,925","1,925","$1,119 ",$0.58 
Sea turtles                   ,"11,020","11,005","$1,430 ",$0.13 
Algae                         ,313,313,$46 ,$0.15 
TOTAL,"16,585,242","17,364,294","$3,216,924 ",$0.19 
