Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,655","5,187","$6,761 ",$1.30 
Sharks                        ,"376,118","270,716","$150,045 ",$0.55 
Rays                          ,17,0,$0 ,$0.00 
Eels                          ,932,932,"$1,047 ",$1.12 
Bigeye scad (akule)           ,"556,899","237,154","$553,659 ",$2.33 
Mackerel scad                 ,"318,453","205,307","$466,102 ",$2.27 
Leatherjacket                 ,560,420,$763 ,$1.81 
Ten pounder                   ,"1,364","1,016","$1,021 ",$1.01 
Bonefish                      ,"6,226","4,126","$4,405 ",$1.07 
Milkfish                      ,"3,186","2,278","$2,949 ",$1.29 
Needlefishes                  ,552,313,$511 ,$1.63 
Threadfin                     ,892,404,"$1,945 ",$4.81 
Mullets                       ,"8,638","8,010","$28,264 ",$3.53 
Pomfret                       ,"596,390","575,815","$1,310,697 ",$2.28 
Oilfish                       ,"414,144","414,144","$832,938 ",$2.01 
Jacks                         ,"1,677","1,263","$2,556 ",$2.02 
Kahala (amberjack)            ,"4,575",336,$557 ,$1.66 
Sasa ulua                     ,954,511,$679 ,$1.33 
Butaguchi (pig-lipped ulua)   ,"10,715","9,322","$24,029 ",$2.58 
Dobe ulua                     ,"1,368",438,"$1,293 ",$2.95 
Papa ulua                     ,"4,449","3,101","$10,506 ",$3.39 
White ulua                    ,"11,064","7,887","$16,832 ",$2.13 
Gunkin (black) ulua           ,"1,092",366,$543 ,$1.48 
Blue trevally                 ,"4,170","2,625","$5,276 ",$2.01 
Hapuupuu (hawaiian grouper)   ,"32,099","26,741","$139,156 ",$5.20 
Blue spot grouper             ,968,221,$634 ,$2.86 
Kalekale                      ,"7,874","6,782","$23,943 ",$3.53 
Snappers                      ,"2,530","1,949","$7,333 ",$3.76 
Yellow-tail kali              ,58,2,$9 ,$3.75 
Taape (blue lined snapper)    ,"31,463","22,235","$29,381 ",$1.32 
Ehu (red snapper)             ,"23,502","18,405","$93,990 ",$5.11 
Gindai (flower snapper)       ,"3,893","3,199","$10,543 ",$3.30 
Golden kalekale               ,138,81,$211 ,$2.61 
Lehi (silverjaw)              ,"7,420","7,020","$24,026 ",$3.42 
Onaga (red snapper)           ,"107,220","92,930","$633,962 ",$6.82 
Opakapaka (pink snapper)      ,"102,109","88,120","$505,998 ",$5.74 
Uku (gray snapper)            ,"163,504","143,058","$446,645 ",$3.12 
Snake mackerel                ,3,1,$2 ,$2.00 
Porgy                         ,"1,315","1,221","$3,905 ",$3.20 
Reef fishes (unknown)         ,420,415,$419 ,$1.01 
Reef jacks                    ,69,26,$92 ,$3.50 
Squirrelfishes                ,"28,220","27,331","$105,177 ",$3.85 
Trumpetfish                   ,37,34,$59 ,$1.72 
Scorpionfishes                ,"2,720","2,104","$8,088 ",$3.84 
Mountain bass                 ,"1,399",850,"$3,200 ",$3.76 
Bigeyes                       ,"3,283","3,055","$9,798 ",$3.21 
Goatfishes                    ,"42,184","30,857","$92,796 ",$3.01 
Rudderfish                    ,"36,191","35,094","$36,083 ",$1.03 
Damselfishes                  ,"2,210","1,256","$3,214 ",$2.56 
Hawkfish                      ,368,365,$915 ,$2.51 
Tilapia                       ,"8,210",605,"$1,144 ",$1.89 
Wrasses                       ,"5,072","3,513","$15,881 ",$4.52 
Parrotfishes                  ,"32,009","25,918","$85,736 ",$3.31 
Surgeonfishes/tangs           ,"74,720","65,983","$111,432 ",$1.69 
Flounders                     ,135,124,$283 ,$2.28 
Filefishes                    ,"1,549","1,515","$2,906 ",$1.92 
Pufferfishes                  ,1,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,624,43,$5 ,$0.12 
Moonfish (opah)               ,"1,088,065","1,071,178","$1,873,179 ",$1.75 
Rainbow runner                ,"1,996","1,787","$3,665 ",$2.05 
Mahimahi                      ,"1,538,389","1,341,885","$3,640,867 ",$2.71 
Barracudas                    ,"33,631","31,662","$30,351 ",$0.96 
Wahoo                         ,"1,006,658","890,906","$2,328,606 ",$2.61 
Tunas (unknown)               ,"10,288",344,"$1,027 ",$2.99 
Skipjack tuna                 ,"1,082,557","867,496","$1,195,832 ",$1.38 
Yellowfin tuna                ,"3,215,483","3,030,123","$7,935,389 ",$2.62 
Albacore tuna                 ,"786,220","763,586","$1,281,754 ",$1.68 
Bigeye tuna                   ,"10,580,304","9,965,916","$33,665,935 ",$3.38 
Kawakawa                      ,"10,821","2,926","$5,341 ",$1.83 
Billfishes (unknown)          ,"9,143",271,$347 ,$1.28 
Swordfish                     ,"3,200,409","2,513,794","$5,125,026 ",$2.04 
Blue marlin                   ,"1,218,163","945,856","$970,895 ",$1.03 
Black marlin                  ,"10,882","8,946","$9,872 ",$1.10 
Striped marlin                ,"1,434,623","1,434,381","$1,577,278 ",$1.10 
Shortnose spearfish           ,"379,955","356,169","$372,053 ",$1.04 
Sailfish                      ,"23,650","18,183","$15,303 ",$0.84 
Spiny lobsters                ,"7,896","6,339","$61,225 ",$9.66 
Slipper lobsters              ,17,3,$24 ,$8.00 
Crabs                         ,"28,926","8,672","$37,504 ",$4.32 
Shrimp (saltwater)            ,"42,750",5,$29 ,$5.82 
Octopus                       ,"21,131","18,186","$61,740 ",$3.39 
Squid                         ,"2,056","1,902","$4,711 ",$2.48 
Limpets (saltwater)           ,"11,159","5,070","$57,042 ",$11.25 
Invertebrates                 ,"3,410",366,"$7,332 ",$20.01 
Algae                         ,"7,446","6,818","$33,807 ",$4.96 
TOTAL,"28,809,673","25,655,533","$66,116,513 ",$2.58 
