Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"4,125","3,596","$5,218 ",$1.45 
Sharks                        ,"130,693","103,944","$112,271 ",$1.08 
Eels                          ,"2,607",986,"$1,357 ",$1.38 
Bigeye scad (akule)           ,"292,776","197,619","$669,523 ",$3.39 
Mackerel scad                 ,"243,788","158,545","$458,747 ",$2.89 
Leatherjacket                 ,351,271,$653 ,$2.41 
Ten pounder                   ,815,323,$462 ,$1.43 
Bonefish                      ,"7,908","5,430","$7,852 ",$1.45 
Herrings/sardines             ,"6,072","5,393","$11,736 ",$2.18 
Milkfish                      ,"2,140","1,937","$3,051 ",$1.57 
Flying fishes                 ,1,0,$0 ,$0.00 
Needlefishes                  ,700,652,"$1,903 ",$2.92 
Threadfin                     ,447,180,"$1,337 ",$7.40 
Mullets                       ,"8,153","7,705","$32,912 ",$4.27 
Pomfret                       ,"1,243,353","1,243,353","$2,466,198 ",$1.98 
Oilfish                       ,"539,540","531,553","$406,419 ",$0.76 
Jacks                         ,"2,739",449,"$1,303 ",$2.90 
Kahala (amberjack)            ,"13,027","2,698","$5,614 ",$2.08 
Sasa ulua                     ,290,56,$163 ,$2.88 
Butaguchi (pig-lipped ulua)   ,472,336,$947 ,$2.82 
Dobe ulua                     ,"4,246","2,197","$6,030 ",$2.74 
Papa ulua                     ,"8,227","7,019","$29,879 ",$4.26 
White ulua                    ,"11,967","7,901","$22,829 ",$2.89 
Gunkin (black) ulua           ,568,460,"$1,095 ",$2.38 
Blue trevally                 ,"7,617","2,799","$8,412 ",$3.00 
Hapuupuu (hawaiian grouper)   ,"9,886","8,318","$46,284 ",$5.56 
Blue spot grouper             ,"1,543","1,289","$3,910 ",$3.03 
Kalekale                      ,"18,558","14,595","$57,126 ",$3.91 
Snappers                      ,"5,384","4,025","$16,636 ",$4.13 
Yellow-tail kali              ,60,35,$107 ,$3.02 
Taape (blue lined snapper)    ,"30,269","16,840","$28,874 ",$1.71 
Ehu (red snapper)             ,"28,419","22,562","$136,409 ",$6.05 
Gindai (flower snapper)       ,"3,073","2,213","$10,576 ",$4.78 
Golden kalekale               ,241,49,$168 ,$3.42 
Lehi (silverjaw)              ,"8,774","8,401","$39,152 ",$4.66 
Onaga (red snapper)           ,"79,632","68,909","$556,904 ",$8.08 
Opakapaka (pink snapper)      ,"165,348","148,822","$1,010,826 ",$6.79 
Uku (gray snapper)            ,"97,046","82,435","$366,058 ",$4.44 
Snake mackerel                ,10,0,$0 ,$0.00 
Porgy                         ,"4,045","3,548","$12,347 ",$3.48 
Reef fishes (unknown)         ,570,76,$75 ,$0.98 
Reef jacks                    ,131,131,$532 ,$4.04 
Squirrelfishes                ,"55,636","52,741","$238,438 ",$4.52 
Trumpetfish                   ,348,164,$245 ,$1.49 
Scorpionfishes                ,"2,084","1,761","$11,761 ",$6.68 
Mountain bass                 ,"1,712","1,445","$6,889 ",$4.77 
Bigeyes                       ,"7,157","6,916","$27,502 ",$3.98 
Goatfishes                    ,"69,742","53,590","$245,086 ",$4.57 
Rudderfish                    ,"16,676","15,217","$28,156 ",$1.85 
Damselfishes                  ,"1,014",860,"$2,875 ",$3.34 
Hawkfish                      ,"1,316","1,304","$4,098 ",$3.14 
Tilapia                       ,"3,032",242,$857 ,$3.54 
Wrasses                       ,"7,269","4,962","$23,503 ",$4.74 
Parrotfishes                  ,"75,221","73,685","$288,608 ",$3.92 
Surgeonfishes/tangs           ,"102,668","98,685","$188,184 ",$1.91 
Flounders                     ,47,45,$88 ,$1.94 
Filefishes                    ,"1,440","1,180","$2,242 ",$1.90 
Pelagic fishes (unknown)      ,156,33,$3 ,$0.10 
Moonfish (opah)               ,"2,224,692","2,004,421","$2,906,469 ",$1.45 
Rainbow runner                ,"5,406","4,586","$8,610 ",$1.88 
Mahimahi                      ,"1,817,219","1,690,283","$4,412,757 ",$2.61 
Barracudas                    ,"20,506","18,590","$18,277 ",$0.98 
Wahoo                         ,"1,166,082","1,055,514","$2,800,445 ",$2.65 
Tunas (unknown)               ,"5,569","3,683","$12,465 ",$3.38 
Skipjack tuna                 ,"656,511","498,202","$674,724 ",$1.35 
Yellowfin tuna                ,"3,533,601","3,313,308","$11,250,856 ",$3.40 
Albacore tuna                 ,"543,218","502,472","$996,768 ",$1.98 
Bigeye tuna                   ,"16,421,606","15,947,545","$60,668,484 ",$3.80 
Kawakawa                      ,"26,284","12,625","$35,153 ",$2.78 
Billfishes (unknown)          ,"1,372",382,$627 ,$1.64 
Swordfish                     ,"3,205,777","2,479,557","$5,403,767 ",$2.18 
Blue marlin                   ,"1,447,005","1,220,165","$1,605,874 ",$1.32 
Black marlin                  ,"22,499","21,719","$33,317 ",$1.53 
Striped marlin                ,"1,089,619","1,076,380","$1,556,018 ",$1.45 
Shortnose spearfish           ,"523,968","499,897","$520,087 ",$1.04 
Sailfish                      ,"51,088","34,464","$33,402 ",$0.97 
Spiny lobsters                ,"10,514","9,537","$104,028 ",$10.91 
Slipper lobsters              ,170,105,$840 ,$8.00 
Crabs                         ,"35,196","25,685","$112,382 ",$4.38 
Shrimp (saltwater)            ,"48,707","15,593","$101,446 ",$6.51 
Octopus                       ,"34,312","20,341","$92,664 ",$4.56 
Squid                         ,"4,321","3,137","$10,567 ",$3.37 
Limpets (saltwater)           ,"22,416","11,136","$72,690 ",$6.53 
Invertebrates                 ,"2,245","1,309","$117,396 ",$89.66 
Algae                         ,"6,696","6,069","$64,611 ",$10.65 
TOTAL,"36,257,764","33,457,220","$101,225,191 ",$3.03 
