Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,747","5,664","$1,819 ",$0.32 
Sharks                        ,571,0,$0 ,$0.00 
Rays                          ,211,160,$8 ,$0.05 
Eels                          ,"6,122","6,072",$621 ,$0.10 
Bigeye scad (akule)           ,"150,665","147,998","$112,182 ",$0.76 
Mackerel scad                 ,"401,088","394,418","$129,362 ",$0.33 
Leatherjacket                 ,390,345,$112 ,$0.33 
Ten pounder                   ,"8,014","7,512","$2,416 ",$0.32 
Bonefish                      ,"26,087","24,581","$6,784 ",$0.28 
Herrings/sardines             ,902,902,$240 ,$0.27 
Milkfish                      ,"13,911","13,708","$6,364 ",$0.46 
Flying fishes                 ,258,258,$81 ,$0.32 
Needlefishes                  ,119,100,$21 ,$0.21 
Threadfin                     ,"12,640","12,376","$10,099 ",$0.82 
Mullets                       ,"39,912","39,047","$34,421 ",$0.88 
Oilfish                       ,292,292,$29 ,$0.10 
Jacks                         ,"89,729","87,885","$35,665 ",$0.41 
Kahala (amberjack)            ,"105,684","105,054","$29,149 ",$0.28 
Blue trevally                 ,"9,461","9,428","$5,470 ",$0.58 
Hapuupuu (hawaiian grouper)   ,"32,718","32,145","$12,967 ",$0.40 
Kalekale                      ,"24,325","24,245","$11,766 ",$0.49 
Ehu (red snapper)             ,"28,066","27,760","$21,238 ",$0.77 
Gindai (flower snapper)       ,"2,314","2,288","$1,008 ",$0.44 
Lehi (silverjaw)              ,"2,295","2,179",$763 ,$0.35 
Onaga (red snapper)           ,"53,919","53,732","$49,825 ",$0.93 
Opakapaka (pink snapper)      ,"121,118","117,098","$57,249 ",$0.49 
Uku (gray snapper)            ,"65,069","64,560","$27,920 ",$0.43 
Porgy                         ,283,283,$146 ,$0.52 
Reef fishes (unknown)         ,"1,399","1,344",$374 ,$0.28 
Reef jacks                    ,"3,000","1,610","$1,191 ",$0.74 
Squirrelfishes                ,"16,076","15,667","$11,411 ",$0.73 
Trumpetfish                   ,46,40,$12 ,$0.30 
Scorpionfishes                ,"1,599","1,599",$822 ,$0.51 
Mountain bass                 ,"4,319","4,283","$2,315 ",$0.54 
Bigeyes                       ,"2,472","2,407","$1,034 ",$0.43 
Goatfishes                    ,"128,208","125,800","$65,792 ",$0.52 
Rudderfish                    ,"2,294","2,228","$1,011 ",$0.45 
Damselfishes                  ,"4,005","3,978","$1,507 ",$0.38 
Wrasses                       ,"3,383","3,308","$1,038 ",$0.31 
Parrotfishes                  ,"3,098","3,075","$1,172 ",$0.38 
Gobies                        ,"2,005","1,905","$1,760 ",$0.92 
Surgeonfishes/tangs           ,"66,663","64,062","$10,972 ",$0.17 
Flounders                     ,94,94,$14 ,$0.16 
Filefishes                    ,55,55,$25 ,$0.46 
Pufferfishes                  ,51,0,$0 ,$0.00 
Moonfish (opah)               ,"1,923","1,923",$100 ,$0.05 
Rainbow runner                ,"1,279","1,053",$229 ,$0.22 
Mahimahi                      ,"127,233","123,061","$52,001 ",$0.42 
Barracudas                    ,"10,832","10,531","$4,270 ",$0.41 
Wahoo                         ,"29,833","27,360","$5,472 ",$0.20 
Japanese mackerel             ,"2,651","2,651",$802 ,$0.30 
Skipjack tuna                 ,"7,949,983","7,948,729","$1,071,698 ",$0.13 
Yellowfin tuna                ,"384,858","382,163","$153,184 ",$0.40 
Albacore tuna                 ,"15,048","15,048","$4,679 ",$0.31 
Bigeye tuna                   ,"948,253","948,057","$501,725 ",$0.53 
Kawakawa                      ,"60,219","57,626","$8,349 ",$0.14 
Billfishes (unknown)          ,582,382,$57 ,$0.15 
Swordfish                     ,"31,420","31,420","$5,622 ",$0.18 
Blue marlin                   ,"190,330","187,857","$56,158 ",$0.30 
Black marlin                  ,"1,369","1,369",$579 ,$0.42 
Striped marlin                ,"334,410","334,199","$97,642 ",$0.29 
Shortnose spearfish           ,199,199,$32 ,$0.17 
Sailfish                      ,"5,885","5,865",$932 ,$0.16 
Spiny lobsters                ,"10,277","10,174","$7,834 ",$0.77 
Slipper lobsters              ,40,32,$24 ,$0.76 
Crabs                         ,"25,553","23,832","$14,278 ",$0.60 
Shrimp (freshwater)           ,492,447,"$1,459 ",$3.26 
Octopus                       ,"7,927","7,410","$4,401 ",$0.59 
Squid                         ,"5,246","5,240","$1,800 ",$0.34 
Limpets (saltwater)           ,"20,046","19,382","$8,754 ",$0.45 
Clams                         ,"4,741","4,741","$2,133 ",$0.45 
Invertebrates                 ,"1,010","1,010",$881 ,$0.87 
Sea turtles                   ,421,421,$79 ,$0.19 
Algae                         ,"4,738","4,738","$1,728 ",$0.36 
TOTAL,"11,617,475","11,568,465","$2,665,113 ",$0.23 
