Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"6,689","6,566","$1,632 ",$0.25 
Sharks                        ,"1,340",0,$0 ,$0.00 
Eels                          ,"7,223","7,174",$639 ,$0.09 
Bigeye scad (akule)           ,"796,104","744,065","$315,094 ",$0.42 
Mackerel scad                 ,"214,918","210,416","$103,944 ",$0.49 
Leatherjacket                 ,"1,024",893,$223 ,$0.25 
Ten pounder                   ,"2,484","2,213",$602 ,$0.27 
Bonefish                      ,"28,223","24,291","$7,029 ",$0.29 
Herrings/sardines             ,600,600,$150 ,$0.25 
Milkfish                      ,"32,116","30,477","$11,689 ",$0.38 
Flying fishes                 ,108,108,$26 ,$0.25 
Needlefishes                  ,26,26,$4 ,$0.18 
Threadfin                     ,"10,994","10,351","$10,073 ",$0.97 
Mullets                       ,"19,436","19,055","$21,357 ",$1.12 
Jacks                         ,"96,217","93,234","$48,727 ",$0.52 
Kahala (amberjack)            ,"72,380","69,959","$26,091 ",$0.37 
Blue trevally                 ,"5,956","5,873","$4,533 ",$0.77 
Hapuupuu (hawaiian grouper)   ,"21,207","20,665","$12,940 ",$0.63 
Kalekale                      ,"5,648","5,636","$5,536 ",$0.98 
Ehu (red snapper)             ,"16,602","16,321","$18,561 ",$1.14 
Gindai (flower snapper)       ,"1,363","1,338","$1,019 ",$0.76 
Lehi (silverjaw)              ,"4,722","4,609","$1,983 ",$0.43 
Onaga (red snapper)           ,"48,454","48,203","$68,595 ",$1.42 
Opakapaka (pink snapper)      ,"89,489","85,126","$59,567 ",$0.70 
Uku (gray snapper)            ,"57,582","56,392","$29,414 ",$0.52 
Snake mackerel                ,2,2,$0 ,$0.10 
Porgy                         ,196,196,$156 ,$0.80 
Reef fishes (unknown)         ,"3,024","2,811","$1,101 ",$0.39 
Reef jacks                    ,"2,904","2,302","$1,813 ",$0.79 
Squirrelfishes                ,"16,598","15,137","$11,889 ",$0.79 
Trumpetfish                   ,99,64,$23 ,$0.37 
Scorpionfishes                ,"1,374","1,316","$1,080 ",$0.82 
Mountain bass                 ,"2,857","2,608","$1,786 ",$0.69 
Bigeyes                       ,"2,583","2,223",$932 ,$0.42 
Goatfishes                    ,"80,063","77,116","$49,595 ",$0.64 
Rudderfish                    ,"9,332","9,230","$3,588 ",$0.39 
Damselfishes                  ,"1,909","1,817",$741 ,$0.41 
Tilapia                       ,33,2,$0 ,$0.23 
Wrasses                       ,"4,493","3,964","$2,156 ",$0.54 
Parrotfishes                  ,"9,148","8,561","$3,824 ",$0.45 
Gobies                        ,"2,037","1,988","$2,889 ",$1.45 
Surgeonfishes/tangs           ,"81,756","79,494","$21,747 ",$0.27 
Flounders                     ,76,76,$73 ,$0.97 
Filefishes                    ,223,223,$127 ,$0.57 
Pufferfishes                  ,44,44,$25 ,$0.57 
Moonfish (opah)               ,"3,436","3,436",$162 ,$0.05 
Rainbow runner                ,"3,610","3,482",$714 ,$0.21 
Mahimahi                      ,"58,336","51,802","$53,602 ",$1.03 
Barracudas                    ,"6,282","5,816","$2,182 ",$0.38 
Wahoo                         ,"35,066","29,026","$9,250 ",$0.32 
Japanese mackerel             ,13,13,$5 ,$0.45 
Skipjack tuna                 ,"5,961,250","5,953,880","$1,244,865 ",$0.21 
Yellowfin tuna                ,"422,072","412,494","$236,292 ",$0.57 
Albacore tuna                 ,"27,402","27,348","$12,363 ",$0.45 
Bigeye tuna                   ,"709,802","709,762","$673,461 ",$0.95 
Kawakawa                      ,"38,827","36,628","$10,068 ",$0.27 
Billfishes (unknown)          ,116,116,$58 ,$0.50 
Swordfish                     ,"21,008","21,008","$4,303 ",$0.20 
Blue marlin                   ,"147,237","134,306","$57,379 ",$0.43 
Black marlin                  ,"1,504","1,504",$939 ,$0.62 
Striped marlin                ,"316,932","314,654","$202,313 ",$0.64 
Shortnose spearfish           ,"9,364","9,276","$2,359 ",$0.25 
Sailfish                      ,"6,122","6,122","$2,483 ",$0.41 
Spiny lobsters                ,"9,340","8,374","$9,791 ",$1.17 
Slipper lobsters              ,257,176,$189 ,$1.08 
Crabs                         ,"59,181","58,535","$65,733 ",$1.12 
Shrimp (freshwater)           ,680,680,"$1,095 ",$1.61 
Octopus                       ,"5,149","4,926","$3,640 ",$0.74 
Squid                         ,"2,935","2,619","$1,788 ",$0.68 
Limpets (saltwater)           ,"21,344","21,228","$17,784 ",$0.84 
Invertebrates                 ,"1,476","1,476","$1,184 ",$0.80 
Sea turtles                   ,"10,175","7,202","$2,820 ",$0.39 
Algae                         ,"70,414","70,287","$17,888 ",$0.25 
TOTAL,"9,708,986","9,568,941","$3,487,718 ",$0.36 
