Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,776","4,823","$9,123 ",$1.89 
Sharks                        ,"540,384","234,444","$74,570 ",$0.32 
Rays                          ,17,0,$0 ,$0.00 
Eels                          ,763,757,$794 ,$1.05 
Armorhead                     ,4,0,$0 ,$0.00 
Bigeye scad (akule)           ,"742,751","301,630","$584,625 ",$1.94 
Mackerel scad                 ,"260,361","176,000","$358,525 ",$2.04 
Leatherjacket                 ,521,489,$743 ,$1.52 
Ten pounder                   ,626,236,$238 ,$1.01 
Bonefish                      ,"3,607","2,806","$3,127 ",$1.11 
Herrings/sardines             ,4,0,$0 ,$0.00 
Milkfish                      ,"1,330","1,212","$1,437 ",$1.19 
Flying fishes                 ,18,8,$9 ,$1.22 
Needlefishes                  ,486,203,$363 ,$1.79 
Threadfin                     ,278,223,$981 ,$4.40 
Mullets                       ,"10,781","10,728","$35,674 ",$3.33 
Pomfret                       ,"779,905","765,998","$1,316,434 ",$1.72 
Oilfish                       ,"349,100","346,028","$568,642 ",$1.64 
Jacks                         ,"2,537",576,"$1,367 ",$2.37 
Kahala (amberjack)            ,"8,819",584,$609 ,$1.04 
Sasa ulua                     ,748,548,"$1,560 ",$2.85 
Butaguchi (pig-lipped ulua)   ,"28,947","24,917","$56,591 ",$2.27 
Dobe ulua                     ,"10,685","3,523","$6,127 ",$1.74 
Papa ulua                     ,"7,457","3,105","$8,356 ",$2.69 
White ulua                    ,"18,377","13,045","$20,768 ",$1.59 
Gunkin (black) ulua           ,"3,537","3,082","$5,133 ",$1.67 
Blue trevally                 ,"7,804","5,177","$10,196 ",$1.97 
Hapuupuu (hawaiian grouper)   ,"47,865","42,517","$185,061 ",$4.35 
Blue spot grouper             ,756,352,$877 ,$2.49 
Kalekale                      ,"10,751","9,782","$32,244 ",$3.30 
Snappers                      ,"3,428","1,950","$6,067 ",$3.11 
Yellow-tail kali              ,70,18,$34 ,$1.92 
Taape (blue lined snapper)    ,"48,077","25,194","$28,154 ",$1.12 
Ehu (red snapper)             ,"37,369","34,864","$144,987 ",$4.16 
Gindai (flower snapper)       ,"6,215","5,730","$19,426 ",$3.39 
Golden kalekale               ,239,161,$373 ,$2.31 
Lehi (silverjaw)              ,"7,702","7,376","$26,282 ",$3.56 
Onaga (red snapper)           ,"168,527","147,764","$835,164 ",$5.65 
Opakapaka (pink snapper)      ,"147,502","138,552","$726,785 ",$5.25 
Uku (gray snapper)            ,"167,288","146,201","$415,068 ",$2.84 
Snake mackerel                ,7,4,$2 ,$0.50 
Porgy                         ,"1,911",905,"$2,457 ",$2.71 
Reef fishes (unknown)         ,112,6,$7 ,$1.25 
Reef jacks                    ,56,55,$166 ,$3.03 
Squirrelfishes                ,"41,047","40,230","$121,032 ",$3.01 
Trumpetfish                   ,80,47,$73 ,$1.54 
Scorpionfishes                ,"3,134","2,688","$10,441 ",$3.88 
Mountain bass                 ,"2,363","1,937","$7,559 ",$3.90 
