Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,550","5,508","$2,113 ",$0.38 
Sharks                        ,205,0,$0 ,$0.00 
Rays                          ,148,18,$2 ,$0.13 
Eels                          ,"7,634","7,524",$643 ,$0.09 
Bigeye scad (akule)           ,"980,083","892,476","$358,295 ",$0.40 
Mackerel scad                 ,"174,112","169,062","$97,827 ",$0.58 
Leatherjacket                 ,"1,820","1,771",$406 ,$0.23 
Ten pounder                   ,"2,817","2,520",$723 ,$0.29 
Bonefish                      ,"28,163","23,542","$7,535 ",$0.32 
Herrings/sardines             ,"1,050","1,050",$525 ,$0.50 
Milkfish                      ,"26,791","25,015","$10,099 ",$0.40 
Flying fishes                 ,61,61,$14 ,$0.25 
Needlefishes                  ,117,107,$28 ,$0.26 
Threadfin                     ,"11,786","11,269","$11,964 ",$1.06 
Mullets                       ,"19,985","19,319","$22,936 ",$1.19 
Oilfish                       ,87,87,$13 ,$0.15 
Jacks                         ,"65,210","63,239","$33,497 ",$0.53 
Kahala (amberjack)            ,"70,124","68,226","$25,695 ",$0.38 
Blue trevally                 ,"3,687","3,622","$2,785 ",$0.77 
Hapuupuu (hawaiian grouper)   ,"40,473","39,788","$25,226 ",$0.63 
Kalekale                      ,"4,466","4,451","$4,958 ",$1.11 
Taape (blue lined snapper)    ,"1,116","1,116",$341 ,$0.31 
Ehu (red snapper)             ,"16,688","16,458","$20,824 ",$1.27 
Gindai (flower snapper)       ,"1,683","1,673","$1,297 ",$0.78 
Lehi (silverjaw)              ,"1,342","1,342",$632 ,$0.47 
Onaga (red snapper)           ,"38,191","38,153","$59,878 ",$1.57 
Opakapaka (pink snapper)      ,"52,832","49,838","$39,586 ",$0.79 
Uku (gray snapper)            ,"49,276","48,075","$28,394 ",$0.59 
Porgy                         ,351,347,$298 ,$0.86 
Reef fishes (unknown)         ,"1,842","1,798",$712 ,$0.40 
Reef jacks                    ,"2,455","1,424","$1,227 ",$0.86 
Squirrelfishes                ,"20,783","18,577","$14,248 ",$0.77 
Trumpetfish                   ,19,19,$6 ,$0.33 
Scorpionfishes                ,"1,495","1,460","$1,175 ",$0.81 
Mountain bass                 ,"2,975","2,817","$2,386 ",$0.85 
Bigeyes                       ,"1,719","1,655",$774 ,$0.47 
Goatfishes                    ,"78,809","74,467","$49,218 ",$0.66 
Rudderfish                    ,"3,334","3,267","$1,538 ",$0.47 
Damselfishes                  ,"1,129","1,091",$474 ,$0.43 
Wrasses                       ,"4,346","3,946","$2,111 ",$0.54 
Parrotfishes                  ,"9,041","7,709","$3,432 ",$0.45 
Gobies                        ,"1,105","1,053","$1,481 ",$1.41 
Surgeonfishes/tangs           ,"65,707","62,645","$18,052 ",$0.29 
Flounders                     ,14,14,$9 ,$0.69 
Filefishes                    ,189,189,$145 ,$0.77 
Pufferfishes                  ,19,14,$11 ,$0.82 
Moonfish (opah)               ,"2,482","2,482",$495 ,$0.20 
Rainbow runner                ,"1,847","1,823",$485 ,$0.27 
Mahimahi                      ,"76,070","64,414","$54,818 ",$0.85 
Barracudas                    ,"8,289","7,928","$3,176 ",$0.40 
Wahoo                         ,"44,364","37,109","$12,126 ",$0.33 
Skipjack tuna                 ,"7,351,096","7,342,176","$1,496,917 ",$0.20 
Yellowfin tuna                ,"705,304","683,013","$498,978 ",$0.73 
Albacore tuna                 ,"20,001","20,001","$10,639 ",$0.53 
Bigeye tuna                   ,"476,838","476,753","$510,014 ",$1.07 
Kawakawa                      ,"17,625","16,778","$4,798 ",$0.29 
Swordfish                     ,"17,213","17,213","$5,133 ",$0.30 
Blue marlin                   ,"222,348","173,699","$68,963 ",$0.40 
Black marlin                  ,"1,515","1,460","$1,012 ",$0.69 
Striped marlin                ,"344,723","339,407","$217,836 ",$0.64 
Shortnose spearfish           ,"23,171","22,916","$4,871 ",$0.21 
Sailfish                      ,"2,743","2,640",$486 ,$0.18 
Spiny lobsters                ,"5,398","5,037","$6,206 ",$1.23 
Slipper lobsters              ,277,222,$241 ,$1.09 
Crabs                         ,"85,547","84,448","$98,626 ",$1.17 
Shrimp (freshwater)           ,"2,456","2,317","$3,859 ",$1.67 
Octopus                       ,"6,910","5,902","$4,740 ",$0.80 
Squid                         ,"5,791","5,657","$3,150 ",$0.56 
Limpets (saltwater)           ,"21,456","21,233","$20,345 ",$0.96 
Invertebrates                 ,"1,441","1,441",$953 ,$0.66 
Sea turtles                   ,"12,506","11,869","$5,017 ",$0.42 
Algae                         ,"49,462","49,302","$16,165 ",$0.33 
TOTAL,"11,307,702","11,075,042","$3,903,617 ",$0.35 
