Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"24,092","23,826","$9,537 ",$0.40 
Sharks                        ,"22,591","22,591","$3,998 ",$0.18 
Rays                          ,44,44,$2 ,$0.06 
Eels                          ,"14,986","14,983","$1,595 ",$0.11 
Bigeye scad (akule)           ,"339,319","330,488","$214,282 ",$0.65 
Mackerel scad                 ,"256,711","254,793","$94,410 ",$0.37 
Leatherjacket                 ,"1,271","1,146",$420 ,$0.37 
Ten pounder                   ,"7,106","7,016","$3,212 ",$0.46 
Bonefish                      ,"41,369","40,603","$13,763 ",$0.34 
Herrings/sardines             ,"2,160","2,106",$423 ,$0.20 
Milkfish                      ,"19,117","18,929","$5,802 ",$0.31 
Flying fishes                 ,582,582,$242 ,$0.42 
Needlefishes                  ,"2,505","2,478",$421 ,$0.17 
Threadfin                     ,"13,263","14,411","$9,482 ",$0.66 
Mullets                       ,"52,459","51,716","$39,039 ",$0.75 
Freshwater fishes             ,425,425,$316 ,$0.74 
Jacks                         ,"246,484","246,104","$90,039 ",$0.37 
Kahala (amberjack)            ,"176,931","176,758","$38,585 ",$0.22 
Blue trevally                 ,"17,977","18,906","$7,637 ",$0.40 
Hapuupuu (hawaiian grouper)   ,"98,892","98,883","$33,504 ",$0.34 
Kalekale                      ,"35,784","35,559","$17,916 ",$0.50 
Ehu (red snapper)             ,"57,529","57,434","$39,264 ",$0.68 
Gindai (flower snapper)       ,"3,597","3,597","$1,417 ",$0.39 
Lehi (silverjaw)              ,"6,450","6,448","$2,274 ",$0.35 
Onaga (red snapper)           ,"46,274","46,228","$33,309 ",$0.72 
Opakapaka (pink snapper)      ,"316,496","315,209","$126,005 ",$0.40 
Uku (gray snapper)            ,"72,621","72,582","$28,245 ",$0.39 
Porgy                         ,"1,124","1,124",$670 ,$0.60 
Reef fishes (unknown)         ,"2,416","2,396",$520 ,$0.22 
Reef jacks                    ,558,558,$481 ,$0.86 
Squirrelfishes                ,"37,703","37,561","$26,711 ",$0.71 
Trumpetfish                   ,108,107,$19 ,$0.19 
Scorpionfishes                ,"2,418","2,416","$1,030 ",$0.43 
Mountain bass                 ,"4,519","4,471","$3,103 ",$0.69 
Bigeyes                       ,"5,969","5,927","$2,770 ",$0.47 
Goatfishes                    ,"156,033","159,477","$99,817 ",$0.63 
Rudderfish                    ,"2,927","2,810","$1,391 ",$0.50 
Damselfishes                  ,"2,490","2,490","$1,046 ",$0.42 
Wrasses                       ,"7,499","7,407","$2,211 ",$0.30 
Parrotfishes                  ,"6,055","6,003","$2,449 ",$0.41 
Gobies                        ,36,36,$18 ,$0.50 
Surgeonfishes/tangs           ,"22,763","25,068","$7,321 ",$0.29 
Flounders                     ,10,10,$7 ,$0.77 
Filefishes                    ,469,469,$295 ,$0.63 
Pufferfishes                  ,18,18,$7 ,$0.43 
Pelagic fishes (unknown)      ,98,98,$21 ,$0.22 
Rainbow runner                ,873,873,$185 ,$0.21 
Mahimahi                      ,"182,621","182,235","$71,665 ",$0.39 
Barracudas                    ,"21,375","21,106","$7,571 ",$0.36 
Wahoo                         ,"54,883","54,726","$13,116 ",$0.24 
Tunas (unknown)               ,"24,359","24,359","$8,544 ",$0.35 
Skipjack tuna                 ,"621,241","619,210","$96,696 ",$0.16 
Yellowfin tuna                ,"845,959","845,241","$256,859 ",$0.30 
Albacore tuna                 ,"105,000","104,972","$23,995 ",$0.23 
Bigeye tuna                   ,"2,217,439","2,215,535","$695,291 ",$0.31 
Kawakawa                      ,"56,640","56,369","$12,184 ",$0.22 
Billfishes (unknown)          ,"12,318","12,318","$3,938 ",$0.32 
Swordfish                     ,"38,014","38,014","$10,190 ",$0.27 
Blue marlin                   ,"557,322","557,269","$192,157 ",$0.34 
Black marlin                  ,"8,247","7,920","$2,359 ",$0.30 
Striped marlin                ,"388,387","388,290","$119,947 ",$0.31 
Shortnose spearfish           ,"1,672","1,672",$484 ,$0.29 
Sailfish                      ,"21,113","21,113","$6,338 ",$0.30 
Spiny lobsters                ,"18,075","18,022","$11,099 ",$0.62 
Slipper lobsters              ,92,92,$43 ,$0.47 
Crabs                         ,"5,214","5,214","$2,023 ",$0.39 
Shrimp (freshwater)           ,233,233,$489 ,$2.10 
Octopus                       ,"6,594","6,469","$3,996 ",$0.62 
Squid                         ,75,75,$37 ,$0.50 
Limpets (saltwater)           ,"3,444","3,375","$1,292 ",$0.38 
Clams                         ,"4,889","4,889","$1,054 ",$0.22 
Sea turtles                   ,"2,331","2,331",$453 ,$0.19 
Algae                         ,240,240,$215 ,$0.90 
TOTAL,"7,328,898","7,314,453","$2,507,277 ",$0.34 
