Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"13,177","10,003","$23,209 ",$2.32 
Sharks                        ,"282,254","258,521","$112,347 ",$0.43 
Shark fins                    ,807,4,$32 ,$7.55 
Rays                          ,30,0,$0 ,$0.00 
Eels                          ,378,134,$139 ,$1.04 
Bigeye scad (akule)           ,"730,025","320,616","$551,306 ",$1.72 
Mackerel scad                 ,"215,015","183,673","$331,291 ",$1.80 
Leatherjacket                 ,538,233,$328 ,$1.41 
Ten pounder                   ,175,134,$193 ,$1.44 
Bonefish                      ,"8,261","3,432","$3,377 ",$0.98 
Herrings/sardines             ,23,0,$0 ,$0.00 
Milkfish                      ,934,739,$782 ,$1.06 
Flying fishes                 ,0,0,$0 ,$1.50 
Needlefishes                  ,395,297,$449 ,$1.51 
Threadfin                     ,398,300,"$1,331 ",$4.43 
Mullets                       ,"6,894","3,907","$13,321 ",$3.41 
Pomfret                       ,"274,902","271,910","$386,489 ",$1.42 
Oilfish                       ,"143,719","143,435","$210,726 ",$1.47 
Jacks                         ,"25,021","2,269","$2,453 ",$1.08 
Kahala (amberjack)            ,"14,538","1,058","$1,616 ",$1.53 
Sasa ulua                     ,444,383,$469 ,$1.22 
Butaguchi (pig-lipped ulua)   ,"36,954","31,733","$52,962 ",$1.67 
Dobe ulua                     ,"2,342","2,324","$4,004 ",$1.72 
Papa ulua                     ,"2,202","1,991","$3,699 ",$1.86 
White ulua                    ,"15,490","15,490","$25,099 ",$1.62 
Gunkin (black) ulua           ,669,604,$946 ,$1.57 
Blue trevally                 ,"6,773","6,548","$13,578 ",$2.07 
Hapuupuu (hawaiian grouper)   ,"46,193","42,790","$157,286 ",$3.68 
Blue spot grouper             ,735,269,$808 ,$3.00 
Kalekale                      ,"16,998","15,342","$45,582 ",$2.97 
Snappers                      ,"2,638","1,710","$5,678 ",$3.32 
Yellow-tail kali              ,5,0,$0 ,$0.00 
Taape (blue lined snapper)    ,"59,492","48,801","$49,961 ",$1.02 
Ehu (red snapper)             ,"37,925","35,749","$140,279 ",$3.92 
Gindai (flower snapper)       ,"5,482","4,865","$14,660 ",$3.01 
Golden kalekale               ,174,162,$374 ,$2.30 
Lehi (silverjaw)              ,"12,674","12,295","$35,771 ",$2.91 
Onaga (red snapper)           ,"142,834","133,360","$667,849 ",$5.01 
Opakapaka (pink snapper)      ,"186,678","173,276","$769,486 ",$4.44 
Uku (gray snapper)            ,"121,261","114,495","$276,355 ",$2.41 
Snake mackerel                ,3,0,$0 ,$0.00 
Porgy                         ,"2,444","1,988","$5,396 ",$2.71 
Reef fishes (unknown)         ,175,153,$161 ,$1.06 
Reef jacks                    ,33,19,$55 ,$2.85 
Squirrelfishes                ,"43,811","42,827","$131,712 ",$3.08 
Trumpetfish                   ,144,55,$70 ,$1.26 
Scorpionfishes                ,"2,711","2,454","$10,681 ",$4.35 
Mountain bass                 ,"3,926","3,719","$10,326 ",$2.78 
Bigeyes                       ,"3,868","3,278","$9,517 ",$2.90 
Goatfishes                    ,"43,121","29,699","$92,784 ",$3.12 
Rudderfish                    ,"16,313","14,600","$20,760 ",$1.42 
Damselfishes                  ,"2,019","1,590","$3,210 ",$2.02 
Hawkfish                      ,580,564,"$1,353 ",$2.40 
Tilapia                       ,116,20,$51 ,$2.50 
Wrasses                       ,"7,204","5,292","$18,892 ",$3.57 
Parrotfishes                  ,"26,655","24,399","$67,331 ",$2.76 
Surgeonfishes/tangs           ,"119,630","112,461","$155,379 ",$1.38 
Flounders                     ,76,69,$75 ,$1.08 
Filefishes                    ,"7,064",806,$846 ,$1.05 
Pufferfishes                  ,7,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,410,318,$46 ,$0.15 
Moonfish (opah)               ,"773,258","765,024","$999,083 ",$1.31 
Rainbow runner                ,"3,776","3,325","$5,053 ",$1.52 
Mahimahi                      ,"1,246,629","1,245,430","$2,261,786 ",$1.82 
Barracudas                    ,"29,972","29,867","$20,533 ",$0.69 
Wahoo                         ,"948,686","905,958","$1,657,170 ",$1.83 
Tunas (unknown)               ,"3,910","1,501","$5,829 ",$3.88 
Skipjack tuna                 ,"1,651,740","1,542,134","$1,868,725 ",$1.21 
Yellowfin tuna                ,"4,338,727","4,231,407","$9,922,753 ",$2.35 
Albacore tuna                 ,"3,488,141","3,415,395","$3,674,457 ",$1.08 
Bigeye tuna                   ,"6,097,833","6,097,833","$19,018,820 ",$3.12 
Kawakawa                      ,"10,250","6,955","$7,935 ",$1.14 
Billfishes (unknown)          ,"9,727",975,$688 ,$0.71 
Swordfish                     ,"568,933","559,371","$1,354,368 ",$2.42 
Blue marlin                   ,"1,464,133","1,192,670","$1,004,806 ",$0.84 
Black marlin                  ,"44,510","43,313","$41,071 ",$0.95 
Striped marlin                ,"988,479","984,419","$1,092,954 ",$1.11 
Shortnose spearfish           ,"298,443","289,074","$243,666 ",$0.84 
Sailfish                      ,"23,081","13,256","$12,435 ",$0.94 
Spiny lobsters                ,"8,797","7,664","$96,961 ",$12.65 
Slipper lobsters              ,97,70,$573 ,$8.18 
Crabs                         ,"16,810","11,424","$48,750 ",$4.27 
Shrimp (freshwater)           ,131,131,$669 ,$5.09 
Shrimp (saltwater)            ,"9,313","1,275","$9,948 ",$7.80 
Octopus                       ,"29,035","27,685","$81,459 ",$2.94 
Squid                         ,"1,915","1,254","$3,302 ",$2.63 
Limpets (saltwater)           ,"14,518","9,501","$87,748 ",$9.24 
Invertebrates                 ,"19,050","3,263","$84,545 ",$25.90 
Algae                         ,"16,882","8,042","$42,896 ",$5.33 
TOTAL,"24,802,569","23,485,420","$48,081,900 ",$2.05 
