Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"56,270","55,437","$15,993 ",$0.29 
Sharks                        ,"40,434","39,552","$5,590 ",$0.14 
Rays                          ,342,342,$21 ,$0.06 
Eels                          ,"17,476","17,403","$2,096 ",$0.12 
Bigeye scad (akule)           ,"647,517","620,118","$369,496 ",$0.60 
Mackerel scad                 ,"283,111","278,967","$117,761 ",$0.42 
Leatherjacket                 ,"1,996","1,970",$693 ,$0.35 
Ten pounder                   ,"7,126","7,089","$3,861 ",$0.54 
Bonefish                      ,"108,548","105,977","$41,640 ",$0.39 
Herrings/sardines             ,"5,758","5,750","$1,442 ",$0.25 
Milkfish                      ,"41,059","40,640","$13,257 ",$0.33 
Flying fishes                 ,403,403,$121 ,$0.30 
Needlefishes                  ,"5,986","5,912","$1,377 ",$0.23 
Threadfin                     ,"30,296","28,004","$20,231 ",$0.72 
Mullets                       ,"83,416","82,088","$60,348 ",$0.74 
Freshwater fishes             ,490,464,$571 ,$1.23 
Jacks                         ,"222,632","221,506","$87,737 ",$0.40 
Kahala (amberjack)            ,"212,967","212,292","$67,232 ",$0.32 
Blue trevally                 ,"57,318","57,285","$24,472 ",$0.43 
Hapuupuu (hawaiian grouper)   ,"69,893","69,696","$25,784 ",$0.37 
Kalekale                      ,"36,777","36,160","$20,293 ",$0.56 
Ehu (red snapper)             ,"119,723","118,600","$75,353 ",$0.64 
Gindai (flower snapper)       ,293,298,$116 ,$0.39 
Lehi (silverjaw)              ,"6,044","5,984","$2,521 ",$0.42 
Onaga (red snapper)           ,"80,113","79,604","$51,429 ",$0.65 
Opakapaka (pink snapper)      ,"257,043","255,013","$107,353 ",$0.42 
Uku (gray snapper)            ,"85,408","85,082","$36,232 ",$0.43 
Porgy                         ,"4,069","4,048","$2,528 ",$0.62 
Reef fishes (unknown)         ,"4,560","4,504",$922 ,$0.20 
Reef jacks                    ,"1,472","1,352","$1,049 ",$0.78 
Squirrelfishes                ,"97,919","96,180","$64,769 ",$0.67 
Trumpetfish                   ,38,38,$13 ,$0.37 
Scorpionfishes                ,407,407,$169 ,$0.42 
Mountain bass                 ,"8,430","8,256","$5,265 ",$0.64 
Bigeyes                       ,"6,895","6,801","$3,031 ",$0.45 
Goatfishes                    ,"153,889","151,760","$107,968 ",$0.71 
Rudderfish                    ,"6,901","6,874","$2,450 ",$0.36 
Damselfishes                  ,"4,172","4,051","$1,751 ",$0.43 
Wrasses                       ,"13,235","12,915","$4,415 ",$0.34 
Parrotfishes                  ,"21,386","21,316","$6,287 ",$0.30 
Gobies                        ,125,111,$111 ,$1.00 
Surgeonfishes/tangs           ,"77,690","76,999","$22,679 ",$0.29 
Flounders                     ,230,230,$135 ,$0.59 
Filefishes                    ,436,436,$313 ,$0.72 
Rainbow runner                ,"2,415","2,414",$516 ,$0.21 
Mahimahi                      ,"188,442","188,179","$64,516 ",$0.34 
Barracudas                    ,"54,299","52,600","$14,921 ",$0.28 
Wahoo                         ,"54,658","54,555","$17,932 ",$0.33 
Tunas (unknown)               ,"71,305","71,305","$24,394 ",$0.34 
Skipjack tuna                 ,"1,403,184","1,395,660","$217,676 ",$0.16 
Yellowfin tuna                ,"751,188","750,520","$270,092 ",$0.36 
Albacore tuna                 ,"84,123","84,123","$25,560 ",$0.30 
Bigeye tuna                   ,"1,146,603","1,147,679","$383,373 ",$0.33 
Kawakawa                      ,"65,962","64,932","$17,254 ",$0.27 
Billfishes (unknown)          ,"21,645","21,600","$6,972 ",$0.32 
Swordfish                     ,"89,949","89,801","$28,018 ",$0.31 
Blue marlin                   ,"534,020","533,823","$217,377 ",$0.41 
Striped marlin                ,"445,192","445,193","$141,816 ",$0.32 
Sailfish                      ,"140,962","140,793","$43,427 ",$0.31 
Spiny lobsters                ,"46,185","45,676","$28,267 ",$0.62 
Slipper lobsters              ,184,184,$91 ,$0.50 
Crabs                         ,"24,076","22,302","$7,537 ",$0.34 
Shrimp (freshwater)           ,"1,657","1,640","$1,935 ",$1.18 
Octopus                       ,"23,232","22,925","$12,855 ",$0.56 
Squid                         ,"3,384","3,371","$1,684 ",$0.50 
Limpets (saltwater)           ,"11,354","11,332","$5,515 ",$0.49 
Clams                         ,"15,606","15,006","$4,800 ",$0.32 
Sea turtles                   ,"19,576","18,676","$2,384 ",$0.13 
Algae                         ,720,720,$618 ,$0.86 
TOTAL,"8,080,370","8,013,080","$2,916,556 ",$0.36 
