Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"30,284","29,635","$16,777 ",$0.57 
Sharks                        ,"4,240",0,$0 ,$0.00 
Rays                          ,700,0,$0 ,$0.00 
Eels                          ,"5,441","5,232",$651 ,$0.12 
Bigeye scad (akule)           ,"717,513","644,553","$336,624 ",$0.52 
Mackerel scad                 ,"207,891","190,127","$140,602 ",$0.74 
Leatherjacket                 ,970,888,$285 ,$0.32 
Ten pounder                   ,"19,844","19,145","$12,736 ",$0.67 
Bonefish                      ,"39,238","34,574","$17,326 ",$0.50 
Herrings/sardines             ,454,70,$29 ,$0.42 
Milkfish                      ,"11,275","10,378","$4,548 ",$0.44 
Flying fishes                 ,7,7,$2 ,$0.39 
Needlefishes                  ,46,46,$12 ,$0.27 
Threadfin                     ,"5,988","5,294","$6,456 ",$1.22 
Mullets                       ,"15,445","14,331","$19,002 ",$1.33 
Freshwater fishes             ,4,4,$1 ,$0.25 
Jacks                         ,"48,843","45,452","$42,264 ",$0.93 
Kahala (amberjack)            ,"66,119","65,187","$42,959 ",$0.66 
Blue trevally                 ,"1,699","1,392","$1,170 ",$0.84 
Hapuupuu (hawaiian grouper)   ,"50,794","50,051","$49,466 ",$0.99 
Kalekale                      ,"6,464","6,213","$6,427 ",$1.03 
Taape (blue lined snapper)    ,"6,083","5,410","$2,657 ",$0.49 
Ehu (red snapper)             ,"22,047","21,035","$31,643 ",$1.50 
Gindai (flower snapper)       ,"2,599","2,579","$2,362 ",$0.92 
Lehi (silverjaw)              ,"6,489","6,401","$4,323 ",$0.68 
Onaga (red snapper)           ,"42,670","41,461","$70,803 ",$1.71 
Opakapaka (pink snapper)      ,"132,072","125,925","$115,020 ",$0.91 
Uku (gray snapper)            ,"69,206","67,116","$48,936 ",$0.73 
Snake mackerel                ,219,154,$42 ,$0.27 
Porgy                         ,204,204,$210 ,$1.03 
Reef fishes (unknown)         ,949,872,$441 ,$0.51 
Reef jacks                    ,"1,040",659,$658 ,$1.00 
Squirrelfishes                ,"23,729","22,158","$21,359 ",$0.96 
Trumpetfish                   ,63,63,$16 ,$0.26 
Scorpionfishes                ,"2,037","1,887","$1,353 ",$0.72 
Mountain bass                 ,"3,152","3,051","$2,799 ",$0.92 
Bigeyes                       ,"5,356","5,121","$3,292 ",$0.64 
Goatfishes                    ,"90,522","85,546","$70,509 ",$0.82 
Rudderfish                    ,"8,838","8,553","$3,162 ",$0.37 
Damselfishes                  ,"2,593","2,553","$1,525 ",$0.60 
Tilapia                       ,929,929,$964 ,$1.04 
Wrasses                       ,"4,699","4,302","$3,154 ",$0.73 
Parrotfishes                  ,"5,365","5,226","$2,708 ",$0.52 
Gobies                        ,"2,497","2,157","$3,246 ",$1.51 
Surgeonfishes/tangs           ,"51,896","47,603","$18,718 ",$0.39 
Flounders                     ,12,12,$8 ,$0.68 
Filefishes                    ,109,109,$83 ,$0.76 
Pufferfishes                  ,9,2,$1 ,$0.75 
Moonfish (opah)               ,130,130,$5 ,$0.04 
Rainbow runner                ,"1,315","1,196",$333 ,$0.28 
Mahimahi                      ,"113,884","88,364","$94,295 ",$1.07 
Barracudas                    ,"6,241","5,492","$3,421 ",$0.62 
Wahoo                         ,"75,866","60,036","$30,957 ",$0.52 
Japanese mackerel             ,65,61,$33 ,$0.55 
Tunas (unknown)               ,50,50,$62 ,$1.25 
Skipjack tuna                 ,"10,751,997","10,725,685","$3,203,679 ",$0.30 
Yellowfin tuna                ,"769,418","722,342","$625,486 ",$0.87 
Albacore tuna                 ,"30,735","30,735","$27,641 ",$0.90 
Bigeye tuna                   ,"408,467","408,640","$688,285 ",$1.68 
Kawakawa                      ,"32,480","25,910","$7,884 ",$0.30 
Billfishes (unknown)          ,"2,004","2,004",$556 ,$0.28 
Swordfish                     ,734,0,$0 ,$0.00 
Blue marlin                   ,"84,089","33,385","$12,886 ",$0.39 
Black marlin                  ,"1,437",687,$519 ,$0.76 
Striped marlin                ,"141,843","108,759","$94,476 ",$0.87 
Shortnose spearfish           ,"8,224","7,404","$3,233 ",$0.44 
Sailfish                      ,"1,509","1,344",$450 ,$0.34 
Spiny lobsters                ,"5,577","5,331","$8,228 ",$1.54 
Slipper lobsters              ,102,85,$110 ,$1.30 
Crabs                         ,"81,239","79,137","$114,052 ",$1.44 
Shrimp (freshwater)           ,489,489,"$1,117 ",$2.29 
Octopus                       ,"13,738","12,624","$13,606 ",$1.08 
Squid                         ,"11,391","11,123","$6,751 ",$0.61 
Limpets (saltwater)           ,"20,843","20,770","$23,493 ",$1.13 
Invertebrates                 ,"4,894","4,846","$4,207 ",$0.87 
Sea turtles                   ,"19,131","18,367","$7,813 ",$0.43 
Algae                         ,"97,140","96,987","$35,909 ",$0.37 
TOTAL,"14,403,675","14,055,650","$6,116,846 ",$0.44 
