Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"5,601","5,542","$8,801 ",$1.59 
Sharks                        ,"272,548","175,911","$115,301 ",$0.66 
Rays                          ,69,0,$0 ,$0.00 
Eels                          ,"1,586",490,$569 ,$1.16 
Bigeye scad (akule)           ,"315,468","182,717","$593,112 ",$3.25 
Mackerel scad                 ,"284,923","170,882","$464,391 ",$2.72 
Leatherjacket                 ,331,307,$736 ,$2.39 
Ten pounder                   ,"1,387","1,346","$2,628 ",$1.95 
Bonefish                      ,"17,409","16,882","$20,227 ",$1.20 
Herrings/sardines             ,"3,086","2,557","$4,942 ",$1.93 
Milkfish                      ,"1,067",684,$816 ,$1.19 
Flying fishes                 ,1,1,$2 ,$2.00 
Needlefishes                  ,392,280,$491 ,$1.75 
Threadfin                     ,"1,089",511,"$3,775 ",$7.38 
Mullets                       ,"15,056","9,820","$42,862 ",$4.36 
Pomfret                       ,"430,878","427,596","$1,449,479 ",$3.39 
Oilfish                       ,"632,560","632,384","$868,147 ",$1.37 
Jacks                         ,"1,723","1,666","$4,744 ",$2.85 
Kahala (amberjack)            ,"15,802","2,931","$5,224 ",$1.78 
Sasa ulua                     ,"1,105",452,"$1,328 ",$2.94 
Butaguchi (pig-lipped ulua)   ,"1,385",486,"$1,732 ",$3.56 
Dobe ulua                     ,"1,318",450,"$1,099 ",$2.44 
Papa ulua                     ,"8,613","7,687","$30,316 ",$3.94 
White ulua                    ,"20,573","8,411","$20,036 ",$2.38 
Gunkin (black) ulua           ,369,67,$306 ,$4.55 
Blue trevally                 ,"6,800","2,927","$7,178 ",$2.45 
Hapuupuu (hawaiian grouper)   ,"7,459","6,690","$32,860 ",$4.91 
Blue spot grouper             ,"5,400","4,045","$13,787 ",$3.41 
Kalekale                      ,"8,619","6,665","$25,328 ",$3.80 
Snappers                      ,"6,301","4,508","$18,315 ",$4.06 
Yellow-tail kali              ,53,14,$37 ,$2.60 
Taape (blue lined snapper)    ,"41,261","20,437","$34,347 ",$1.68 
Ehu (red snapper)             ,"20,752","15,156","$81,654 ",$5.39 
Gindai (flower snapper)       ,"2,592","1,603","$7,221 ",$4.50 
Golden kalekale               ,129,18,$58 ,$3.18 
Lehi (silverjaw)              ,"4,677","4,065","$17,487 ",$4.30 
Onaga (red snapper)           ,"46,361","39,811","$313,754 ",$7.88 
Opakapaka (pink snapper)      ,"101,887","85,070","$506,492 ",$5.95 
Uku (gray snapper)            ,"109,457","94,393","$418,058 ",$4.43 
Snake mackerel                ,31,0,$0 ,$0.00 
Porgy                         ,"6,879","5,007","$16,394 ",$3.27 
Reef fishes (unknown)         ,928,0,$0 ,$1.00 
Reef jacks                    ,42,15,$70 ,$4.45 
Squirrelfishes                ,"64,438","60,234","$258,864 ",$4.30 
Trumpetfish                   ,235,220,$316 ,$1.43 
