Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"3,254","3,237","$7,381 ",$2.28 
Sharks                        ,"443,128","339,757","$150,178 ",$0.44 
Rays                          ,17,0,$0 ,$0.00 
Eels                          ,739,604,$621 ,$1.03 
Armorhead                     ,40,10,$6 ,$0.64 
Bigeye scad (akule)           ,"358,581","156,732","$453,746 ",$2.90 
Mackerel scad                 ,"262,063","164,461","$445,313 ",$2.71 
Leatherjacket                 ,321,302,$557 ,$1.84 
Ten pounder                   ,581,432,$425 ,$0.98 
Bonefish                      ,"11,340","10,649","$11,203 ",$1.05 
Milkfish                      ,"2,697","2,611","$3,017 ",$1.16 
Flying fishes                 ,6,0,$1 ,$2.00 
Needlefishes                  ,672,293,$519 ,$1.77 
Threadfin                     ,659,424,"$2,679 ",$6.31 
Mullets                       ,"9,907","9,240","$34,410 ",$3.72 
Pomfret                       ,"685,688","671,983","$1,665,371 ",$2.48 
Oilfish                       ,"491,246","491,246","$917,004 ",$1.87 
Jacks                         ,"1,365","1,059","$3,423 ",$3.23 
Kahala (amberjack)            ,"12,669",813,$995 ,$1.22 
Sasa ulua                     ,743,459,"$1,250 ",$2.72 
Butaguchi (pig-lipped ulua)   ,"10,662","8,306","$16,831 ",$2.03 
Dobe ulua                     ,282,108,$221 ,$2.03 
Papa ulua                     ,"4,960","1,940","$5,695 ",$2.93 
White ulua                    ,"19,403","12,769","$29,880 ",$2.34 
Gunkin (black) ulua           ,"1,159",495,$893 ,$1.80 
Blue trevally                 ,"7,968","5,483","$12,188 ",$2.22 
Hapuupuu (hawaiian grouper)   ,"21,993","17,493","$93,860 ",$5.37 
Blue spot grouper             ,"2,727","1,873","$5,218 ",$2.78 
Kalekale                      ,"8,046","5,133","$18,504 ",$3.60 
Snappers                      ,"3,486","2,983","$11,704 ",$3.92 
Yellow-tail kali              ,22,10,$29 ,$2.85 
Taape (blue lined snapper)    ,"41,711","37,835","$61,110 ",$1.62 
Ehu (red snapper)             ,"23,839","15,300","$77,900 ",$5.09 
Gindai (flower snapper)       ,"3,828","2,416","$9,586 ",$3.97 
Golden kalekale               ,131,22,$54 ,$2.48 
Lehi (silverjaw)              ,"12,041","9,915","$38,759 ",$3.91 
Onaga (red snapper)           ,"98,166","71,589","$458,321 ",$6.40 
Opakapaka (pink snapper)      ,"121,525","95,860","$545,488 ",$5.69 
Uku (gray snapper)            ,"165,915","137,535","$496,261 ",$3.61 
Snake mackerel                ,35,5,$0 ,$0.10 
Porgy                         ,"3,435","3,137","$11,155 ",$3.56 
Reef fishes (unknown)         ,810,4,$4 ,$1.00 
Reef jacks                    ,155,128,$453 ,$3.52 
Squirrelfishes                ,"61,662","57,012","$260,084 ",$4.56 
Trumpetfish                   ,50,17,$17 ,$1.00 
Scorpionfishes                ,"2,062","1,368","$5,899 ",$4.31 
Mountain bass                 ,"4,420","3,051","$10,826 ",$3.55 
Bigeyes                       ,"3,987","3,243","$10,430 ",$3.22 
Goatfishes                    ,"39,618","36,786","$149,688 ",$4.07 
Rudderfish                    ,"38,197","37,657","$48,795 ",$1.30 
Damselfishes                  ,"2,085","1,590","$4,787 ",$3.01 
Hawkfish                      ,930,845,"$2,228 ",$2.64 
Tilapia                       ,"10,534",656,"$2,059 ",$3.14 
Wrasses                       ,"6,004","3,635","$15,952 ",$4.39 
Parrotfishes                  ,"46,919","44,504","$167,325 ",$3.76 
Surgeonfishes/tangs           ,"84,757","78,875","$146,846 ",$1.86 
Flounders                     ,46,31,$61 ,$1.96 
Filefishes                    ,608,583,$641 ,$1.10 
Pelagic fishes (unknown)      ,"6,424",79,$7 ,$0.10 
Moonfish (opah)               ,"1,333,105","1,313,926","$2,198,394 ",$1.67 
Rainbow runner                ,"4,539","2,799","$5,557 ",$1.99 
Mahimahi                      ,"1,455,125","1,250,374","$3,176,117 ",$2.54 
Barracudas                    ,"37,266","32,715","$29,450 ",$0.90 
Wahoo                         ,"975,648","849,715","$2,225,871 ",$2.62 
Tunas (unknown)               ,"11,366","4,566","$10,830 ",$2.37 
Skipjack tuna                 ,"1,295,207","910,911","$1,188,667 ",$1.30 
Yellowfin tuna                ,"3,468,597","3,204,450","$8,648,731 ",$2.70 
Albacore tuna                 ,"854,500","803,337","$1,343,758 ",$1.67 
Bigeye tuna                   ,"13,773,668","13,382,891","$49,701,652 ",$3.71 
Kawakawa                      ,"8,394","2,443","$4,615 ",$1.89 
Billfishes (unknown)          ,"5,054",120,$90 ,$0.75 
Swordfish                     ,"4,248,858","3,834,729","$7,175,726 ",$1.87 
Blue marlin                   ,"1,167,582","922,099","$1,018,883 ",$1.11 
Black marlin                  ,"8,253","6,216","$4,672 ",$0.75 
Striped marlin                ,"1,030,904","1,023,678","$1,048,474 ",$1.02 
Shortnose spearfish           ,"536,504","507,790","$357,903 ",$0.70 
Sailfish                      ,"24,565","11,251","$11,760 ",$1.05 
Spiny lobsters                ,"11,867","9,911","$120,316 ",$12.14 
Slipper lobsters              ,43,0,$3 ,$6.00 
Crabs                         ,"45,864","13,228","$56,941 ",$4.30 
Shrimp (saltwater)            ,"10,175",160,$658 ,$4.11 
Octopus                       ,"30,046","20,868","$83,691 ",$4.01 
Squid                         ,"1,627","1,479","$3,261 ",$2.21 
Limpets (saltwater)           ,"11,188","6,557","$56,283 ",$8.58 
Invertebrates                 ,"9,456","5,550","$189,168 ",$34.08 
Algae                         ,"10,907","6,321","$50,080 ",$7.92 
TOTAL,"33,516,669","30,682,710","$85,129,449 ",$2.77 
