Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"28,613","27,983","$7,534 ",$0.27 
Sharks                        ,"68,417","68,341","$11,348 ",$0.17 
Eels                          ,"13,146","13,092","$1,154 ",$0.09 
Bigeye scad (akule)           ,"392,915","382,826","$220,756 ",$0.58 
Mackerel scad                 ,"176,902","173,122","$70,105 ",$0.40 
Leatherjacket                 ,"2,382","2,389",$819 ,$0.34 
Ten pounder                   ,"5,079","5,029","$2,179 ",$0.43 
Bonefish                      ,"62,292","60,123","$20,411 ",$0.34 
Herrings/sardines             ,"1,207","1,207",$194 ,$0.16 
Milkfish                      ,"42,456","42,422","$12,974 ",$0.31 
Flying fishes                 ,"1,461","1,461",$413 ,$0.28 
Needlefishes                  ,"1,295","1,268",$218 ,$0.17 
Threadfin                     ,"13,729","12,984","$8,706 ",$0.67 
Mullets                       ,"80,848","79,664","$50,523 ",$0.63 
Freshwater fishes             ,235,235,$154 ,$0.66 
Jacks                         ,"179,988","194,462","$54,866 ",$0.28 
Kahala (amberjack)            ,"154,823","154,594","$33,670 ",$0.22 
Blue trevally                 ,"45,463","45,468","$14,149 ",$0.31 
Hapuupuu (hawaiian grouper)   ,"81,686","81,594","$21,598 ",$0.26 
Kalekale                      ,"33,451","33,055","$15,276 ",$0.46 
Ehu (red snapper)             ,"85,384","84,503","$48,243 ",$0.57 
Gindai (flower snapper)       ,"2,322","2,322",$746 ,$0.32 
Lehi (silverjaw)              ,"3,193","3,191","$1,052 ",$0.33 
Onaga (red snapper)           ,"82,014","81,780","$45,327 ",$0.55 
Opakapaka (pink snapper)      ,"234,499","232,778","$80,672 ",$0.35 
Uku (gray snapper)            ,"68,546","67,755","$25,084 ",$0.37 
Porgy                         ,"3,432","3,404","$1,756 ",$0.52 
Reef fishes (unknown)         ,"3,257","3,217",$594 ,$0.18 
Reef jacks                    ,"1,294","1,253",$914 ,$0.73 
Squirrelfishes                ,"90,095","88,619","$55,816 ",$0.63 
Scorpionfishes                ,"2,060","2,055",$773 ,$0.38 
Mountain bass                 ,"5,692","5,654","$3,407 ",$0.60 
Bigeyes                       ,"7,109","6,969","$3,134 ",$0.45 
Goatfishes                    ,"127,505","125,827","$77,336 ",$0.61 
Rudderfish                    ,"3,679","3,648","$1,435 ",$0.39 
Damselfishes                  ,"4,574","4,497","$2,034 ",$0.45 
Tilapia                       ,28,28,$5 ,$0.20 
Wrasses                       ,"6,823","6,745","$2,141 ",$0.32 
Parrotfishes                  ,"10,323","10,243","$3,274 ",$0.32 
Surgeonfishes/tangs           ,"34,884","35,102","$9,199 ",$0.26 
Flounders                     ,118,118,$68 ,$0.58 
Filefishes                    ,735,735,$452 ,$0.62 
Moonfish (opah)               ,139,139,$6 ,$0.05 
Rainbow runner                ,"2,308","2,307",$399 ,$0.17 
Mahimahi                      ,"272,462","272,151","$79,059 ",$0.29 
Barracudas                    ,"24,652","23,991","$7,698 ",$0.32 
Wahoo                         ,"50,010","49,887","$10,830 ",$0.22 
Japanese mackerel             ,9,9,$1 ,$0.11 
Tunas (unknown)               ,"43,333","43,201","$11,354 ",$0.26 
Skipjack tuna                 ,"2,013,663","2,012,250","$280,819 ",$0.14 
Yellowfin tuna                ,"669,872","669,678","$186,687 ",$0.28 
Albacore tuna                 ,"58,753","58,753","$11,382 ",$0.19 
Bigeye tuna                   ,"1,662,458","1,661,548","$486,798 ",$0.29 
Kawakawa                      ,"25,713","25,561","$5,130 ",$0.20 
Billfishes (unknown)          ,"31,077","30,977","$6,623 ",$0.21 
Swordfish                     ,"38,695","38,692","$9,025 ",$0.23 
Blue marlin                   ,"521,245","532,654","$150,893 ",$0.28 
Black marlin                  ,"11,376","11,376","$2,065 ",$0.18 
Striped marlin                ,"519,953","519,518","$112,831 ",$0.22 
Shortnose spearfish           ,80,80,$16 ,$0.20 
Sailfish                      ,"107,396","107,313","$26,001 ",$0.24 
Spiny lobsters                ,"30,829","30,424","$16,079 ",$0.53 
Slipper lobsters              ,306,306,$132 ,$0.43 
Crabs                         ,"9,907","8,706","$3,197 ",$0.37 
Shrimp (freshwater)           ,357,352,$523 ,$1.49 
Octopus                       ,"15,848","15,518","$8,119 ",$0.52 
Squid                         ,"5,409","5,255","$2,522 ",$0.48 
Limpets (saltwater)           ,"7,107","6,882","$2,826 ",$0.41 
Clams                         ,"5,316","5,316","$1,276 ",$0.24 
Invertebrates                 ,10,10,$2 ,$0.20 
Sea turtles                   ,"10,377","10,279","$1,516 ",$0.15 
Algae                         ,656,656,$577 ,$0.88 
TOTAL,"8,303,287","8,295,569","$2,334,931 ",$0.28 
