Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"8,141","6,160","$10,539 ",$1.71 
Sharks                        ,"383,353","253,440","$276,397 ",$1.09 
Shark fins                    ,342,342,"$7,454 ",$21.80 
Rays                          ,200,0,$0 ,$0.00 
Eels                          ,365,351,$569 ,$1.62 
Armorhead                     ,11,0,$0 ,$0.00 
Bigeye scad (akule)           ,"1,123,132","1,010,788","$1,536,382 ",$1.52 
Mackerel scad                 ,"259,525","247,046","$435,025 ",$1.76 
Leatherjacket                 ,557,483,$856 ,$1.77 
Ten pounder                   ,569,530,$483 ,$0.91 
Bonefish                      ,"7,356","6,983","$7,595 ",$1.09 
Herrings/sardines             ,1,0,$0 ,$0.00 
Silversides                   ,10,0,$0 ,$0.00 
Milkfish                      ,"1,306","1,113","$1,509 ",$1.36 
Needlefishes                  ,450,423,$567 ,$1.34 
Threadfin                     ,913,520,"$2,272 ",$4.37 
Mullets                       ,"4,483","3,685","$11,281 ",$3.06 
Pomfret                       ,"314,370","313,384","$431,471 ",$1.38 
Oilfish                       ,"8,536","6,393","$7,762 ",$1.21 
Jacks                         ,"25,471","19,855","$41,955 ",$2.11 
Kahala (amberjack)            ,"18,904",807,"$1,292 ",$1.60 
Sasa ulua                     ,408,316,$840 ,$2.66 
Butaguchi (pig-lipped ulua)   ,"31,756","29,474","$48,040 ",$1.63 
Dobe ulua                     ,"1,832","1,809","$3,263 ",$1.80 
Papa ulua                     ,"3,493","3,209","$6,574 ",$2.05 
White ulua                    ,"7,255","6,201","$8,461 ",$1.36 
Gunkin (black) ulua           ,260,260,$611 ,$2.35 
Blue trevally                 ,"1,586",967,"$2,042 ",$2.11 
Hapuupuu (hawaiian grouper)   ,"72,094","68,564","$202,523 ",$2.95 
Blue spot grouper             ,919,569,"$1,273 ",$2.24 
Kalekale                      ,"15,826","13,699","$44,323 ",$3.24 
Snappers                      ,"2,330","2,244","$6,356 ",$2.83 
Yellow-tail kali              ,6,0,$0 ,$0.00 
Taape (blue lined snapper)    ,"70,078","62,440","$61,360 ",$0.98 
Ehu (red snapper)             ,"37,848","34,256","$127,513 ",$3.72 
Gindai (flower snapper)       ,"6,385","5,634","$17,536 ",$3.11 
Golden kalekale               ,30,27,$62 ,$2.31 
Lehi (silverjaw)              ,"9,892","9,118","$28,872 ",$3.17 
Onaga (red snapper)           ,"159,897","149,836","$712,916 ",$4.76 
Opakapaka (pink snapper)      ,"209,208","198,018","$873,869 ",$4.41 
Uku (gray snapper)            ,"127,768","121,941","$302,362 ",$2.48 
Snake mackerel                ,1,0,$0 ,$0.00 
Porgy                         ,"3,047","2,858","$7,382 ",$2.58 
Reef fishes (unknown)         ,143,38,$19 ,$0.51 
Reef jacks                    ,246,189,$575 ,$3.05 
Squirrelfishes                ,"39,999","37,693","$118,100 ",$3.13 
Trumpetfish                   ,261,256,$373 ,$1.46 
Scorpionfishes                ,"2,740","2,287","$8,557 ",$3.74 
Mountain bass                 ,"4,144","3,926","$10,968 ",$2.79 
Bigeyes                       ,"4,595","4,314","$11,029 ",$2.56 
Goatfishes                    ,"63,560","56,846","$163,352 ",$2.87 
Rudderfish                    ,"16,042","15,578","$19,749 ",$1.27 
