Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"11,966","11,898","$3,325 ",$0.28 
Rays                          ,100,100,$4 ,$0.05 
Eels                          ,"5,953","5,813",$835 ,$0.14 
Bigeye scad (akule)           ,"298,037","293,326","$206,643 ",$0.70 
Mackerel scad                 ,"192,364","186,275","$81,909 ",$0.44 
Leatherjacket                 ,556,525,$165 ,$0.32 
Ten pounder                   ,"1,130",711,$264 ,$0.37 
Bonefish                      ,"28,372","27,697","$8,359 ",$0.30 
Herrings/sardines             ,"1,093","1,093",$248 ,$0.23 
Milkfish                      ,"16,614","16,367","$6,884 ",$0.42 
Flying fishes                 ,123,123,$42 ,$0.34 
Needlefishes                  ,216,216,$42 ,$0.20 
Threadfin                     ,"8,915","8,832","$7,067 ",$0.80 
Mullets                       ,"57,941","57,200","$46,773 ",$0.82 
Oilfish                       ,19,19,$1 ,$0.10 
Freshwater fishes             ,10,10,$7 ,$0.70 
Jacks                         ,"95,369","94,618","$41,000 ",$0.43 
Kahala (amberjack)            ,"86,204","86,017","$25,239 ",$0.29 
Blue trevally                 ,"8,396","8,387","$4,711 ",$0.56 
Hapuupuu (hawaiian grouper)   ,"22,367","22,367","$11,217 ",$0.50 
Kalekale                      ,"16,309","16,304","$9,182 ",$0.56 
Ehu (red snapper)             ,"17,977","17,952","$14,710 ",$0.82 
Gindai (flower snapper)       ,"1,078","1,078",$530 ,$0.49 
Lehi (silverjaw)              ,"1,177","1,177",$482 ,$0.41 
Onaga (red snapper)           ,"40,852","40,802","$35,918 ",$0.88 
Opakapaka (pink snapper)      ,"88,522","89,095","$46,149 ",$0.52 
Uku (gray snapper)            ,"45,475","45,346","$20,687 ",$0.46 
Porgy                         ,757,757,$447 ,$0.59 
Reef fishes (unknown)         ,669,669,$180 ,$0.27 
Reef jacks                    ,"2,244","2,205","$1,782 ",$0.81 
Squirrelfishes                ,"17,766","17,609","$12,521 ",$0.71 
Trumpetfish                   ,137,137,$23 ,$0.17 
Scorpionfishes                ,"1,923","1,923","$1,130 ",$0.59 
Mountain bass                 ,"9,598","9,103","$5,575 ",$0.61 
Bigeyes                       ,"7,616","7,602","$3,084 ",$0.41 
Goatfishes                    ,"148,947","148,211","$83,343 ",$0.56 
Rudderfish                    ,"6,620","6,511","$2,518 ",$0.39 
Damselfishes                  ,"4,518","4,518","$2,062 ",$0.46 
Tilapia                       ,115,115,$28 ,$0.25 
Wrasses                       ,"2,810","2,799",$834 ,$0.30 
Parrotfishes                  ,"9,539","9,324","$3,871 ",$0.42 
Gobies                        ,618,618,$555 ,$0.90 
Surgeonfishes/tangs           ,"74,305","73,719","$15,626 ",$0.21 
Flounders                     ,54,46,$31 ,$0.68 
Filefishes                    ,715,715,$387 ,$0.54 
Pufferfishes                  ,12,12,$3 ,$0.25 
Pelagic fishes (unknown)      ,"1,657","1,657",$504 ,$0.30 
Moonfish (opah)               ,513,513,$26 ,$0.05 
Rainbow runner                ,476,458,$114 ,$0.25 
Mahimahi                      ,"90,504","89,122","$50,117 ",$0.56 
Barracudas                    ,"8,057","7,946","$3,357 ",$0.42 
Wahoo                         ,"23,880","23,205","$5,725 ",$0.25 
Japanese mackerel             ,"2,132","2,097",$837 ,$0.40 
Tunas (unknown)               ,20,20,$13 ,$0.68 
Skipjack tuna                 ,"7,119,796","7,118,699","$968,342 ",$0.14 
Yellowfin tuna                ,"355,608","352,342","$152,494 ",$0.43 
Albacore tuna                 ,"8,918","8,918","$2,597 ",$0.29 
Bigeye tuna                   ,"1,264,750","1,264,590","$570,294 ",$0.45 
Kawakawa                      ,"4,195","3,873",$910 ,$0.24 
Billfishes (unknown)          ,"1,663",615,$102 ,$0.17 
Swordfish                     ,"42,484","42,484","$8,920 ",$0.21 
Blue marlin                   ,"319,303","316,596","$90,680 ",$0.29 
Black marlin                  ,"9,469","9,469","$2,579 ",$0.27 
Striped marlin                ,"217,756","215,758","$66,564 ",$0.31 
Shortnose spearfish           ,"1,088","1,088",$334 ,$0.31 
Sailfish                      ,"9,127","9,127","$1,983 ",$0.22 
Spiny lobsters                ,"10,457","10,434","$7,037 ",$0.67 
Slipper lobsters              ,93,93,$55 ,$0.59 
Crabs                         ,"19,551","19,549","$10,559 ",$0.54 
Shrimp (freshwater)           ,67,67,$158 ,$2.36 
Octopus                       ,"4,584","4,579","$2,672 ",$0.58 
Squid                         ,"5,149","5,143","$2,250 ",$0.44 
Limpets (saltwater)           ,"13,872","13,847","$5,908 ",$0.43 
Clams                         ,622,533,$171 ,$0.32 
Invertebrates                 ,196,196,$153 ,$0.78 
Sea turtles                   ,"3,739","1,767",$527 ,$0.30 
TOTAL,"10,875,824","10,844,726","$2,662,412 ",$0.25 
