Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"20,783","19,109","$19,985 ",$1.05 
Sharks                        ,"18,108","1,557",$565 ,$0.36 
Rays                          ,13,5,$0 ,$0.10 
Eels                          ,"8,098","8,011","$2,436 ",$0.30 
Bigeye scad (akule)           ,"510,153","472,783","$474,037 ",$1.00 
Mackerel scad                 ,"491,349","474,322","$523,242 ",$1.10 
Leatherjacket                 ,305,232,$169 ,$0.73 
Ten pounder                   ,"3,043","2,820","$2,894 ",$1.03 
Bonefish                      ,"12,070","11,473","$11,354 ",$0.99 
Herrings/sardines             ,214,206,$116 ,$0.56 
Milkfish                      ,"3,204","3,139","$3,415 ",$1.09 
Flying fishes                 ,4,4,$0 ,$0.20 
Needlefishes                  ,335,321,$176 ,$0.55 
Threadfin                     ,"2,289","1,924","$5,111 ",$2.66 
Mullets                       ,"12,218","11,720","$25,784 ",$2.20 
Oilfish                       ,316,316,$118 ,$0.38 
Jacks                         ,"160,121","148,960","$146,901 ",$0.99 
Kahala (amberjack)            ,"49,728","45,582","$28,253 ",$0.62 
Blue trevally                 ,"2,442","2,348","$3,265 ",$1.39 
Hapuupuu (hawaiian grouper)   ,"55,121","50,062","$64,812 ",$1.29 
Blue spot grouper             ,321,321,$814 ,$2.54 
Kalekale                      ,"7,079","6,259","$9,908 ",$1.58 
Snappers                      ,965,961,"$2,373 ",$2.47 
Taape (blue lined snapper)    ,"62,141","58,633","$32,677 ",$0.56 
Ehu (red snapper)             ,"18,350","16,245","$38,281 ",$2.36 
Gindai (flower snapper)       ,"2,358","2,221","$3,735 ",$1.68 
Lehi (silverjaw)              ,"17,252","15,408","$25,021 ",$1.62 
Onaga (red snapper)           ,"34,307","31,699","$89,679 ",$2.83 
Opakapaka (pink snapper)      ,"230,805","221,334","$480,625 ",$2.17 
Uku (gray snapper)            ,"74,964","72,192","$160,723 ",$2.23 
Snake mackerel                ,275,155,$125 ,$0.81 
Porgy                         ,"1,022","1,022","$1,453 ",$1.42 
Reef fishes (unknown)         ,"3,439","3,215","$2,125 ",$0.66 
Reef jacks                    ,443,380,$616 ,$1.62 
Squirrelfishes                ,"44,028","42,177","$77,701 ",$1.84 
Trumpetfish                   ,115,90,$61 ,$0.68 
Scorpionfishes                ,"3,507","3,343","$5,309 ",$1.59 
Mountain bass                 ,"7,005","6,469","$8,277 ",$1.28 
Bigeyes                       ,"7,174","6,630","$8,119 ",$1.22 
Goatfishes                    ,"116,047","109,625","$160,756 ",$1.47 
Rudderfish                    ,"11,641","10,636","$6,171 ",$0.58 
Damselfishes                  ,"2,106","2,071","$2,186 ",$1.06 
Hawkfish                      ,34,34,$45 ,$1.33 
Tilapia                       ,"2,268","2,179","$3,793 ",$1.74 
Wrasses                       ,"7,202","6,144","$8,648 ",$1.41 
Parrotfishes                  ,"20,888","19,086","$18,392 ",$0.96 
Surgeonfishes/tangs           ,"53,150","48,560","$33,093 ",$0.68 
Flounders                     ,48,44,$37 ,$0.85 
Filefishes                    ,"1,685","1,647","$1,404 ",$0.85 
Pufferfishes                  ,25,14,$7 ,$0.52 
Pelagic fishes (unknown)      ,10,7,$5 ,$0.80 
Moonfish (opah)               ,264,261,$87 ,$0.33 
Rainbow runner                ,"3,294","3,060","$2,455 ",$0.80 
Mahimahi                      ,"237,561","210,768","$457,113 ",$2.17 
Barracudas                    ,"11,544","10,191","$8,574 ",$0.84 
Wahoo                         ,"266,083","238,402","$453,317 ",$1.90 
Japanese mackerel             ,288,287,$217 ,$0.76 
Tunas (unknown)               ,"16,746","16,671","$24,869 ",$1.49 
Skipjack tuna                 ,"4,087,037","4,060,733","$3,197,746 ",$0.79 
Yellowfin tuna                ,"2,639,212","2,508,470","$3,239,340 ",$1.29 
Albacore tuna                 ,"149,623","149,433","$118,645 ",$0.79 
Bigeye tuna                   ,"11,090","10,039","$21,115 ",$2.10 
Kawakawa                      ,"48,286","40,653","$31,244 ",$0.77 
Swordfish                     ,"47,860","47,386","$63,964 ",$1.35 
Blue marlin                   ,"442,872","383,753","$191,513 ",$0.50 
Black marlin                  ,"5,870","5,148","$3,800 ",$0.74 
Striped marlin                ,"67,267","58,710","$70,353 ",$1.20 
Shortnose spearfish           ,"11,998","9,123","$8,243 ",$0.90 
Sailfish                      ,957,679,$602 ,$0.89 
Spiny lobsters                ,"98,644","97,731","$587,612 ",$6.01 
Slipper lobsters              ,"4,315","4,302","$12,918 ",$3.00 
Crabs                         ,"17,877","14,981","$35,628 ",$2.38 
Shrimp (freshwater)           ,"5,817","5,546","$16,335 ",$2.95 
Octopus                       ,"19,105","15,697","$28,804 ",$1.84 
Squid                         ,"11,328","8,913","$9,983 ",$1.12 
Limpets (saltwater)           ,"8,602","8,061","$18,237 ",$2.26 
Invertebrates                 ,300,300,$825 ,$2.75 
Algae                         ,"10,566","10,254","$16,072 ",$1.57 
TOTAL,"10,304,975","9,863,248","$11,114,436 ",$1.13 
