Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"12,003","8,911","$5,624 ",$0.63 
Sharks                        ,802,0,$0 ,$0.00 
Eels                          ,"8,413","8,252",$679 ,$0.08 
Bigeye scad (akule)           ,"818,873","737,387","$344,108 ",$0.47 
Mackerel scad                 ,"229,879","223,506","$138,003 ",$0.62 
Leatherjacket                 ,"1,666","1,572",$376 ,$0.24 
Ten pounder                   ,"2,375","2,019",$620 ,$0.31 
Bonefish                      ,"15,287","14,353","$4,943 ",$0.34 
Herrings/sardines             ,122,118,$43 ,$0.37 
Milkfish                      ,"17,107","16,648","$6,800 ",$0.41 
Flying fishes                 ,39,39,$13 ,$0.34 
Needlefishes                  ,15,15,$2 ,$0.15 
Threadfin                     ,"8,535","7,750","$9,997 ",$1.29 
Mullets                       ,"16,043","15,204","$19,672 ",$1.29 
Oilfish                       ,93,93,$11 ,$0.12 
Jacks                         ,"61,625","59,062","$33,641 ",$0.57 
Kahala (amberjack)            ,"83,361","82,088","$35,175 ",$0.43 
Blue trevally                 ,"1,310","1,272","$1,021 ",$0.80 
Hapuupuu (hawaiian grouper)   ,"49,569","49,144","$35,601 ",$0.72 
Kalekale                      ,"6,967","6,898","$7,227 ",$1.05 
Taape (blue lined snapper)    ,"2,211","2,191",$979 ,$0.45 
Ehu (red snapper)             ,"21,865","21,073","$27,790 ",$1.32 
Gindai (flower snapper)       ,"2,063","2,046","$1,694 ",$0.83 
Lehi (silverjaw)              ,"2,128","2,045","$1,229 ",$0.60 
Onaga (red snapper)           ,"47,954","47,596","$70,939 ",$1.49 
Opakapaka (pink snapper)      ,"82,427","78,602","$67,340 ",$0.86 
Uku (gray snapper)            ,"49,005","47,800","$29,692 ",$0.62 
Snake mackerel                ,67,67,$16 ,$0.25 
Porgy                         ,328,328,$285 ,$0.87 
Reef fishes (unknown)         ,"2,100","2,084",$770 ,$0.37 
Reef jacks                    ,"1,466",964,$855 ,$0.89 
Squirrelfishes                ,"21,737","20,445","$17,368 ",$0.85 
Scorpionfishes                ,"1,179","1,133",$875 ,$0.77 
Mountain bass                 ,"3,760","3,303","$3,001 ",$0.91 
Bigeyes                       ,"3,192","3,003","$1,692 ",$0.56 
Goatfishes                    ,"75,375","71,959","$49,090 ",$0.68 
Rudderfish                    ,"5,013","4,725","$2,196 ",$0.46 
Damselfishes                  ,"1,575","1,479",$965 ,$0.65 
Tilapia                       ,71,48,$20 ,$0.42 
Wrasses                       ,"3,831","3,404","$2,446 ",$0.72 
Parrotfishes                  ,"5,686","5,319","$2,729 ",$0.51 
Gobies                        ,"2,092","2,022","$2,972 ",$1.47 
Surgeonfishes/tangs           ,"45,320","43,387","$14,580 ",$0.34 
Filefishes                    ,150,150,$101 ,$0.68 
Pufferfishes                  ,101,101,$86 ,$0.85 
Moonfish (opah)               ,"2,657","2,657",$172 ,$0.07 
Rainbow runner                ,"1,064","1,003",$385 ,$0.38 
Mahimahi                      ,"114,824","90,752","$73,770 ",$0.81 
Barracudas                    ,"9,665","8,989","$4,647 ",$0.52 
Wahoo                         ,"39,224","30,111","$12,038 ",$0.40 
Japanese mackerel             ,15,15,$14 ,$0.95 
Skipjack tuna                 ,"13,340,812","13,330,945","$2,752,709 ",$0.21 
Yellowfin tuna                ,"857,077","826,586","$517,113 ",$0.63 
Albacore tuna                 ,"23,414","23,414","$11,077 ",$0.47 
Bigeye tuna                   ,"472,598","472,268","$568,124 ",$1.20 
Kawakawa                      ,"28,578","23,123","$7,038 ",$0.30 
Billfishes (unknown)          ,508,508,$25 ,$0.05 
Swordfish                     ,"3,405","3,405","$1,154 ",$0.34 
Blue marlin                   ,"111,155","46,968","$21,882 ",$0.47 
Black marlin                  ,"3,657","2,224","$1,471 ",$0.66 
Striped marlin                ,"191,303","169,002","$122,507 ",$0.72 
Shortnose spearfish           ,"5,605","5,140","$1,495 ",$0.29 
Sailfish                      ,999,969,$311 ,$0.32 
Spiny lobsters                ,"6,140","5,725","$7,894 ",$1.38 
Slipper lobsters              ,107,90,$107 ,$1.19 
Crabs                         ,"100,811","97,593","$124,653 ",$1.28 
Shrimp (freshwater)           ,"2,626","2,230","$3,177 ",$1.42 
Octopus                       ,"9,021","8,399","$7,925 ",$0.94 
Squid                         ,"14,324","14,065","$6,258 ",$0.45 
Limpets (saltwater)           ,"13,277","13,178","$13,326 ",$1.01 
Invertebrates                 ,"1,022","1,022",$879 ,$0.86 
Sea turtles                   ,"19,884","19,204","$9,850 ",$0.51 
Algae                         ,"88,813","88,813","$28,366 ",$0.32 
TOTAL,"17,177,366","16,888,003","$5,241,666 ",$0.31 
