Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"2,384","2,115","$4,111 ",$1.94 
Sharks                        ,"138,423","109,199","$107,626 ",$0.99 
Rays                          ,17,0,$0 ,$0.00 
Eels                          ,"2,089",847,"$1,096 ",$1.29 
Bigeye scad (akule)           ,"266,373","185,588","$641,572 ",$3.46 
Mackerel scad                 ,"244,591","175,087","$503,921 ",$2.88 
Leatherjacket                 ,390,283,$699 ,$2.46 
Ten pounder                   ,"1,375",697,"$1,202 ",$1.72 
Bonefish                      ,"12,344","9,727","$12,249 ",$1.26 
Herrings/sardines             ,514,514,"$1,028 ",$2.00 
Milkfish                      ,"1,166",935,"$1,266 ",$1.35 
Flying fishes                 ,3,1,$2 ,$1.75 
Needlefishes                  ,"1,287","1,283","$3,043 ",$2.37 
Threadfin                     ,496,72,$467 ,$6.48 
Mullets                       ,"7,212","6,179","$26,947 ",$4.36 
Pomfret                       ,"1,150,831","1,143,017","$2,576,932 ",$2.25 
Oilfish                       ,"589,786","578,271","$410,861 ",$0.71 
Jacks                         ,"1,443","1,328","$3,740 ",$2.82 
Kahala (amberjack)            ,"13,194","1,626","$3,816 ",$2.35 
Sasa ulua                     ,814,440,"$1,141 ",$2.59 
Butaguchi (pig-lipped ulua)   ,768,385,"$1,757 ",$4.56 
Dobe ulua                     ,"3,637","2,905","$7,417 ",$2.55 
Papa ulua                     ,"6,792","5,678","$24,494 ",$4.31 
White ulua                    ,"14,512","7,023","$19,038 ",$2.71 
Gunkin (black) ulua           ,"1,717","1,398","$3,900 ",$2.79 
Blue trevally                 ,"6,415","2,263","$6,729 ",$2.97 
Hapuupuu (hawaiian grouper)   ,"10,978","9,733","$51,792 ",$5.32 
Blue spot grouper             ,"3,055","2,510","$7,310 ",$2.91 
Kalekale                      ,"14,799","11,590","$45,130 ",$3.89 
Snappers                      ,"4,611","4,271","$17,486 ",$4.09 
Yellow-tail kali              ,43,36,$150 ,$4.15 
Taape (blue lined snapper)    ,"33,998","24,453","$42,764 ",$1.75 
Ehu (red snapper)             ,"32,458","25,644","$149,065 ",$5.81 
Gindai (flower snapper)       ,"3,688","2,731","$13,452 ",$4.92 
Golden kalekale               ,408,34,$119 ,$3.46 
Lehi (silverjaw)              ,"13,350","11,789","$54,306 ",$4.61 
Onaga (red snapper)           ,"72,992","63,418","$515,191 ",$8.12 
Opakapaka (pink snapper)      ,"124,504","108,826","$720,860 ",$6.62 
Uku (gray snapper)            ,"122,599","102,156","$430,512 ",$4.21 
Snake mackerel                ,13,0,$0 ,$0.00 
Porgy                         ,"5,918","5,335","$18,045 ",$3.38 
Reef fishes (unknown)         ,740,39,$38 ,$0.98 
Reef jacks                    ,14,14,$65 ,$4.40 
Squirrelfishes                ,"60,415","55,740","$247,087 ",$4.43 
Trumpetfish                   ,250,211,$349 ,$1.65 
Scorpionfishes                ,"3,038","2,467","$14,051 ",$5.69 
Mountain bass                 ,"2,306","1,784","$7,324 ",$4.11 
Bigeyes                       ,"6,099","5,811","$21,201 ",$3.65 
Goatfishes                    ,"54,582","51,915","$255,758 ",$4.93 
Rudderfish                    ,"30,605","29,495","$43,970 ",$1.49 
Damselfishes                  ,"2,576","2,516","$8,243 ",$3.28 
Hawkfish                      ,"3,648","3,585","$11,115 ",$3.10 
Tilapia                       ,"3,099",148,$505 ,$3.41 
Wrasses                       ,"6,688","4,701","$17,345 ",$3.69 
Parrotfishes                  ,"86,588","85,470","$314,424 ",$3.68 
Surgeonfishes/tangs           ,"130,096","127,532","$232,502 ",$1.82 
Flounders                     ,37,34,$69 ,$2.01 
Filefishes                    ,875,755,"$1,138 ",$1.51 
Pufferfishes                  ,8,0,$0 ,$0.00 
Pelagic fishes (unknown)      ,"2,175",67,$6 ,$0.10 
Moonfish (opah)               ,"2,102,745","2,071,805","$3,201,721 ",$1.55 
Rainbow runner                ,"3,495","2,604","$6,861 ",$2.63 
Mahimahi                      ,"1,585,544","1,514,050","$4,122,483 ",$2.72 
Barracudas                    ,"25,940","23,291","$31,727 ",$1.36 
Wahoo                         ,"878,653","741,707","$2,362,945 ",$3.19 
Japanese mackerel             ,5,5,$23 ,$4.18 
Tunas (unknown)               ,"3,282","2,957","$10,490 ",$3.55 
Skipjack tuna                 ,"1,114,797","929,100","$1,335,507 ",$1.44 
Yellowfin tuna                ,"3,690,326","3,443,497","$12,534,502 ",$3.64 
Albacore tuna                 ,"828,527","805,344","$1,757,617 ",$2.18 
Bigeye tuna                   ,"15,864,996","15,689,465","$66,043,177 ",$4.21 
Kawakawa                      ,"9,789","5,224","$14,198 ",$2.72 
Billfishes (unknown)          ,"1,980",0,$0 ,$0.00 
Swordfish                     ,"2,332,656","1,673,807","$4,490,192 ",$2.68 
Blue marlin                   ,"1,151,984","943,450","$1,459,615 ",$1.55 
Black marlin                  ,"8,865","4,177","$4,825 ",$1.16 
Striped marlin                ,"982,750","982,550","$1,327,690 ",$1.35 
Shortnose spearfish           ,"490,452","474,664","$613,658 ",$1.29 
Sailfish                      ,"27,537","11,875","$17,007 ",$1.43 
Spiny lobsters                ,"11,080","8,822","$94,673 ",$10.73 
Slipper lobsters              ,142,51,$519 ,$10.03 
Crabs                         ,"51,868","39,444","$170,115 ",$4.31 
Shrimp (saltwater)            ,"18,333","9,949","$81,450 ",$8.19 
Octopus                       ,"39,448","25,760","$116,275 ",$4.51 
Squid                         ,"4,839","3,101","$10,327 ",$3.33 
Limpets (saltwater)           ,"25,714","14,162","$93,191 ",$6.58 
Invertebrates                 ,"5,215","3,172","$244,870 ",$77.18 
Algae                         ,"16,921","5,898","$50,804 ",$8.61 
TOTAL,"34,583,749","32,411,646","$107,802,927 ",$3.33 
