Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"26,735","24,796","$30,219 ",$1.22 
Sharks                        ,"4,887","1,240",$295 ,$0.24 
Rays                          ,432,28,$35 ,$1.25 
Eels                          ,"7,072","6,695","$2,290 ",$0.34 
Bigeye scad (akule)           ,"721,281","672,223","$541,329 ",$0.81 
Mackerel scad                 ,"396,882","382,187","$347,309 ",$0.91 
Leatherjacket                 ,465,436,$295 ,$0.68 
Ten pounder                   ,"3,118","2,943","$1,874 ",$0.64 
Bonefish                      ,"25,812","23,526","$14,772 ",$0.63 
Herrings/sardines             ,130,111,$40 ,$0.37 
Milkfish                      ,"7,309","5,994","$4,006 ",$0.67 
Flying fishes                 ,5,5,$2 ,$0.48 
Needlefishes                  ,279,124,$70 ,$0.57 
Threadfin                     ,"3,117","2,155","$4,108 ",$1.91 
Mullets                       ,"21,872","21,313","$40,653 ",$1.91 
Oilfish                       ,126,126,$36 ,$0.29 
Freshwater fishes             ,9,0,$0 ,$0.00 
Jacks                         ,"78,517","72,477","$74,786 ",$1.03 
Kahala (amberjack)            ,"57,361","51,921","$34,802 ",$0.67 
Blue trevally                 ,"1,474","1,445","$1,532 ",$1.06 
Hapuupuu (hawaiian grouper)   ,"49,143","47,201","$60,476 ",$1.28 
Kalekale                      ,"7,345","6,815","$9,706 ",$1.42 
Taape (blue lined snapper)    ,"36,127","33,483","$19,634 ",$0.59 
Ehu (red snapper)             ,"31,687","30,601","$61,579 ",$2.01 
Gindai (flower snapper)       ,"1,772","1,677","$2,426 ",$1.45 
Lehi (silverjaw)              ,"8,979","8,726","$8,719 ",$1.00 
Onaga (red snapper)           ,"67,348","65,992","$165,302 ",$2.50 
Opakapaka (pink snapper)      ,"150,923","143,334","$226,677 ",$1.58 
Uku (gray snapper)            ,"72,483","70,049","$99,648 ",$1.42 
Snake mackerel                ,584,485,$348 ,$0.72 
Porgy                         ,750,732,$910 ,$1.24 
Reef fishes (unknown)         ,"1,549","1,348",$564 ,$0.42 
Reef jacks                    ,"2,834","2,792","$4,039 ",$1.45 
Squirrelfishes                ,"47,418","45,305","$68,388 ",$1.51 
Trumpetfish                   ,268,210,$75 ,$0.36 
Scorpionfishes                ,"2,554","2,475","$4,133 ",$1.67 
Mountain bass                 ,"6,134","5,579","$7,215 ",$1.29 
Bigeyes                       ,"6,883","6,232","$6,176 ",$0.99 
Goatfishes                    ,"119,475","113,186","$135,073 ",$1.19 
Rudderfish                    ,"8,174","7,128","$3,740 ",$0.52 
Damselfishes                  ,"2,810","2,630","$2,432 ",$0.92 
Tilapia                       ,"3,706","3,661","$4,514 ",$1.23 
Wrasses                       ,"7,406","5,749","$5,017 ",$0.87 
Parrotfishes                  ,"13,693","13,049","$8,960 ",$0.69 
Gobies                        ,440,408,"$1,001 ",$2.45 
Surgeonfishes/tangs           ,"73,213","67,965","$33,766 ",$0.50 
Flounders                     ,128,68,$27 ,$0.40 
Filefishes                    ,882,867,$824 ,$0.95 
Pufferfishes                  ,17,17,$8 ,$0.48 
Moonfish (opah)               ,60,51,$10 ,$0.21 
Rainbow runner                ,"1,782","1,610","$1,072 ",$0.67 
Mahimahi                      ,"150,320","125,042","$223,798 ",$1.79 
Barracudas                    ,"11,448","9,484","$7,215 ",$0.76 
Wahoo                         ,"223,428","189,485","$203,813 ",$1.08 
Japanese mackerel             ,861,741,$706 ,$0.95 
Tunas (unknown)               ,"15,988","15,228","$22,459 ",$1.47 
Skipjack tuna                 ,"7,617,195","7,585,496","$3,665,781 ",$0.48 
Yellowfin tuna                ,"2,054,838","1,930,412","$2,038,244 ",$1.06 
Albacore tuna                 ,"79,385","79,280","$72,896 ",$0.92 
Bigeye tuna                   ,"530,498","530,100","$1,099,442 ",$2.07 
Kawakawa                      ,"96,698","75,292","$28,974 ",$0.38 
Billfishes (unknown)          ,138,138,$62 ,$0.45 
Swordfish                     ,"59,760","59,760","$98,447 ",$1.65 
Blue marlin                   ,"366,195","273,476","$109,505 ",$0.40 
Black marlin                  ,"8,077","5,493","$2,555 ",$0.47 
Striped marlin                ,"91,336","83,136","$97,204 ",$1.17 
Shortnose spearfish           ,"12,763","9,896","$6,367 ",$0.64 
Sailfish                      ,"1,407","1,179",$998 ,$0.85 
Spiny lobsters                ,"83,023","64,441","$189,200 ",$2.94 
Slipper lobsters              ,159,98,$256 ,$2.62 
Crabs                         ,"52,877","49,296","$106,028 ",$2.15 
Shrimp (freshwater)           ,"8,580","8,232","$27,693 ",$3.36 
Octopus                       ,"20,363","18,231","$26,772 ",$1.47 
Squid                         ,"5,636","5,353","$6,094 ",$1.14 
Limpets (saltwater)           ,"15,967","14,871","$30,937 ",$2.08 
Invertebrates                 ,"1,865","1,843","$2,200 ",$1.19 
Algae                         ,"92,285","90,962","$58,991 ",$0.65 
TOTAL,"13,684,541","13,186,135","$10,167,586 ",$0.77 
