Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"29,941","25,021","$14,210 ",$0.57 
Sharks                        ,"3,194",224,$142 ,$0.64 
Eels                          ,"4,540","3,292",$540 ,$0.16 
Bigeye scad (akule)           ,"512,622","443,820","$308,486 ",$0.70 
Mackerel scad                 ,"323,447","309,989","$247,151 ",$0.80 
Leatherjacket                 ,299,276,$93 ,$0.34 
Ten pounder                   ,"4,624","4,356","$2,475 ",$0.57 
Bonefish                      ,"23,401","20,596","$11,198 ",$0.54 
Herrings/sardines             ,21,21,$7 ,$0.34 
Milkfish                      ,"10,112","7,216","$3,716 ",$0.52 
Flying fishes                 ,31,31,$10 ,$0.35 
Needlefishes                  ,501,505,$177 ,$0.35 
Threadfin                     ,"2,005","1,595","$2,394 ",$1.50 
Mullets                       ,"14,550","14,043","$23,526 ",$1.68 
Oilfish                       ,64,64,$16 ,$0.25 
Jacks                         ,"104,424","94,773","$77,636 ",$0.82 
Kahala (amberjack)            ,"30,177","27,006","$14,120 ",$0.52 
Blue trevally                 ,831,744,$760 ,$1.02 
Hapuupuu (hawaiian grouper)   ,"59,808","58,676","$63,891 ",$1.09 
Kalekale                      ,"8,862","8,437","$11,332 ",$1.34 
Taape (blue lined snapper)    ,"20,744","19,205","$8,885 ",$0.46 
Ehu (red snapper)             ,"31,976","30,337","$51,733 ",$1.71 
Gindai (flower snapper)       ,"1,963","1,835","$2,185 ",$1.19 
Lehi (silverjaw)              ,"10,558","9,219","$8,821 ",$0.96 
Onaga (red snapper)           ,"66,204","64,368","$119,643 ",$1.86 
Opakapaka (pink snapper)      ,"161,558","136,732","$174,986 ",$1.28 
Uku (gray snapper)            ,"62,345","60,521","$62,165 ",$1.03 
Snake mackerel                ,411,275,$127 ,$0.47 
Porgy                         ,856,805,"$1,019 ",$1.27 
Reef fishes (unknown)         ,"1,799","1,443",$841 ,$0.58 
Reef jacks                    ,"1,341","1,126","$1,441 ",$1.28 
Squirrelfishes                ,"20,408","18,011","$21,560 ",$1.20 
Trumpetfish                   ,61,31,$6 ,$0.20 
Scorpionfishes                ,"1,358","1,172","$1,647 ",$1.41 
Mountain bass                 ,"4,195","3,819","$4,298 ",$1.13 
Bigeyes                       ,"3,517","3,102","$2,423 ",$0.78 
Goatfishes                    ,"73,296","67,439","$60,644 ",$0.90 
Rudderfish                    ,"16,796","15,762","$5,547 ",$0.35 
Damselfishes                  ,"1,661","1,460","$1,230 ",$0.84 
Tilapia                       ,"3,549","3,549","$4,181 ",$1.18 
Wrasses                       ,"8,504","7,267","$4,474 ",$0.62 
Parrotfishes                  ,"5,079","4,432","$2,641 ",$0.60 
Surgeonfishes/tangs           ,"53,056","47,685","$21,128 ",$0.44 
Flounders                     ,30,30,$24 ,$0.82 
Filefishes                    ,97,97,$80 ,$0.83 
Pufferfishes                  ,"1,645",784,"$1,488 ",$1.90 
Moonfish (opah)               ,522,522,$515 ,$0.99 
Rainbow runner                ,"2,708","2,564",$962 ,$0.38 
Mahimahi                      ,"117,631","85,028","$115,264 ",$1.36 
Barracudas                    ,"8,728","7,403","$5,154 ",$0.70 
Wahoo                         ,"116,673","90,537","$67,131 ",$0.74 
Japanese mackerel             ,42,42,$31 ,$0.76 
Tunas (unknown)               ,"7,652","7,537","$6,875 ",$0.91 
Skipjack tuna                 ,"5,054,528","5,023,544","$2,282,425 ",$0.45 
Yellowfin tuna                ,"1,721,664","1,558,012","$1,371,145 ",$0.88 
Albacore tuna                 ,"94,253","91,465","$83,485 ",$0.91 
Bigeye tuna                   ,"346,542","342,968","$673,419 ",$1.96 
Kawakawa                      ,"65,888","53,867","$16,060 ",$0.30 
Billfishes (unknown)          ,"2,963","2,924",$864 ,$0.30 
Swordfish                     ,"1,346","1,037",$889 ,$0.86 
Blue marlin                   ,"105,393","72,767","$24,562 ",$0.34 
Black marlin                  ,"1,083",723,$475 ,$0.66 
Striped marlin                ,"234,524","192,989","$120,352 ",$0.62 
Shortnose spearfish           ,"14,689","11,350","$5,095 ",$0.45 
Sailfish                      ,"1,205",820,$699 ,$0.85 
Spiny lobsters                ,"4,319","3,569","$7,209 ",$2.02 
Slipper lobsters              ,146,50,$80 ,$1.60 
Crabs                         ,"56,071","52,918","$85,158 ",$1.61 
Shrimp (freshwater)           ,"5,509","5,377","$15,433 ",$2.87 
Octopus                       ,"9,488","8,068","$10,175 ",$1.26 
Squid                         ,"3,480","2,966","$3,882 ",$1.31 
Limpets (saltwater)           ,"17,430","16,908","$24,977 ",$1.48 
Clams                         ,71,71,$71 ,$1.00 
Invertebrates                 ,"3,902","3,852","$3,495 ",$0.91 
Algae                         ,"64,616","63,701","$39,280 ",$0.62 
TOTAL,"9,749,527","9,224,770","$6,310,297 ",$0.68 
