Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"9,850","9,731","$3,335 ",$0.34 
Rays                          ,65,65,$7 ,$0.12 
Eels                          ,"7,769","7,762","$1,220 ",$0.16 
Bigeye scad (akule)           ,"287,052","285,380","$187,337 ",$0.66 
Mackerel scad                 ,"208,937","203,900","$84,235 ",$0.41 
Leatherjacket                 ,695,675,$209 ,$0.31 
Ten pounder                   ,"2,431","2,286",$952 ,$0.42 
Bonefish                      ,"29,243","28,919","$9,019 ",$0.31 
Herrings/sardines             ,675,675,$139 ,$0.21 
Milkfish                      ,"20,227","19,911","$8,358 ",$0.42 
Flying fishes                 ,193,193,$63 ,$0.33 
Needlefishes                  ,193,193,$43 ,$0.22 
Threadfin                     ,"14,924","14,548","$11,345 ",$0.78 
Mullets                       ,"68,977","68,411","$59,929 ",$0.88 
Oilfish                       ,365,365,$37 ,$0.10 
Freshwater fishes             ,672,672,$227 ,$0.34 
Jacks                         ,"69,948","69,458","$30,273 ",$0.44 
Kahala (amberjack)            ,"76,607","76,221","$22,738 ",$0.30 
Blue trevally                 ,"5,711","5,711","$3,251 ",$0.57 
Hapuupuu (hawaiian grouper)   ,"20,526","20,501","$10,706 ",$0.52 
Kalekale                      ,"19,090","19,087","$9,627 ",$0.50 
Ehu (red snapper)             ,"12,822","12,796","$11,170 ",$0.87 
Gindai (flower snapper)       ,694,694,$316 ,$0.46 
Lehi (silverjaw)              ,"1,427","1,382",$485 ,$0.35 
Onaga (red snapper)           ,"42,982","42,977","$37,620 ",$0.88 
Opakapaka (pink snapper)      ,"93,171","91,878","$44,163 ",$0.48 
Uku (gray snapper)            ,"42,309","42,068","$17,907 ",$0.43 
Porgy                         ,193,193,$137 ,$0.71 
Reef fishes (unknown)         ,"1,695","1,693",$499 ,$0.30 
Reef jacks                    ,"3,030","3,030","$1,928 ",$0.64 
Squirrelfishes                ,"13,246","13,173","$9,440 ",$0.72 
Trumpetfish                   ,52,52,$7 ,$0.15 
Scorpionfishes                ,"1,020","1,020",$546 ,$0.54 
Mountain bass                 ,"7,794","7,678","$3,917 ",$0.51 
Bigeyes                       ,"3,560","3,551","$1,341 ",$0.38 
Goatfishes                    ,"135,433","135,410","$72,337 ",$0.53 
Rudderfish                    ,"6,845","6,829","$2,537 ",$0.37 
Damselfishes                  ,"3,752","3,720","$1,331 ",$0.36 
Tilapia                       ,38,38,$9 ,$0.25 
Wrasses                       ,"1,711","1,681",$452 ,$0.27 
Parrotfishes                  ,"6,182","6,125","$2,591 ",$0.42 
Gobies                        ,"1,141","1,141",$964 ,$0.84 
Surgeonfishes/tangs           ,"52,662","52,092","$13,211 ",$0.25 
Flounders                     ,12,12,$9 ,$0.79 
Filefishes                    ,429,429,$240 ,$0.56 
Pufferfishes                  ,63,63,$27 ,$0.44 
Pelagic fishes (unknown)      ,436,436,$25 ,$0.06 
Moonfish (opah)               ,614,614,$37 ,$0.06 
Rainbow runner                ,793,793,$172 ,$0.22 
Mahimahi                      ,"116,287","116,143","$47,627 ",$0.41 
Barracudas                    ,"7,736","7,673","$3,143 ",$0.41 
Wahoo                         ,"25,380","25,261","$5,070 ",$0.20 
Japanese mackerel             ,"1,030","1,028",$431 ,$0.42 
Tunas (unknown)               ,39,39,$11 ,$0.30 
Skipjack tuna                 ,"10,796,672","10,793,573","$1,282,688 ",$0.12 
Yellowfin tuna                ,"459,633","458,994","$168,418 ",$0.37 
Albacore tuna                 ,"13,560","13,560","$4,079 ",$0.30 
Bigeye tuna                   ,"1,037,381","1,037,365","$507,564 ",$0.49 
Kawakawa                      ,"2,051","1,995",$369 ,$0.19 
Billfishes (unknown)          ,365,365,$73 ,$0.20 
Swordfish                     ,"32,962","32,962","$6,292 ",$0.19 
Blue marlin                   ,"269,145","268,123","$75,106 ",$0.28 
Black marlin                  ,"16,238","16,238","$4,912 ",$0.30 
Striped marlin                ,"226,746","226,716","$63,026 ",$0.28 
Shortnose spearfish           ,"1,303","1,303",$244 ,$0.19 
Sailfish                      ,"4,578","4,578",$816 ,$0.18 
Spiny lobsters                ,"12,642","12,621","$8,542 ",$0.68 
Slipper lobsters              ,43,43,$25 ,$0.60 
Crabs                         ,"29,461","29,461","$18,153 ",$0.62 
Shrimp (freshwater)           ,218,218,$296 ,$1.36 
Octopus                       ,"3,797","3,797","$2,351 ",$0.62 
Squid                         ,"8,428","8,424","$3,435 ",$0.41 
Limpets (saltwater)           ,"10,734","10,724","$4,802 ",$0.45 
Clams                         ,145,145,$50 ,$0.35 
Invertebrates                 ,523,523,$472 ,$0.90 
Sea turtles                   ,250,170,$40 ,$0.24 
Algae                         ,45,45,$56 ,$1.24 
TOTAL,"14,355,648","14,338,319","$2,874,594 ",$0.20 
